[IRV | PA | NT | 2 Thessalonians | Chapter 3 | Verse 1] ਅੰਤ ਵਿੱਚ, ਹੇ ਭਰਾਵੋ, ਸਾਡੇ ਲਈ ਵੀ ਪ੍ਰਾਰਥਨਾ ਕਰੋ ਕਿ ਪ੍ਰਭੂ ਦਾ ਉਪਦੇਸ਼ ਤੇਜੀ ਨਾਲ ਫ਼ੈਲੇ ਅਤੇ ਮਹਿਮਾ ਪਾਵੇ ਜਿਵੇਂ ਕਿ ਤੁਹਾਡੇ ਵਿੱਚ ਹੋਇਆ।
[IRV | PA | NT | 2 Thessalonians | Chapter 3 | Verse 2] ਅਤੇ ਪ੍ਰਾਰਥਨਾ ਕਰੋ ਕਿ ਅਸੀਂ ਬੁਰੇ ਅਤੇ ਬਦੀ ਕਰਨ ਵਾਲੇ ਲੋਕਾਂ ਤੋਂ ਬਚੇ ਰਹੀਏ। ਜਿਵੇਂ ਕਿ ਤੁਸੀਂ ਜਾਣਦੇ ਹੋ, ਸਾਰੇ ਲੋਕੀ ਪ੍ਰਭੂ ਵਿੱਚ ਵਿਸ਼ਵਾਸ ਨਹੀਂ ਰੱਖਦੇ।
[IRV | PA | NT | 2 Thessalonians | Chapter 3 | Verse 3] ਪਰ ਪ੍ਰਭੂ ਵਫ਼ਾਦਾਰ ਹੈ, ਉਹ ਤੁਹਾਨੂੰ ਤਾਕਤ ਦੇਵੇਗਾ ਅਤੇ ਤੁਹਾਨੂੰ ਦੁਸ਼ਟ ਤੋਂ ਬਚਾਵੇਗਾ।
[IRV | PA | NT | 2 Thessalonians | Chapter 3 | Verse 4] ਪ੍ਰਭੂ ਸਾਨੂੰ ਵਿਸ਼ਵਾਸ ਦਿੰਦਾ ਹੈ ਕਿ ਤੁਸੀਂ ਉਹੀ ਗੱਲਾਂ ਕਰ ਰਹੇ ਹੋ ਜੋ ਅਸੀਂ ਤੁਹਾਨੂੰ ਆਖੀਆਂ ਹਨ ਅਤੇ ਅਸੀਂ ਜਾਣਦੇ ਹਾਂ ਕਿ ਤੁਸੀਂ ਇਨ੍ਹਾਂ ਗੱਲਾਂ ਨੂੰ ਲਗਾਤਾਰ ਕਰਦੇ ਰਹੋਗੇ।
[IRV | PA | NT | 2 Thessalonians | Chapter 3 | Verse 5] ਅਤੇ ਪ੍ਰਭੂ ਤੁਹਾਡੇ ਦਿਲਾਂ ਨੂੰ ਪਰਮੇਸ਼ੁਰ ਦੇ ਪਿਆਰ ਅਤੇ ਮਸੀਹ ਦੇ ਸਬਰ ਵੱਲ ਜਾਣ ਲਈ ਅਗਵਾਈ ਕਰੇਗਾ।
[IRV | PA | NT | 2 Thessalonians | Chapter 3 | Verse 6] ਹੇ ਭਰਾਵੋ, ਅਸੀਂ ਆਪਣੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦੇ ਨਾਮ ਵਿੱਚ ਤੁਹਾਨੂੰ ਇਹ ਹੁਕਮ ਦਿੰਦੇ ਹਾਂ ਕਿ ਤੁਸੀਂ ਉਸ ਹਰੇਕ ਭਰਾ ਤੋਂ ਦੂਰ ਰਹੋ, ਜਿਹੜਾ ਉਸ ਸਿੱਖਿਆ ਦੇ ਅਨੁਸਾਰ ਨਹੀਂ ਚੱਲਦਾ ਜੋ ਤੁਸੀਂ ਸਾਡੇ ਕੋਲੋਂ ਪਾਈ ਪਰ ਕੁਰਾਹੇ ਚੱਲਦਾ ਹੈ।
[IRV | PA | NT | 2 Thessalonians | Chapter 3 | Verse 7] ਤੁਸੀਂ ਆਪ ਹੀ ਜਾਣਦੇ ਹੋ ਕਿ ਤੁਹਾਨੂੰ ਵੀ ਕਿਵੇਂ ਸਾਡੀ ਤਰ੍ਹਾਂ ਚੱਲਣਾ ਚਾਹੀਦਾ ਹੈ ਕਿਉਂ ਜੋ ਅਸੀਂ ਆਲਸ ਦੀ ਚਾਲ ਨਾ ਚੱਲੇ।
[IRV | PA | NT | 2 Thessalonians | Chapter 3 | Verse 8] ਅਤੇ ਜਦੋਂ ਵੀ ਅਸੀਂ ਕਿਸੇ ਦੂਸਰੇ ਵਿਅਕਤੀ ਦਾ ਭੋਜਨ ਖਾਧਾ ਅਸੀਂ ਹਮੇਸ਼ਾਂ ਉਸ ਦੀ ਕੀਮਤ ਦਿੱਤੀ, ਅਸੀਂ ਸਖ਼ਤ ਮਿਹਨਤ ਕੀਤੀ ਤਾਂ ਜੋ ਅਸੀਂ ਤੁਹਾਡੇ ਕਿਸੇ ਲਈ ਵੀ ਕਸ਼ਟ ਦਾ ਕਾਰਨ ਨਾ ਬਣੀਏ। ਅਸੀਂ ਲੱਗਭਗ ਦਿਨ ਰਾਤ ਕੰਮ ਕਰਦੇ ਰਹੇ।
[IRV | PA | NT | 2 Thessalonians | Chapter 3 | Verse 9] ਸਾਡੇ ਕੋਲ ਅਧਿਕਾਰ ਸੀ ਕਿ ਤੁਹਾਡੇ ਕੋਲੋਂ ਸਹਾਇਤਾ ਲਈਏ, ਪਰ ਅਸੀਂ ਆਪਣੀਆਂ ਲੋੜਾਂ ਲਈ ਕੰਮ ਕੀਤਾ ਤਾਂ ਜੋ ਅਸੀਂ ਤੁਹਾਡੇ ਲਈ ਇੱਕ ਉਦਾਹਰਣ ਬਣ ਸਕੀਏ।
[IRV | PA | NT | 2 Thessalonians | Chapter 3 | Verse 10] ਜਦੋਂ ਅਸੀਂ ਤੁਹਾਡੇ ਕੋਲ ਸੀ ਅਸੀਂ ਤੁਹਾਨੂੰ ਇਹ ਨਿਯਮ ਦਿੱਤਾ, “ਜੇ ਕੋਈ ਵਿਅਕਤੀ ਕੰਮ ਨਹੀਂ ਕਰਦਾ, ਤਾਂ ਉਹ ਭੋਜਨ ਵੀ ਨਾ ਕਰੇ।”
[IRV | PA | NT | 2 Thessalonians | Chapter 3 | Verse 11] ਅਸੀਂ ਸੁਣਦੇ ਹਾਂ ਕਿ ਤੁਹਾਡੇ ਸਮੂਹ ਵਿੱਚੋਂ ਕੁਝ ਲੋਕ ਕੰਮ ਕਰਨ ਤੋਂ ਇੰਨਕਾਰ ਕਰਦੇ ਹਨ। ਉਹ ਕੁਝ ਨਹੀਂ ਕਰਦੇ ਪਰ ਆਪਣੇ ਆਪ ਨੂੰ ਹੋਰਨਾਂ ਲੋਕਾਂ ਦੇ ਜੀਵਨ ਵਿੱਚ ਰੁਝਾਈ ਰੱਖਦੇ ਹਨ।
