[GRCGTR | EL | NT | James | Chapter 4 | Verse 1] Πόθεν πόλεμοι καὶ μάχαι ἐν ὑμῖν; Οὐκ ἐντεῦθεν, ἐκ τῶν ἡδονῶν ὑμῶν τῶν στρατευομένων ἐν τοῖς μέλεσιν ὑμῶν;
[GRCGTR | EL | NT | James | Chapter 4 | Verse 2] Ἐπιθυμεῖτε, καὶ οὐκ ἔχετε· φονεύετε καὶ ζηλοῦτε, καὶ οὐ δύνασθε ἐπιτυχεῖν· μάχεσθε καὶ πολεμεῖτε, οὐκ ἔχετε δέ, διὰ τὸ μὴ αἰτεῖσθαι ὑμᾶς·
[GRCGTR | EL | NT | James | Chapter 4 | Verse 3] αἰτεῖτε, καὶ οὐ λαμβάνετε, διότι κακῶς αἰτεῖσθε, ἵνα ἐν ταῖς ἡδοναῖς ὑμῶν δαπανήσητε.
[GRCGTR | EL | NT | James | Chapter 4 | Verse 4] Μοιχοὶ καὶ μοιχαλίδες, οὐκ οἴδατε ὅτι ἡ φιλία τοῦ κόσμου ἔχθρα τοῦ Θεοῦ ἐστίν; Ὃς ἂν οὖν βουληθῇ φίλος εἶναι τοῦ κόσμου, ἐχθρὸς τοῦ Θεοῦ καθίσταται.
[GRCGTR | EL | NT | James | Chapter 4 | Verse 5] Ἢ δοκεῖτε ὅτι κενῶς ἡ γραφὴ λέγει, Πρὸς φθόνον ἐπιποθεῖ τὸ πνεῦμα ὃ κατῴκησεν ἐν ἡμῖν;
[GRCGTR | EL | NT | James | Chapter 4 | Verse 6] Μείζονα δὲ δίδωσι χάριν· διὸ λέγει, Ὁ Θεὸς ὑπερηφάνοις ἀντιτάσσεται, ταπεινοῖς δὲ δίδωσι χάριν.
[GRCGTR | EL | NT | James | Chapter 4 | Verse 7] Ὑποτάγητε οὖν τῷ Θεῷ· ἀντίστητε τῷ διαβόλῳ, καὶ φεύξεται ἀφ᾿ ὑμῶν.
[GRCGTR | EL | NT | James | Chapter 4 | Verse 8] Ἐγγίσατε τῷ Θεῷ, καὶ ἐγγιεῖ ὑμῖν· καθαρίσατε χεῖρας, ἁμαρτωλοί, καὶ ἁγνίσατε καρδίας, δίψυχοι.
[GRCGTR | EL | NT | James | Chapter 4 | Verse 9] Ταλαιπωρήσατε καὶ πενθήσατε καὶ κλαύσατε· ὁ γέλως ὑμῶν εἰς πένθος μεταστραφήτω, καὶ ἡ χαρὰ εἰς κατήφειαν.
[GRCGTR | EL | NT | James | Chapter 4 | Verse 10] Ταπεινώθητε ἐνώπιον τοῦ Κυρίου, καὶ ὑψώσει ὑμᾶς.
[GRCGTR | EL | NT | James | Chapter 4 | Verse 11] Μὴ καταλαλεῖτε ἀλλήλων, ἀδελφοί. Ὁ καταλαλῶν ἀδελφοῦ, καὶ κρίνων τὸν ἀδελφὸν αὐτοῦ, καταλαλεῖ νόμου, καὶ κρίνει νόμον· εἰ δὲ νόμον κρίνεις, οὐκ εἶ ποιητὴς νόμου, ἀλλὰ κριτής.
[GRCGTR | EL | NT | James | Chapter 4 | Verse 12] Εἷς ἐστὶν ὁ νομοθέτης, ὁ δυνάμενος σῶσαι καὶ ἀπολέσαι· σὺ τίς εἶ ὃς κρίνεις τὸν ἕτερον;
[GRCGTR | EL | NT | James | Chapter 4 | Verse 13] Ἄγε νῦν οἱ λέγοντες, Σήμερον + 4:13 ἢ ¦ καὶ ST ἢ αὔριον + 4:13 πορευσόμεθα ¦ πορευσώμεθα STπορευσόμεθα εἰς τήνδε τὴν πόλιν, καὶ + 4:13 ποιήσομεν ¦ ποιήσωμεν ST ποιήσομεν ἐκεῖ ἐνιαυτὸν ἕνα, καὶ + 4:13 ἐμπορευσόμεθα ¦ ἐμπορευσώμεθα STἐμπορευσόμεθα, καὶ + 4:13 κερδήσομεν ¦ κερδήσωμεν STκερδήσομεν·
[GRCGTR | EL | NT | James | Chapter 4 | Verse 14] οἵτινες οὐκ ἐπίστασθε τὸ τῆς αὔριον. Ποία γὰρ ἡ ζωὴ ὑμῶν; Ἀτμὶς γάρ ἐστιν ἡ πρὸς ὀλίγον φαινομένη, ἔπειτα δὲ ἀφανιζομένη.
[GRCGTR | EL | NT | James | Chapter 4 | Verse 15] Ἀντὶ τοῦ λέγειν ὑμᾶς, Ἐὰν ὁ Κύριος θελήσῃ, καὶ + 4:15 ζήσωμεν ¦ ζήσομεν SCR ζήσωμεν, καὶ + 4:15 ποιήσομεν ¦ ποιήσωμεν ST ποιήσομεν τοῦτο ἢ ἐκεῖνο.
[GRCGTR | EL | NT | James | Chapter 4 | Verse 16] Νῦν δὲ καυχᾶσθε ἐν ταῖς ἀλαζονείαις ὑμῶν· πᾶσα καύχησις τοιαύτη πονηρά ἐστιν.
[GRCGTR | EL | NT | James | Chapter 4 | Verse 17] Εἰδότι οὖν καλὸν ποιεῖν καὶ μὴ ποιοῦντι, ἁμαρτία αὐτῷ ἐστίν.
