[GRCGTR | EL | NT | James | Chapter 5 | Verse 1] Ἄγε νῦν οἱ πλούσιοι, κλαύσατε ὀλολύζοντες ἐπὶ ταῖς ταλαιπωρίαις ὑμῶν ταῖς ἐπερχομέναις.
[GRCGTR | EL | NT | James | Chapter 5 | Verse 2] Ὁ πλοῦτος ὑμῶν σέσηπε, καὶ τὰ ἱμάτια ὑμῶν σητόβρωτα γέγονεν·
[GRCGTR | EL | NT | James | Chapter 5 | Verse 3] ὁ χρυσὸς ὑμῶν καὶ ὁ ἄργυρος κατίωται, καὶ ὁ ἰὸς αὐτῶν εἰς μαρτύριον ὑμῖν ἔσται, καὶ φάγεται τὰς σάρκας ὑμῶν ὡς πῦρ. Ἐθησαυρίσατε ἐν ἐσχάταις ἡμέραις.
[GRCGTR | EL | NT | James | Chapter 5 | Verse 4] Ἰδού, ὁ μισθὸς τῶν ἐργατῶν τῶν ἀμησάντων τὰς χώρας ὑμῶν, ὁ ἀπεστερημένος ἀφ᾿ ὑμῶν, κράζει· καὶ αἱ βοαὶ τῶν θερισάντων εἰς τὰ ὦτα Κυρίου Σαβαὼθ εἰσεληλύθασιν.
[GRCGTR | EL | NT | James | Chapter 5 | Verse 5] Ἐτρυφήσατε ἐπὶ τῆς γῆς καὶ ἐσπαταλήσατε· ἐθρέψατε τὰς καρδίας ὑμῶν ὡς ἐν ἡμέρᾳ σφαγῆς.
[GRCGTR | EL | NT | James | Chapter 5 | Verse 6] Κατεδικάσατε, ἐφονεύσατε τὸν δίκαιον· οὐκ ἀντιτάσσεται ὑμῖν.
[GRCGTR | EL | NT | James | Chapter 5 | Verse 7] Μακροθυμήσατε οὖν, ἀδελφοί, ἕως τῆς παρουσίας τοῦ Κυρίου. Ἰδού, ὁ γεωργὸς ἐκδέχεται τὸν τίμιον καρπὸν τῆς γῆς, μακροθυμῶν ἐπ᾿ αὐτῷ, ἕως ἂν λάβῃ ὑετὸν πρώϊμον καὶ ὄψιμον.
[GRCGTR | EL | NT | James | Chapter 5 | Verse 8] Μακροθυμήσατε καὶ ὑμεῖς, στηρίξατε τὰς καρδίας ὑμῶν, ὅτι ἡ παρουσία τοῦ Κυρίου ἤγγικε.
[GRCGTR | EL | NT | James | Chapter 5 | Verse 9] Μὴ στενάζετε κατ᾿ ἀλλήλων, ἀδελφοί, ἵνα μὴ κατακριθῆτε· ἰδού, + 5:9 κριτὴς ¦ ὁ κριτὴς SCR κριτὴς πρὸ τῶν θυρῶν ἕστηκεν.
[GRCGTR | EL | NT | James | Chapter 5 | Verse 10] Ὑπόδειγμα λάβετε τῆς κακοπαθείας, ἀδελφοί μου, καὶ τῆς μακροθυμίας, τοὺς προφήτας οἳ ἐλάλησαν τῷ ὀνόματι Κυρίου.
[GRCGTR | EL | NT | James | Chapter 5 | Verse 11] Ἰδού, μακαρίζομεν τοὺς ὑπομένοντας· τὴν ὑπομονὴν Ἰὼβ ἠκούσατε, καὶ τὸ τέλος Κυρίου εἴδετε, ὅτι πολύσπλαγχνός ἐστιν ὁ Κύριος καὶ οἰκτίρμων.
