[DRA | EN | OT | Lamentations | Chapter 5 | Verse 1] Remember, O Lord, what is come upon us: consider and behold our reproach.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 2] Our inheritance is turned to aliens: our houses to strangers.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 3] We are become orphans without a father: our mothers are as widows.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 4] We have drunk our water for money: we have bought our wood.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 5] We were dragged by the necks, we were weary and no rest was given us.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 6] We have given our hand to Egypt, and to the Assyrians, that we might be satisfied with bread.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 7] Our fathers have sinned, and are not: and we have borne their iniquities.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 8] Servants have ruled over us: there was none to redeem us out of their hand.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 9] We fetched our bread at the peril of our lives, because of the sword in the desert.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 10] Our skin was burnt as an oven, by reason of the violence of the famine.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 11] They oppressed the women in Sion, and the virgins in the cities of Juda.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 12] The princes were hanged up by their hand: they did not respect the persons of the ancient.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 13] They abused the young men indecently: and the children fell under the wood.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 14] The ancients have ceased from the gates: the young men from the choir of the singers.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 15] The joy of our heart is ceased, our dancing is turned into mourning.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 16] The crown is fallen from our head woe to us, because we have sinned.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 17] Therefore is our heart sorrowful, therefore are our eyes become dim,
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 18] For mount Sion, because it is destroyed, foxes have walked upon it.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 19] But thou, O Lord, shalt remain for ever, thy throne from generation to generation.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 20] Why wilt thou forget us for ever? why wilt thou forsake us for a long time?
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 21] Convert us, O Lord, to thee, and we shall be converted: renew our days, as from the beginning.
[DRA | EN | OT | Lamentations | Chapter 5 | Verse 22] But thou hast utterly rejected us, thou art exceedingly angry against us.
