[IRV | HI | NT | Mark | Chapter 5 | Verse 1] वे झील के पार गिरासेनियों के देश में पहुँचे,
[IRV | HI | NT | Mark | Chapter 5 | Verse 2] और जब वह नाव पर से उतरा तो तुरन्त एक मनुष्य जिसमें अशुद्ध आत्मा थी, कब्रों से निकलकर उसे मिला।
[IRV | HI | NT | Mark | Chapter 5 | Verse 3] वह कब्रों में रहा करता था और कोई उसे जंजीरों से भी न बाँध सकता था,
[IRV | HI | NT | Mark | Chapter 5 | Verse 4] क्योंकि वह बार बार बेड़ियों और जंजीरों से बाँधा गया था, पर उसने जंजीरों को तोड़ दिया, और बेड़ियों के टुकड़े-टुकड़े कर दिए थे, और कोई उसे वश में नहीं कर सकता था।
[IRV | HI | NT | Mark | Chapter 5 | Verse 5] वह लगातार रात-दिन कब्रों और पहाड़ों में चिल्लाता, और अपने को पत्थरों से घायल करता था।
[IRV | HI | NT | Mark | Chapter 5 | Verse 6] वह यीशु को दूर ही से देखकर दौड़ा, और उसे प्रणाम किया।
[IRV | HI | NT | Mark | Chapter 5 | Verse 7] और ऊँचे शब्द से चिल्लाकर कहा, “हे यीशु, परमप्रधान परमेश्वर के पुत्र, मुझे तुझ से क्या काम? मैं तुझे परमेश्वर की शपथ देता हूँ, कि मुझे पीड़ा न दे।” (मत्ती 8:29, 1 राजा. 17:18)
[IRV | HI | NT | Mark | Chapter 5 | Verse 8] क्योंकि उसने उससे कहा था, “हे अशुद्ध आत्मा, इस मनुष्य में से निकल आ।”
[IRV | HI | NT | Mark | Chapter 5 | Verse 9] यीशु ने उससे पूछा, “तेरा क्या नाम है?” उसने उससे कहा, “मेरा नाम सेना है; क्योंकि हम बहुत हैं।”
[IRV | HI | NT | Mark | Chapter 5 | Verse 10] और उसने उससे बहुत विनती की, “हमें इस देश से बाहर न भेज।”
[IRV | HI | NT | Mark | Chapter 5 | Verse 11] वहाँ पहाड़ पर सूअरों का एक बड़ा झुण्ड चर रहा था।
[IRV | HI | NT | Mark | Chapter 5 | Verse 12] और उन्होंने उससे विनती करके कहा, “हमें उन सूअरों में भेज दे, कि हम उनके भीतर जाएँ।”
[IRV | HI | NT | Mark | Chapter 5 | Verse 13] अतः उसने उन्हें आज्ञा दी और अशुद्ध आत्मा निकलकर सूअरों के भीतर घुस गई और झुण्ड, जो कोई दो हजार का था, कड़ाड़े पर से झपटकर झील में जा पड़ा, और डूब मरा।
[IRV | HI | NT | Mark | Chapter 5 | Verse 14] और उनके चरवाहों ने भागकर नगर और गाँवों में समाचार सुनाया, और जो हुआ था, लोग उसे देखने आए।
[IRV | HI | NT | Mark | Chapter 5 | Verse 15] यीशु के पास आकर, वे उसको जिसमें दुष्टात्माएँ समाई थीं, कपड़े पहने और सचेत बैठे देखकर, डर गए।
[IRV | HI | NT | Mark | Chapter 5 | Verse 16] और देखनेवालों ने उसका जिसमें दुष्टात्माएँ थीं, और सूअरों का पूरा हाल, उनको कह सुनाया।
[IRV | HI | NT | Mark | Chapter 5 | Verse 17] और वे उससे विनती करके कहने लगे, कि हमारी सीमा से चला जा।
[IRV | HI | NT | Mark | Chapter 5 | Verse 18] और जब वह नाव पर चढ़ने लगा, तो वह जिसमें पहले दुष्टात्माएँ थीं, उससे विनती करने लगा, “मुझे अपने साथ रहने दे।”
[IRV | HI | NT | Mark | Chapter 5 | Verse 19] परन्तु उसने उसे आज्ञा न दी, और उससे कहा, “अपने घर जाकर अपने लोगों को बता, कि तुझ पर दया करके प्रभु ने तेरे लिये कैसे बड़े काम किए हैं।”
[IRV | HI | NT | Mark | Chapter 5 | Verse 20] वह जाकर दिकापुलिस में इस बात का प्रचार करने लगा, कि यीशु ने मेरे लिये कैसे बड़े काम किए; और सब अचम्भा करते थे।
[IRV | HI | NT | Mark | Chapter 5 | Verse 21] जब यीशु फिर नाव से पार गया, तो एक बड़ी भीड़ उसके पास इकट्ठी हो गई; और वह झील के किनारे था।
[IRV | HI | NT | Mark | Chapter 5 | Verse 22] और याईर नामक आराधनालय के सरदारों में से एक आया, और उसे देखकर, उसके पाँवों पर गिरा।
[IRV | HI | NT | Mark | Chapter 5 | Verse 23] और उसने यह कहकर बहुत विनती की, “मेरी छोटी बेटी मरने पर है: तू आकर उस पर हाथ रख, कि वह चंगी होकर जीवित रहे।”
[IRV | HI | NT | Mark | Chapter 5 | Verse 24] तब वह उसके साथ चला; और बड़ी भीड़ उसके पीछे हो ली, यहाँ तक कि लोग उस पर गिरे पड़ते थे।
[IRV | HI | NT | Mark | Chapter 5 | Verse 25] और एक स्त्री, जिसको बारह वर्ष से लहू बहने का रोग था।
[IRV | HI | NT | Mark | Chapter 5 | Verse 26] और जिसने बहुत वैद्यों से बड़ा दुःख उठाया और अपना सब माल व्यय करने पर भी कुछ लाभ न उठाया था, परन्तु और भी रोगी हो गई थी।
[IRV | HI | NT | Mark | Chapter 5 | Verse 27] यीशु की चर्चा सुनकर, भीड़ में उसके पीछे से आई, और उसके वस्त्र को छू लिया,
[IRV | HI | NT | Mark | Chapter 5 | Verse 28] क्योंकि वह कहती थी, “यदि मैं उसके वस्त्र ही को छू लूँगी, तो चंगी हो जाऊँगी।”
[IRV | HI | NT | Mark | Chapter 5 | Verse 29] और तुरन्त उसका लहू बहना बन्द हो गया; और उसने अपनी देह में जान लिया, कि मैं उस बीमारी से अच्छी हो गई हूँ।
[IRV | HI | NT | Mark | Chapter 5 | Verse 30] यीशु ने तुरन्त अपने में जान लिया, कि मुझसे सामर्थ्य निकली है, और भीड़ में पीछे फिरकर पूछा, “मेरा वस्त्र किसने छुआ?”
[IRV | HI | NT | Mark | Chapter 5 | Verse 31] उसके चेलों ने उससे कहा, “तू देखता है, कि भीड़ तुझ पर गिरी पड़ती है, और तू कहता है; किकिसने मुझे छुआ?”
