[IRV | HI | NT | Mark | Chapter 7 | Verse 1] तब फरीसी और कुछ शास्त्री जो यरूशलेम से आए थे, उसके पास इकट्ठे हुए,
[IRV | HI | NT | Mark | Chapter 7 | Verse 2] और उन्होंने उसके कई चेलों को अशुद्ध अर्थात् बिना हाथ धोए रोटी खाते देखा।
[IRV | HI | NT | Mark | Chapter 7 | Verse 3] (क्योंकि फरीसी और सब यहूदी, प्राचीन परम्परा का पालन करते हैं और जब तक भली भाँति हाथ नहीं धो लेते तब तक नहीं खाते;
[IRV | HI | NT | Mark | Chapter 7 | Verse 4] और बाजार से आकर, जब तक स्नान नहीं कर लेते, तब तक नहीं खाते; और बहुत सी अन्य बातें हैं, जो उनके पास मानने के लिये पहुँचाई गई हैं, जैसे कटोरों, और लोटों, और तांबे के बरतनों को धोना-माँजना।)
[IRV | HI | NT | Mark | Chapter 7 | Verse 5] इसलिए उन फरीसियों और शास्त्रियों ने उससे पूछा, “तेरे चेले क्यों पूर्वजों की परम्पराओं पर नहीं चलते, और बिना हाथ धोए रोटी खाते हैं?”
[IRV | HI | NT | Mark | Chapter 7 | Verse 6] उसने उनसे कहा, “यशायाह ने तुम कपटियों के विषय में बहुत ठीक भविष्यद्वाणी की; जैसा लिखा है: ‘ये लोग होठों से तो मेरा आदर करते हैं, पर उनका मन मुझसे दूर रहता है।(यशा. 29:13)
[IRV | HI | NT | Mark | Chapter 7 | Verse 7] और ये व्यर्थ मेरी उपासना करते हैं, क्योंकि मनुष्यों की आज्ञाओं को धर्मोपदेश करके सिखाते हैं।’(यशा. 29:13)
[IRV | HI | NT | Mark | Chapter 7 | Verse 8] क्योंकि तुम परमेश्वर की आज्ञा को टालकर मनुष्यों की रीतियों को मानते हो।”
[IRV | HI | NT | Mark | Chapter 7 | Verse 9] और उसने उनसे कहा, “तुम अपनी परम्पराओं को मानने के लिये परमेश्वर की आज्ञा कैसी अच्छी तरह टाल देते हो!
[IRV | HI | NT | Mark | Chapter 7 | Verse 10] क्योंकि मूसा ने कहा है, ‘अपने पिता और अपनी माता का आदर कर;’ और ‘जो कोई पिता या माता को बुरा कहे, वह अवश्य मार डाला जाए।’(निर्ग. 20:12, व्यव. 5:16)
[IRV | HI | NT | Mark | Chapter 7 | Verse 11] परन्तु तुम कहते हो कि यदि कोई अपने पिता या माता से कहे, ‘जो कुछ तुझे मुझसे लाभ पहुँच सकता था, वहकुरबान अर्थात् संकल्प हो चुका।’
[IRV | HI | NT | Mark | Chapter 7 | Verse 12] “तो तुम उसको उसके पिता या उसकी माता की कुछ सेवा करने नहीं देते।
[IRV | HI | NT | Mark | Chapter 7 | Verse 13] इस प्रकार तुम अपनी परम्पराओं से, जिन्हें तुम ने ठहराया है, परमेश्वर का वचन टाल देते हो; और ऐसे-ऐसे बहुत से काम करते हो।”
[IRV | HI | NT | Mark | Chapter 7 | Verse 14] और उसने लोगों को अपने पास बुलाकर उनसे कहा, “तुम सब मेरी सुनो, और समझो।
[IRV | HI | NT | Mark | Chapter 7 | Verse 15] ऐसी तो कोई वस्तु नहीं जो मनुष्य में बाहर से समाकर उसे अशुद्ध करे; परन्तु जो वस्तुएँ मनुष्य के भीतर से निकलती हैं, वे ही उसे अशुद्ध करती हैं।
[IRV | HI | NT | Mark | Chapter 7 | Verse 16] यदि किसी के सुनने के कान हों तो सुन ले।”
[IRV | HI | NT | Mark | Chapter 7 | Verse 17] जब वह भीड़ के पास से घर में गया, तो उसके चेलों ने इस दृष्टान्त के विषय में उससे पूछा।
[IRV | HI | NT | Mark | Chapter 7 | Verse 18] उसने उनसे कहा, “क्या तुम भी ऐसे नासमझ हो? क्या तुम नहीं समझते, कि जो वस्तु बाहर से मनुष्य के भीतर जाती है, वह उसे अशुद्ध नहीं कर सकती?
[IRV | HI | NT | Mark | Chapter 7 | Verse 19] क्योंकि वह उसके मन में नहीं, परन्तु पेट में जाती है, और शौच में निकल जाती है?” यह कहकर उसने सब भोजनवस्तुओं को शुद्ध ठहराया।
[IRV | HI | NT | Mark | Chapter 7 | Verse 20] फिर उसने कहा, “जो मनुष्य में से निकलता है, वही मनुष्य को अशुद्ध करता है।
[IRV | HI | NT | Mark | Chapter 7 | Verse 21] क्योंकि भीतर से, अर्थात् मनुष्य के मन से, बुरे-बुरे विचार, व्यभिचार, चोरी, हत्या, परस्त्रीगमन,
[IRV | HI | NT | Mark | Chapter 7 | Verse 22] लोभ, दुष्टता, छल, लुचपन, कुदृष्टि, निन्दा, अभिमान, और मूर्खता निकलती हैं।
[IRV | HI | NT | Mark | Chapter 7 | Verse 23] ये सब बुरी बातें भीतर ही से निकलती हैं और मनुष्य को अशुद्ध करती हैं।”
[IRV | HI | NT | Mark | Chapter 7 | Verse 24] फिर वह वहाँ से उठकर सोर और सीदोन के देशों में आया; और एक घर में गया, और चाहता था, कि कोई न जाने; परन्तु वह छिप न सका।
[IRV | HI | NT | Mark | Chapter 7 | Verse 25] और तुरन्त एक स्त्री जिसकी छोटी बेटी में अशुद्ध आत्मा थी, उसकी चर्चा सुनकर आई, और उसके पाँवों पर गिरी।
[IRV | HI | NT | Mark | Chapter 7 | Verse 26] यह यूनानी और सुरूफ‍िनीकी जाति की थी; और उसने उससे विनती की, कि मेरी बेटी में से दुष्टात्मा निकाल दे।
[IRV | HI | NT | Mark | Chapter 7 | Verse 27] उसने उससे कहा, “पहले लड़कों को तृप्त होने दे, क्योंकि लड़कों की रोटी लेकर कुत्तों के आगे डालना उचित नहीं है।”
[IRV | HI | NT | Mark | Chapter 7 | Verse 28] उसने उसको उत्तर दिया; “सच है प्रभु; फिर भी कुत्ते भी तो मेज के नीचे बालकों की रोटी के चूर चार खा लेते हैं।”
[IRV | HI | NT | Mark | Chapter 7 | Verse 29] उसने उससे कहा, “इस बात के कारण चली जा; दुष्टात्मा तेरी बेटी में से निकल गई है।”
[IRV | HI | NT | Mark | Chapter 7 | Verse 30] और उसने अपने घर आकर देखा कि लड़की खाट पर पड़ी है, और दुष्टात्मा निकल गई है।
[IRV | HI | NT | Mark | Chapter 7 | Verse 31] फिर वह सोर और सीदोन के देशों से निकलकर दिकापुलिस देश से होता हुआ गलील की झील पर पहुँचा।
[IRV | HI | NT | Mark | Chapter 7 | Verse 32] और लोगों ने एक बहरे को जो हक्ला भी था, उसके पास लाकर उससे विनती की, कि अपना हाथ उस पर रखे।
[IRV | HI | NT | Mark | Chapter 7 | Verse 33] तब वह उसको भीड़ से अलग ले गया, और अपनी उँगलियाँ उसके कानों में डाली, और थूककर उसकी जीभ को छुआ।
[IRV | HI | NT | Mark | Chapter 7 | Verse 34] और स्वर्ग की ओर देखकर आह भरी, और उससे कहा, “इप्फत्तह!” अर्थात् “खुल जा!”
[IRV | HI | NT | Mark | Chapter 7 | Verse 35] और उसके कान खुल गए, और उसकी जीभ की गाँठ भी खुल गई, और वह साफ-साफ बोलने लगा।
[IRV | HI | NT | Mark | Chapter 7 | Verse 36] तब उसने उन्हें चेतावनी दी कि किसी से न कहना; परन्तु जितना उसने उन्हें चिताया उतना ही वे और प्रचार करने लगे।
[IRV | HI | NT | Mark | Chapter 7 | Verse 37] और वे बहुत ही आश्चर्य में होकर कहने लगे, “उसने जो कुछ किया सब अच्छा किया है; वह बहरों को सुनने की, और गूँगों को बोलने की शक्ति देता है।”
