[IRV | UR | OT | Genesis | Chapter 10 | Verse 1] नूह के बेटों सिम, हाम और याफ़त की औलाद यह हैं। तूफान के बाद उनके यहाँ बेटे पैदा हुए।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 2] बनी याफ़त यह हैं: जुमर और माजूज और मादी, और यावान और तूबल और मसक और तीरास।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 3] और जुमर के बेटे: अशकनाज़ और रीफ़त और तुजरमा।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 4] और यावान के बेटे: इलिसा और तरसीस, किती और दोदानी।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 5] क़ौमों के जज़ीरे इन्हीं की नसल में बट कर, हर एक की ज़बान और क़बीले के मुताबिक़ मुख़तलिफ़ मुल्क और गिरोह हो गए।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 6] और बनी हाम यह हैं: कूश और मिस्र और फ़ूत और कना'न।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 7] और बनी कूश यह हैं। सबा और हवीला और सबता और रा'मा और सब्तीका। और बनी रा'मा यह हैं: सबा और ददान।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 8] और कूश से नमरूद पैदा हुआ। वह रू — ए — ज़मीन पर एक सूर्मा हुआ है।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 9] ख़ुदावन्द के सामने वह एक शिकारी सूर्मा हुआ है, इसलिए यह मसल चली कि, “ख़ुदावन्द के सामने नमरूद सा शिकारी सूर्मा।”
[IRV | UR | OT | Genesis | Chapter 10 | Verse 10] और उस की बादशाही का पहला मुल्क सिन'आर में बाबुल और अरक और अक्काद और कलना से हुई।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 11] उसी मुल्क से निकल कर वह असूर में आया, और नीनवा और रहोबोत ईर और कलह को,
[IRV | UR | OT | Genesis | Chapter 10 | Verse 12] और नीनवा और कलह के बीच रसन को, जो बड़ा शहर है बनाया।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 13] और मिस्र से लूदी और अनामी और लिहाबी और नफ़तूही
[IRV | UR | OT | Genesis | Chapter 10 | Verse 14] और फ़तरूसी और कसलूही जिनसे फ़िलिस्ती निकले और कफ़तूरी पैदा हुए।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 15] और कनान से सैदा जो उसका पहलौठा था, और हित,
[IRV | UR | OT | Genesis | Chapter 10 | Verse 16] और यबूसी और अमोरी और जिरजासी,
[IRV | UR | OT | Genesis | Chapter 10 | Verse 17] और हव्वी और अरकी और सीनी,
[IRV | UR | OT | Genesis | Chapter 10 | Verse 18] और अरवादी और समारी और हमाती पैदा हुए; और बाद में कना'नी क़बीले फैल गए।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 19] और कना'नियों की हद यह है: सैदा से ग़ज़्ज़ा तक जो जिरार के रास्ते पर है, फिर वहाँ से लसा' तक जो सदूम और 'अमूरा और अदमा और ज़िबयान की राह पर है।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 20] इसलिए बनी हाम यह हैं, जो अपने — अपने मुल्क और गिरोहों में अपने क़बीलों और अपनी ज़बानों के मुताबिक़ आबाद हैं।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 21] और सिम के यहाँ भी जो तमाम बनी इब्र का बाप और याफ़त का बड़ा भाई था, औलाद हुई।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 22] और बनी सिम यह हैं: ऐलाम और असुर और अरफ़कसद और लुद और आराम।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 23] और बनी आराम यह हैं; ऊज़ और हूल और जतर और मस।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 24] और अरफ़कसद से सिलह पैदा हुआ और सिलह से इब्र।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 25] और इब्र के यहाँ दो बेटे पैदा हुए; एक का नाम फ़लज था क्यूँकि ज़मीन उसके दिनों में बटी, और उसके भाई का नाम युक्तान था।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 26] और युक्तान से अलमूदाद और सलफ़ और हसारमावत और इराख़।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 27] और हदूराम और ऊज़ाल और दिक़ला।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 28] और ऊबल और अबीमाएल और सिबा।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 29] और ओफ़ीर और हवील और यूबाब पैदा हुए; यह सब बनी युक्तान थे।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 30] और इनकी आबादी मेसा से मशरिक़ के एक पहाड़ सफ़ार की तरफ़ थी।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 31] इसलिए बनी सिम यह हैं, जो अपने — अपने मुल्क और गिरोह में अपने क़बीलों और अपनी ज़बानों के मुताबिक़ आबाद हैं।
[IRV | UR | OT | Genesis | Chapter 10 | Verse 32] नूह के बेटों के ख़ान्दान उनके गिरोह और नसलों के ऐतबार से यही हैं, और तूफ़ान के बाद जो क़ौमें ज़मीन पर इधर उधर बट गई वह इन्हीं में से थीं।
