[BBE | EN | OT | Isaiah | Chapter 42 | Verse 1] See my servant, whom I am supporting, my loved one, in whom I take delight: I have put my spirit on him; he will give the knowledge of the true God to the nations.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 2] He will make no cry, his voice will not be loud: his words will not come to men's ears in the streets.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 3] He will not let a crushed stem be quite broken, and he will not let a feebly burning light be put out: he will go on sending out the true word to the peoples.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 4] His light will not be put out, and he will not be crushed, till he has given the knowledge of the true God to the earth, and the sea-lands will be waiting for his teaching.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 5] God the Lord, even he who made the heavens, measuring them out on high; stretching out the earth, and giving its produce; he who gives breath to the people on it, and life to those who go about on it, says:
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 6] I the Lord have made you the vessel of my purpose, I have taken you by the hand, and kept you safe, and I have given you to be an agreement to the people, and a light to the nations:
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 7] To give eyes to the blind, to make free the prisoners from the prison, to let out those who are shut up in the dark.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 8] I am the Lord; that is my name: I will not give my glory to another, or my praise to pictured images.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 9] See, the things said before have come about, and now I give word of new things: before they come I give you news of them.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 10] Make a new song to the Lord, and let his praise be sounded from the end of the earth; you who go down to the sea, and everything in it, the sea-lands and their people.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 11] Let the waste land and its flocks be glad, the tent-circles of Kedar; let the people of the rock give a glad cry, from the top of the mountains let them make a sound of joy.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 12] Let them give glory to the Lord, sounding his praise in the sea-lands.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 13] The Lord will go out as a man of war, he will be moved to wrath like a fighting-man: his voice will be strong, he will give a loud cry; he will go against his attackers like a man of war.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 14] I have long been quiet, I have kept myself in and done nothing: now I will make sounds of pain like a woman in childbirth, breathing hard and quickly.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 15] I will make waste mountains and hills, drying up all their plants; and I will make rivers dry, and pools dry land.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 16] And I will take the blind by a way of which they had no knowledge, guiding them by roads strange to them: I will make the dark places light before them, and the rough places level. These things will I do and will not give them up.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 17] They will be turned back and be greatly shamed who put their hope in pictured images, who say to metal images, You are our gods.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 18] Give ear, you whose ears are shut; and let your eyes be open, you blind, so that you may see.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 19] Who is blind, but my servant? who has his ears stopped, but he whom I send? who is blind as my true one, or who has his ears shut like the Lord's servant?
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 20] Seeing much, but keeping nothing in mind; his ears are open, but there is no hearing.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 21] It was the Lord's pleasure, because of his righteousness, to make the teaching great and give it honour.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 22] But this is a people whose property has been taken away from them by force; they are all taken in holes, and shut up in prisons: they are made prisoners, and no one makes them free; they are taken by force and no one says, Give them back.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 23] Who is there among you who will give ear to this? who will give attention to it for the time to come?
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 24] Who gave up Jacob to those who took away his goods, and Israel to his attackers? Did not the Lord? he against whom they did wrong, and in whose ways they would not go, turning away from his teaching.
[BBE | EN | OT | Isaiah | Chapter 42 | Verse 25] For this reason he let loose on him the heat of his wrath, and his strength was like a flame; and it put fire round about him, but he did not see it; he was burned, but did not take it to heart.
