[IRV | UR | OT | Psalms | Chapter 69 | Verse 1] ऐ ख़ुदा मुझ को बचा ले, क्यूँकि पानी मेरी जान तक आ पहुँचा है।
[IRV | UR | OT | Psalms | Chapter 69 | Verse 2] मैं गहरी दलदल में धंसा जाता हूँ, जहाँ खड़ा नहीं रहा जाता; मैं गहरे पानी में आ पड़ा हूँ, जहाँ सैलाब मेरे सिर पर से गुज़रता है।
[IRV | UR | OT | Psalms | Chapter 69 | Verse 3] मैं चिल्लाते चिल्लाते थक गया, मेरा गला सूख गया; मेरी आँखें अपने ख़ुदा के इन्तिज़ार में पथरा गई।
[IRV | UR | OT | Psalms | Chapter 69 | Verse 4] मुझ से बे वजह 'अदावत रखने वाले, मेरे सिर के बालों से ज़्यादा हैं; मेरी हलाकत के चाहने वाले और नाहक़ दुश्मन ज़बरदस्त हैं, तब जो मैंने छीना नहीं मुझे देना पड़ा।
[IRV | UR | OT | Psalms | Chapter 69 | Verse 5] ऐ ख़ुदा, तू मेरी बेवक़ूफ़ी से वाक़िफ़ है, और मेरे गुनाह तुझ से पोशीदा नहीं हैं।
[IRV | UR | OT | Psalms | Chapter 69 | Verse 6] ऐ ख़ुदावन्द, लश्करों के ख़ुदा, तेरी उम्मीद रखने वाले मेरी वजह से शर्मिन्दा न हों, ऐ इस्राईल के ख़ुदा, तेरे तालिब मेरी वजह से रुस्वा न हों।
[IRV | UR | OT | Psalms | Chapter 69 | Verse 7] क्यूँकि तेरे नाम की ख़ातिर मैंने मलामत उठाई है, शर्मिन्दगी मेरे मुँह पर छा गई है।
[IRV | UR | OT | Psalms | Chapter 69 | Verse 8] मैं अपने भाइयों के नज़दीक बेगाना बना हूँ, और अपनी माँ के फ़रज़न्दों के नज़दीक अजनबी।
[IRV | UR | OT | Psalms | Chapter 69 | Verse 9] क्यूँकि तेरे घर की गै़रत मुझे खा गई, और तुझ को मलामत करने वालों की मलामतें मुझ पर आ पड़ीं हैं।
[IRV | UR | OT | Psalms | Chapter 69 | Verse 10] मेरे रोज़ा रखने से मेरी जान ने ज़ारी की, और यह भी मेरी मलामत का ज़रिए' हुआ।
[IRV | UR | OT | Psalms | Chapter 69 | Verse 11] जब मैं ने टाट ओढ़ा, तो उनके लिए ज़र्ब — उल — मसल ठहरा।
[IRV | UR | OT | Psalms | Chapter 69 | Verse 12] फाटक पर बैठने वालों में मेरा ही ज़िक्र रहता है, और मैं नशे बाज़ों का हम्द हूँ।
