[IRV | UR | OT | Psalms | Chapter 45 | Verse 1] मेरे दिल में एक नफ़ीस मज़मून जोश मार रहा है, मैं वही मज़ामीन सुनाऊँगा जो मैंने बादशाह के हक़ में लिखे हैं, मेरी ज़बान माहिर लिखने वाले का क़लम है।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 2] तू बनी आदम में सबसे हसीन है; तेरे होंटों में लताफ़त भरी है; इसलिए ख़ुदा ने तुझे हमेशा के लिए मुबारक किया।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 3] ऐ ज़बरदस्त! तू अपनी तलवार को जो तेरी हशमत — ओ — शौकत है, अपनी कमर से लटका ले।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 4] और सच्चाई और हिल्म और सदाक़त की ख़ातिर, अपनी शान — ओ — शौकत में इक़बालमंदी से सवार हो; और तेरा दहना हाथ तुझे अजीब काम दिखाएगा।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 5] तेरे तीर तेज़ हैं, वह बादशाह के दुश्मनों के दिल में लगे हैं, उम्मतें तेरे सामने पस्त होती हैं।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 6] ऐ ख़ुदा, तेरा तख़्त हमेशा से हमेशा तक है; तेरी सल्तनत का 'असा रास्ती का 'असा है।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 7] तूने सदाक़त से मुहब्बत रखी और बदकारी से नफ़रत, इसीलिए ख़ुदा, तेरे ख़ुदा ने ख़ुशी के तेल से, तुझ को तेरे हमसरों से ज़्यादा मसह किया है।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 8] तेरे हर लिबास से मुर और 'ऊद और तंज की खु़शबू आती है, हाथी दाँत के महलों में से तारदार साज़ों ने तुझे ख़ुश किया है।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 9] तेरी ख़ास ख़्वातीन में शाहज़ादियाँ हैं; मलिका तेरे दहने हाथ, ओफ़ीर के सोने से सजी खड़ी है।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 10] ऐ बेटी, सुन! ग़ौर कर और कान लगा; अपनी क़ौम और अपने बाप के घर को भूल जा;
[IRV | UR | OT | Psalms | Chapter 45 | Verse 11] और बादशाह तेरे हुस्न का मुश्ताक़ होगा। क्यूँकि वह तेरा ख़ुदावन्द है, तू उसे सिज्दा कर!
[IRV | UR | OT | Psalms | Chapter 45 | Verse 12] और सूर की बेटी हदिया लेकर हाज़िर होगी, क़ौम के दौलतमंद तेरी ख़ुशी की तलाश करेंगे।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 13] बादशाह की बेटी महल में सरापा हुस्न अफ़रोज़ है, उसका लिबास ज़रबफ़्त का है;
[IRV | UR | OT | Psalms | Chapter 45 | Verse 14] वह बेल बूटे दार लिबास में बादशाह के सामने पहुँचाई जाएगी। उसकी कुंवारी सहेलियाँ जो उसके पीछे — पीछे चलती हैं, तेरे सामने हाज़िर की जाएँगी।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 15] वह उनको ख़ुशी और ख़ुर्रमी से ले आएँगे, वह बादशाह के महल में दाख़िल होंगी।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 16] तेरे बेटे तेरे बाप दादा के जाँ नशीन होंगे; जिनको तू पूरी ज़मीन पर सरदार मुक़र्रर करेगा।
[IRV | UR | OT | Psalms | Chapter 45 | Verse 17] मैं तेरे नाम की याद को नसल दर नसल क़ाईम रखूँगा इसलिए उम्मतें हमेशा से हमेशा तक तेरी; शुक्रगुज़ारी करेंगी।
