[IRV | UR | OT | Psalms | Chapter 62 | Verse 1] मेरी जान को ख़ुदा ही की उम्मीद है, मेरी नजात उसी से है।
[IRV | UR | OT | Psalms | Chapter 62 | Verse 2] वही अकेला मेरी चट्टान और मेरी नजात है, वही मेरा ऊँचा बुर्ज है, मुझे ज़्यादा जुम्बिश न होगी।
[IRV | UR | OT | Psalms | Chapter 62 | Verse 3] तुम कब तक ऐसे शख़्स पर हमला करते रहोगे, जो झुकी हुई दीवार और हिलती बाड़ की तरह है; ताकि सब मिलकर उसे क़त्ल करो?
[IRV | UR | OT | Psalms | Chapter 62 | Verse 4] वह उसको उसके मर्तबे से गिरा देने ही का मश्वरा करते रहते हैं; वह झूट से ख़ुश होते हैं। वह अपने मुँह से तो बरकत देते हैं लेकिन दिल में ला'नत करते हैं।
[IRV | UR | OT | Psalms | Chapter 62 | Verse 5] ऐ मेरी जान, ख़ुदा ही की आस रख, क्यूँकि उसी से मुझे उम्मीद है।
[IRV | UR | OT | Psalms | Chapter 62 | Verse 6] वही अकेला मेरी चट्टान और मेरी नजात है; वही मेरा ऊँचा बुर्ज है, मुझे जुम्बिश न होगी।
[IRV | UR | OT | Psalms | Chapter 62 | Verse 7] मेरी नजात और मेरी शौकत ख़ुदा की तरफ़ से है; ख़ुदा ही मेरी ताक़त की चट्टान और मेरी पनाह है।
[IRV | UR | OT | Psalms | Chapter 62 | Verse 8] ऐ लोगो। हर वक़्त उस पर भरोसा करो; अपने दिल का हाल उसके सामने खोल दो। ख़ुदा हमारी पनाहगाह है। सिलाह
[IRV | UR | OT | Psalms | Chapter 62 | Verse 9] यक़ीनन अदना लोग बेसबात हैं और आला आदमी झूटे; वह तराजू़ में हल्के निकलेंगे; वह सब के सब बेसबाती से भी कमज़ोर हैं
[IRV | UR | OT | Psalms | Chapter 62 | Verse 10] जु़ल्म पर तकिया न करो, लूटमार करने पर न फूलो; अगर माल बढ़ जाए तो उस पर दिल न लगाओ।
[IRV | UR | OT | Psalms | Chapter 62 | Verse 11] ख़ुदा ने एक बार फ़रमाया; मैंने यह दो बार सुना, कि कु़दरत ख़ुदा ही की है।
[IRV | UR | OT | Psalms | Chapter 62 | Verse 12] शफ़क़त भी ऐ ख़ुदावन्द तेरी ही है; क्यूँकि तू हर शख़्स को उसके 'अमल के मुताबिक़ बदला देता है।
