[IRV | UR | OT | Psalms | Chapter 118 | Verse 1] ख़ुदावन्द का शुक्र करो, क्यूँकि वह भला है; और उसकी शफ़क़त हमेशा की है!
[IRV | UR | OT | Psalms | Chapter 118 | Verse 2] इस्राईल अब कहे, उसकी शफ़क़त हमेशा की है।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 3] हारून का घराना अब कहे, उसकी शफ़क़त हमेशा की है।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 4] ख़ुदावन्द से डरने वाले अब कहें, उसकी शफ़क़त हमेशा की है।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 5] मैंने मुसीबत में ख़ुदावन्द से दुआ की, ख़ुदावन्द ने मुझे जवाब दिया और कुशादगी बख़्शी।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 6] ख़ुदावन्द मेरी तरफ़ है, मैं नहीं डरने का; इंसान मेरा क्या कर सकता है?
[IRV | UR | OT | Psalms | Chapter 118 | Verse 7] ख़ुदावन्द मेरी तरफ़ मेरे मददगारों में है, इसलिए मैं अपने 'अदावत रखने वालों को देख लूँगा।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 8] ख़ुदावन्द पर भरोसा करना, इंसान पर भरोसा रखने से बेहतर है।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 9] ख़ुदावन्द पर भरोसा करना, उमरा पर भरोसा रखने से बेहतर है।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 10] सब क़ौमों ने मुझे घेर लिया; मैं ख़ुदावन्द के नाम से उनको काट डालूँगा!
[IRV | UR | OT | Psalms | Chapter 118 | Verse 11] उन्होंने मुझे घेर लिया, बेशक घेर लिया; मैं ख़ुदावन्द के नाम से उनको काट डालूँगा!
[IRV | UR | OT | Psalms | Chapter 118 | Verse 12] उन्होंने शहद की मक्खियों की तरह मुझे घेर लिया, वह काँटों की आग की तरह बुझ गए; मैं ख़ुदावन्द के नाम से उनको काट डालूँगा।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 13] तूने मुझे ज़ोर से धकेल दिया कि गिर पडू लेकिन ख़ुदावन्द ने मेरी मदद की।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 14] ख़ुदावन्द मेरी ताक़त और मेरी हम्द है; वही मेरी नजात हुआ।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 15] सादिकों के खे़मों में ख़ुशी और नजात की रागनी है, ख़ुदावन्द का दहना हाथ दिलावरी करता है।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 16] ख़ुदावन्द का दहना हाथ बुलन्द हुआ है, ख़ुदावन्द का दहना हाथ दिलावरी करता है।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 17] मैं मरूँगा नहीं बल्कि जिन्दा रहूँगा, और ख़ुदावन्द के कामों का बयान करूँगा।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 18] ख़ुदावन्द ने मुझे सख़्त तम्बीह तो की, लेकिन मौत के हवाले नहीं किया।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 19] सदाक़त के फाटकों को मेरे लिए खोल दो, मैं उनसे दाख़िल होकर ख़ुदावन्द का शुक्र करूँगा।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 20] ख़ुदावन्द का फाटक यही है, सादिक इससे दाख़िल होंगे।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 21] मैं तेरा शुक्र करूँगा क्यूँकि तूने मुझे जवाब दिया, और ख़ुद मेरी नजात बना है।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 22] जिस पत्थर की मे'मारों ने रद्द किया, वही कोने के सिरे का पत्थर हो गया।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 23] यह ख़ुदावन्द की तरफ़ से हुआ, और हमारी नज़र में 'अजीब है।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 24] यह वही दिन है जिसे ख़ुदावन्द ने मुक़र्रर किया, हम इसमें ख़ुश होंगे और ख़ुशी मनाएँगे।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 25] आह! ऐ ख़ुदावन्द बचा ले! आह! ऐ ख़ुदावन्द खु़शहाली बख़्श!
[IRV | UR | OT | Psalms | Chapter 118 | Verse 26] मुबारक है वह जो ख़ुदावन्द के नाम से आता है! हम ने तुम को ख़ुदावन्द के घर से दुआ दी है।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 27] यहोवा ही ख़ुदा है, और उसी ने हम को नूर बख़्शा है। कु़र्बानी को मज़बह के सींगों से रस्सियों से बाँधो!
[IRV | UR | OT | Psalms | Chapter 118 | Verse 28] तू मेरा ख़ुदा है, मैं तेरा शुक्र करूँगा; तू मेरा ख़ुदा है, मैं तेरी तम्जीद करूँगा।
[IRV | UR | OT | Psalms | Chapter 118 | Verse 29] ख़ुदावन्द का शुक्र करो, क्यूँकि वह भला है; और उसकी शफ़क़त हमेशा की है!
