[IRV | UR | OT | Psalms | Chapter 26 | Verse 1] ऐ ख़ुदावन्द, मेरा इन्साफ़ कर, क्यूँकि मैं रास्ती से चलता रहा हूँ, और मैंने ख़ुदावन्द पर बे लग़ज़िश भरोसा किया है।
[IRV | UR | OT | Psalms | Chapter 26 | Verse 2] ऐ ख़ुदावन्द, मुझे जाँच और आज़मा; मेरे दिल — ओ — दिमाग़ को परख।
[IRV | UR | OT | Psalms | Chapter 26 | Verse 3] क्यूँकि तेरी शफ़क़त मेरी आँखों के सामने है, और मैं तेरी सच्चाई की राह पर चलता रहा हूँ।
[IRV | UR | OT | Psalms | Chapter 26 | Verse 4] मैं बेहूदा लोगों के साथ नहीं बैठा, मैं रियाकारों के साथ कहीं नहीं जाऊँगा।
[IRV | UR | OT | Psalms | Chapter 26 | Verse 5] बदकिरदारों की जमा'अत से मुझे नफ़रत है, मैं शरीरों के साथ नहीं बैठूँगा।
[IRV | UR | OT | Psalms | Chapter 26 | Verse 6] मैं बेगुनाही में अपने हाथ धोऊँगा, और ऐ ख़ुदावन्द, मैं तेरे मज़बह का तवाफ़ करूँगा;
[IRV | UR | OT | Psalms | Chapter 26 | Verse 7] ताकि शुक्रगुज़ारी की आवाज़ बुलन्द करूँ, और तेरे सब 'अजीब कामों को बयान करूँ।
[IRV | UR | OT | Psalms | Chapter 26 | Verse 8] ऐ ख़ुदावन्द, मैं तेरी सकूनतगाह, और तेरे जलाल के ख़ेमे को 'अज़ीज़ रखता हूँ।
[IRV | UR | OT | Psalms | Chapter 26 | Verse 9] मेरी जान को गुनहगारों के साथ, और मेरी ज़िन्दगी को ख़ूनी आदमियों के साथ न मिला।
[IRV | UR | OT | Psalms | Chapter 26 | Verse 10] जिनके हाथों में शरारत है, और जिनका दहना हाथ रिश्वतों से भरा है।
[IRV | UR | OT | Psalms | Chapter 26 | Verse 11] लेकिन मैं तो रास्ती से चलता रहूँगा। मुझे छुड़ा ले और मुझ पर रहम कर।
[IRV | UR | OT | Psalms | Chapter 26 | Verse 12] मेरा पाँव हमवार जगह पर क़ाईम है। मैं जमा'अतों में ख़ुदावन्द को मुबारक कहूँगा।
