[IRV | UR | OT | Psalms | Chapter 108 | Verse 1] ऐ ख़ुदा, मेरा दिल क़ाईम है; मैं गाऊँगा और दिल से मदहसराई करूँगा।
[IRV | UR | OT | Psalms | Chapter 108 | Verse 2] ऐ बरबत और सितार जागो! मैं ख़ुद भी सुबह सवेरे जाग उठूँगा।
[IRV | UR | OT | Psalms | Chapter 108 | Verse 3] ऐ ख़ुदावन्द, मैं लोगों में तेरा शुक्र करूँगा, मैं उम्मतों में तेरी मदहसराई करूँगा।
[IRV | UR | OT | Psalms | Chapter 108 | Verse 4] क्यूँकि तेरी शफ़क़त आसमान से बुलन्द है, और तेरी सच्चाई आसमानों के बराबर है।
[IRV | UR | OT | Psalms | Chapter 108 | Verse 5] ऐ ख़ुदा, तू आसमानों पर सरफ़राज़ हो! और तेरा जलाल सारी ज़मीन पर हो
[IRV | UR | OT | Psalms | Chapter 108 | Verse 6] अपने दहने हाथ से बचा और हमें जवाब दे, ताकि तेरे महबूब बचाए जाएँ।
[IRV | UR | OT | Psalms | Chapter 108 | Verse 7] ख़ुदा ने अपनी पाकिज़गी में यह फ़रमाया है “मैं खु़शी करूँगा, मैं सिकम को तक़्सीम करूँगा और सुकात की वादी को बाटुँगा।
[IRV | UR | OT | Psalms | Chapter 108 | Verse 8] जिल'आद मेरा है, मनस्सी मेरा है; इफ़्राईम मेरे सिर का खू़द है; यहूदाह मेरा 'असा है।
[IRV | UR | OT | Psalms | Chapter 108 | Verse 9] मोआब मेरी चिलपची है, अदोम पर मैं जूता फेकूँगा, मैं फ़िलिस्तीन पर ललकारूँगा।”
[IRV | UR | OT | Psalms | Chapter 108 | Verse 10] मुझे उस फ़सीलदार शहर में कौन पहुँचाएगा? कौन मुझे अदोम तक ले गया है?
[IRV | UR | OT | Psalms | Chapter 108 | Verse 11] ऐ ख़ुदा, क्या तूने हमें रद्द नहीं कर दिया? ऐ ख़ुदा, तू हमारे लश्करों के साथ नहीं जाता।
[IRV | UR | OT | Psalms | Chapter 108 | Verse 12] मुख़ालिफ़ के मुक़ाबिले में हमारी मदद कर, क्यूँकि इंसानी मदद 'बेकार है।
[IRV | UR | OT | Psalms | Chapter 108 | Verse 13] ख़ुदा की बदौलत हम दिलावरी करेगी; क्यूँकि वही हमारे मुख़ालिफ़ों को पामाल करेगा।
