[IRV | UR | OT | Psalms | Chapter 78 | Verse 1] ऐ मेरे लोगों मेरी शरी'अत को सुनो मेरे मुँह की बातों पर कान लगाओ।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 2] मैं तम्सील में कलाम करूँगा, और पुराने पोशीदा राज़ कहूँगा,
[IRV | UR | OT | Psalms | Chapter 78 | Verse 3] जिनको हम ने सुना और जान लिया, और हमारे बाप — दादा ने हम को बताया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 4] और जिनको हम उनकी औलाद से पोशीदा नहीं रख्खेंगे; बल्कि आइंदा नसल को भी ख़ुदावन्द की ता'रीफ़, और उसकी कु़दरत और 'अजाईब जो उसने किए बताएँगे।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 5] क्यूँकि उसने या'कू़ब में एक शहादत क़ाईम की, और इस्राईल में शरी'अत मुक़र्रर की, जिनके बारे में उसने हमारे बाप दादा को हुक्म दिया, कि वह अपनी औलाद को उनकी ता'लीम दें,
[IRV | UR | OT | Psalms | Chapter 78 | Verse 6] ताकि आइंदा नसल, या'नी वह फ़र्ज़न्द जो पैदा होंगे, उनको जान लें:और वह बड़े होकर अपनी औलाद को सिखाएँ,
[IRV | UR | OT | Psalms | Chapter 78 | Verse 7] कि वह ख़ुदा पर उम्मीद रखें, और उसके कामों को भूल न जाएँ, बल्कि उसके हुक्मों पर 'अमल करें;
[IRV | UR | OT | Psalms | Chapter 78 | Verse 8] और अपने बाप — दादा की तरह, सरकश और बाग़ी नसल न बनें:ऐसी नसल जिसने अपना दिल दुरुस्त न किया और जिसकी रूह ख़ुदा के सामने वफ़ादार न रही।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 9] बनी इफ़्राईम हथियार बन्द होकर और कमाने रखते हुए लड़ाई के दिन फिर गए।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 10] उन्होंने ख़ुदा के 'अहद को क़ाईम न रख्खा, और उसकी शरी'अत पर चलने से इन्कार किया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 11] और उसके कामों को और उसके'अजायब को, जो उसने उनको दिखाए थे भूल गए।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 12] उसने मुल्क — ए — मिस्र में जुअन के इलाके में, उनके बाप — दादा के सामने 'अजीब — ओ — ग़रीब काम किए।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 13] उसने समुन्दर के दो हिस्से करके उनको पार उतारा, और पानी को तूदे की तरह खड़ा कर दिया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 14] उसने दिन को बादल से उनकी रहबरी की, और रात भर आग की रोशनी से।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 15] उसने वीरान में चट्टानों को चीरा, और उनको जैसे बहर से खू़ब पिलाया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 16] उसने चट्टान में से नदियाँ जारी कीं, और दरियाओं की तरह पानी बहाया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 17] तोभी वह उसके ख़िलाफ़ गुनाह करते ही गए, और वीरान में हक़ता'ला से सरकशी करते रहे।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 18] और उन्होंने अपनी ख़्वाहिश के मुताबिक़ खाना मांग कर अपने दिल में ख़ुदा को आज़माया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 19] बल्कि वह ख़ुदा के खि़लाफ़ बकने लगे, और कहा, “क्या ख़ुदा वीरान में दस्तरख़्वान बिछा सकता है?
[IRV | UR | OT | Psalms | Chapter 78 | Verse 20] देखो, उसने चट्टान को मारा तो पानी फूट निकला, और नदियाँ बहने लगीं क्या वह रोटी भी दे सकता है? क्या वह अपने लोगों के लिए गोश्त मुहय्या कर देगा?”
[IRV | UR | OT | Psalms | Chapter 78 | Verse 21] तब ख़ुदावन्द सुन कर गज़बनाक हुआ, और या'कू़ब के ख़िलाफ़ आग भड़क उठी, और इस्राईल पर क़हर टूट पड़ा;
[IRV | UR | OT | Psalms | Chapter 78 | Verse 22] इसलिए कि वह ख़ुदा पर ईमान न लाए, और उसकी नजात पर भरोसा न किया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 23] तोभी उसने आसमानों को हुक्म दिया, और आसमान के दरवाज़े खोले:
[IRV | UR | OT | Psalms | Chapter 78 | Verse 24] और खाने के लिए उन पर मन्न बरसाया, और उनको आसमानी खू़राक बख़्शी।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 25] इंसान ने फ़रिश्तों की गिज़ा खाई: उसने खाना भेजकर उनको आसूदा किया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 26] उसने आसमान में पुर्वा चलाई, और अपनी कु़दरत से दखना बहाई।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 27] उसने उन पर गोश्त को ख़ाक की तरह बरसाया, और परिन्दों को समन्दर की रेत की तरह;
[IRV | UR | OT | Psalms | Chapter 78 | Verse 28] जिनको उसने उनकी खे़मागाह में, उनके घरों के आसपास गिराया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 29] तब वह खाकर खू़ब सेर हुए, और उसने उनकी ख़्वाहिश पूरी की।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 30] वह अपनी ख्वाहिश से बाज़ न आए, और उनका खाना उनके मुँह ही में था।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 31] कि ख़ुदा का ग़ज़ब उन पर टूट पड़ा, और उनके सबसे मोटे ताज़े आदमी क़त्ल किए, और इस्राईली जवानों को मार गिराया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 32] बावुजूद इन सब बातों कि वह गुनाह करते ही रहे; और उसके 'अजीब — ओ — ग़रीब कामों पर ईमान न लाए।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 33] इसलिए उसने उनके दिनों को बतालत से, और उनके बरसों को दहशत से तमाम कर दिया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 34] जब वह उनको कत्ल करने लगा, तो वह उसके तालिब हुए; और रुजू होकर दिल — ओ — जान से ख़ुदा को ढूंडने लगे।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 35] और उनको याद आया कि ख़ुदा उनकी चट्टान, और ख़ुदा ता'ला उनका फ़िदिया देने वाला है।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 36] लेकिन उन्होंने अपने मुँह से उसकी ख़ुशामद की, और अपनी ज़बान से उससे झूट बोला।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 37] क्यूँकि उनका दिल उसके सामने दुरुस्त और वह उसके 'अहद में वफ़ादार न निकले।
