[IRV | UR | OT | Psalms | Chapter 73 | Verse 1] बेशक ख़ुदा इस्राईल पर, या'नी पाक दिलों पर मेहरबान है।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 2] लेकिन मेरे पाँव तो फिसलने को थे, मेरे क़दम क़रीबन लग़ज़िश खा चुके थे।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 3] क्यूँकि जब मैं शरीरों की इक़बालमंदी देखता, तो मग़रूरों पर हसद करता था।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 4] इसलिए के उनकी मौत में दर्द नहीं, बल्कि उनकी ताक़त बनी रहती है।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 5] वह और आदमियों की तरह मुसीबत में नहीं पड़ते; न और लोगों की तरह उन पर आफ़त आती है।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 6] इसलिए गु़रूर उनके गले का हार है, जैसे वह ज़ुल्म से मुलब्बस हैं।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 7] उनकी आँखें चर्बी से उभरी हुई हैं, उनके दिल के ख़यालात हद से बढ़ गए हैं।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 8] वह ठट्ठा मारते, और शरारत से जु़ल्म की बातें करते हैं; वह बड़ा बोल बोलते हैं।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 9] उनके मुँह आसमान पर हैं, और उनकी ज़बाने ज़मीन की सैर करती हैं।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 10] इसलिए उसके लोग इस तरफ़ रुजू' होते हैं, और जी भर कर पीते हैं।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 11] वह कहते हैं, “ख़ुदा को कैसे मा'लूम है? क्या हक़ ता'ला को कुछ 'इल्म है?”
[IRV | UR | OT | Psalms | Chapter 73 | Verse 12] इन शरीरों को देखो, यह हमेशा चैन से रहते हुए दौलत बढ़ाते हैं।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 13] यक़ीनन मैने बेकार अपने दिल को साफ़, और अपने हाथों को पाक किया;
[IRV | UR | OT | Psalms | Chapter 73 | Verse 14] क्यूँकि मुझ पर दिन भर आफ़त रहती है, और मैं हर सुबह तम्बीह पाता हूँ।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 15] अगर मैं कहता, कि यूँ कहूँगा; तो तेरे फ़र्ज़न्दों की नसल से बेवफ़ाई करता।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 16] जब मैं सोचने लगा कि इसे कैसे समझूँ, तो यह मेरी नज़र में दुश्वार था,
[IRV | UR | OT | Psalms | Chapter 73 | Verse 17] जब तक कि मैंने ख़ुदा के मक़दिस में जाकर, उनके अंजाम को न सोचा।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 18] यक़ीनन तू उनको फिसलनी जगहों में रखता है, और हलाकत की तरफ़ ढकेल देता है।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 19] वह दम भर में कैसे उजड़ गए! वह हादिसों से बिल्कुल फ़ना हो गए।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 20] जैसे जाग उठने वाला ख़्वाब को, वैसे ही तू ऐ ख़ुदावन्द, जाग कर उनकी सूरत को नाचीज़ जानेगा।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 21] क्यूँकि मेरा दिल रंजीदा हुआ, और मेरा जिगर छिद गया था;
[IRV | UR | OT | Psalms | Chapter 73 | Verse 22] मैं बे'अक्ल और जाहिल था, मैं तेरे सामने जानवर की तरह था।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 23] तोभी मैं बराबर तेरे साथ हूँ। तूने मेरा दाहिना हाथ पकड़ रखा है।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 24] तू अपनी मसलहत से मेरी रहनुमाई करेगा, और आख़िरकार मुझे जलाल में कु़बूल फ़रमाएगा।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 25] आसमान पर तेरे अलावा मेरा कौन है? और ज़मीन पर मैं तेरे अलावा किसी का मुश्ताक़ नहीं।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 26] जैसे मेरा जिस्म और मेरा दिल ज़ाइल हो जाएँ, तोभी ख़ुदा हमेशा मेरे दिल की ताक़त और मेरा हिस्सा है।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 27] क्यूँकि देख, वह जो तुझ से दूर हैं फ़ना हो जाएँगे; तूने उन सबको जिन्होंने तुझ से बेवफ़ाई की, हलाक कर दिया है।
[IRV | UR | OT | Psalms | Chapter 73 | Verse 28] लेकिन मेरे लिए यही भला है कि ख़ुदा की नज़दीकी हासिल करूँ; मैंने ख़ुदावन्द ख़ुदा को अपनी पनाहगाह बना लिया है ताकि तेरे सब कामों का बयान करूँ।
