[IRV | UR | OT | Psalms | Chapter 147 | Verse 1] ख़ुदावन्द की हम्द करो! क्यूँकि ख़ुदा की मदहसराई करना भला है; इसलिए कि यह दिलपसंद और सिताइश ज़ेबा है।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 2] ख़ुदावन्द येरूशलेम को ता'मीर करता है; वह इस्राईल के जिला वतनों को जमा' करता है।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 3] वह शिकस्ता दिलों को शिफ़ा देता है, और उनके ज़ख़्म बाँधता है।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 4] वह सितारों को शुमार करता है, और उन सबके नाम रखता है।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 5] हमारा ख़ुदावन्द बुजु़र्ग और कु़दरत में 'अज़ीम है; उसके समझ की इन्तिहा नहीं।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 6] ख़ुदावन्द हलीमों को संभालता है, वह शरीरों को ख़ाक में मिला देता है।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 7] ख़ुदावन्द के सामने शुक्रगुज़ारी का हम्द गाओ, सितार पर हमारे ख़ुदा की मदहसराई करो।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 8] जो आसमान को बादलों से मुलब्बस करता है; जो ज़मीन के लिए मेंह तैयार करता है; जो पहाड़ों पर घास उगाता है।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 9] जो हैवानात को ख़ुराक देता है, और कव्वे के बच्चे को जो काएँ काएँ करते हैं।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 10] घोड़े के ज़ोर में उसकी खु़शनूदी नहीं न आदमी की टाँगों से उसे कोई ख़ुशी है;
[IRV | UR | OT | Psalms | Chapter 147 | Verse 11] ख़ुदावन्द उनसे ख़ुश है जो उससे डरते हैं, और उनसे जो उसकी शफ़क़त के उम्मीदवार हैं।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 12] ऐ येरूशलेम! ख़ुदावन्द की सिताइश कर!, ऐ सिय्यून! अपने ख़ुदा की सिताइश कर।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 13] क्यूँकि उसने तेरे फाटकों के बेंडों को मज़बूत किया है, उसने तेरे अन्दर तेरी औलाद को बरकत दी है।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 14] वह तेरी हद में अम्न रखता है! वह तुझे अच्छे से अच्छे गेहूँ से आसूदा करता है।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 15] वह अपना हुक्म ज़मीन पर भेजता है, उसका कलाम बहुत तेज़ रौ है।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 16] वह बर्फ़ को ऊन की तरह गिराता है, और पाले को राख की तरह बिखेरता है।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 17] वह यख़ को लुक़मों की तरह फेंकता उसकी ठंड कौन सह सकता है?
[IRV | UR | OT | Psalms | Chapter 147 | Verse 18] वह अपना कलाम नाज़िल करके उनको पिघला देता है ; वह हवा चलाता है और पानी बहने लगता है।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 19] वह अपना कलाम या'क़ूब पर ज़ाहिर करता है, और अपने आईन — ओ — अहकाम इस्राईल पर।
[IRV | UR | OT | Psalms | Chapter 147 | Verse 20] उसने किसी और क़ौम से ऐसा सुलूक नहीं किया; और उनके अहकाम को उन्होंने नहीं जाना। ख़ुदावन्द की हम्द करो!
