[IRV | UR | OT | Psalms | Chapter 104 | Verse 1] ऐ मेरी जान, तू ख़ुदावन्द को मुबारक कह, ऐ ख़ुदावन्द मेरे ख़ुदा तू बहुत बुज़ुर्ग है, तू हश्मत और जलाल से मुलब्बस है!
[IRV | UR | OT | Psalms | Chapter 104 | Verse 2] तू नूर को पोशाक की तरह पहनता है, और आसमान को सायबान की तरह तानता है।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 3] तू अपने बालाख़ानों के शहतीर पानी पर टिकाता है; तू बादलों को अपना रथ बनाता है; तू हवा के बाज़ुओं पर सैर करता है;
[IRV | UR | OT | Psalms | Chapter 104 | Verse 4] तू अपने फ़रिश्तों को हवाएँ और अपने ख़ादिमों की आग के शो'ले बनाता है।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 5] तूने ज़मीन को उसकी बुनियाद पर क़ाईम किया, ताकि वह कभी जुम्बिश न खाए।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 6] तूने उसको समन्दर से छिपाया जैसे लिबास से; पानी पहाड़ों से भी बुलन्द था।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 7] वह तेरी झिड़की से भागा वह तेरी गरज की आवाज़ से जल्दी — जल्दी चला।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 8] उस जगह पहुँच गया जो तूने उसके लिए तैयार की थी; पहाड़ उभर आए, वादियाँ बैठ गई।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 9] तूने हद बाँध दी ताकि वह आगे न बढ़ सके, और फिर लौटकर ज़मीन को न छिपाए।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 10] वह वादियों में चश्मे जारी करता है, जो पहाड़ों में बहते हैं।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 11] सब जंगली जानवर उनसे पीते हैं; गोरखर अपनी प्यास बुझाते हैं।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 12] उनके आसपास हवा के परिन्दे बसेरा करते, और डालियों में चहचहाते हैं।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 13] वह अपने बालाख़ानों से पहाड़ों को सेराब करता है। तेरी कारीगरी के फल से ज़मीन आसूदा है।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 14] वह चौपायों के लिए घास उगाता है, और इंसान के काम के लिए सब्ज़ा , ताकि ज़मीन से ख़ुराक पैदा करे।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 15] और मय जो इंसान के दिल कोऔर रोग़न जो उसके चेहरे को चमकाता है, और रोटी जो आदमी के दिल को तवानाई बख्शती है।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 16] ख़ुदावन्द के दरख़्त शादाब रहते हैं, या'नी लुबनान के देवदार जो उसने लगाए।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 17] जहाँ परिन्दे अपने घोंसले बनाते हैं; सनोबर के दरख़्तों में लकलक का बसेरा है।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 18] ऊँचे पहाड़ जंगली बकरों के लिए हैं; चट्टानें साफ़ानों की पनाह की जगह हैं।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 19] उसने चाँद को ज़मानों के फ़र्क़ के लिए मुक़र्रर किया; आफ़ताब अपने ग़ुरुब की जगह जानता है।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 20] तू अँधेरा कर देता है तो रात हो जाती है, जिसमें सब जंगली जानवर निकल आते हैं।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 21] जवान शेर अपने शिकार की तलाश में गरजते हैं, और ख़ुदा से अपनी खू़राक माँगते हैं।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 22] आफ़ताब निकलते ही वह चल देते हैं, और जाकर अपनी माँदों में पड़े रहते हैं।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 23] इंसान अपने काम के लिए, और शाम तक अपनी मेहनत करने के लिए निकलता है।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 24] ऐ ख़ुदावन्द, तेरी कारीगरी कैसी बेशुमार हैं। तूने यह सब कुछ हिकमत से बनाया; ज़मीन तेरी मख़लूक़ात से मा'मूर है।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 25] देखो, यह बड़ा और चौड़ा समन्दर, जिसमें बेशुमार रेंगने वाले जानदार हैं; या'नी छोटे और बड़े जानवर।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 26] जहाज़ इसी में चलते हैं; इसी में लिवियातान है, जिसे तूने इसमें खेलने को पैदा किया।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 27] इन सबको तेरी ही उम्मीद है, ताकि तू उनको वक़्त पर ख़ूराक दे।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 28] जो कुछ तू देता है, यह ले लेते हैं; तू अपनी मुट्ठी खोलता है और यह अच्छी चीज़ों से सेर होते हैं
[IRV | UR | OT | Psalms | Chapter 104 | Verse 29] तू अपना चेहरा छिपा लेता है, और यह परेशान हो जाते हैं; तू इनका दम रोक लेता है, और यह मर जाते हैं, और फिर मिट्टी में मिल जाते हैं।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 30] तू अपनी रूह भेजता है, और यह पैदा होते हैं; और तू इस ज़मीन को नया बना देता है।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 31] ख़ुदावन्द का जलाल हमेशा तक रहे, ख़ुदावन्द अपनी कारीगरी से खु़श हो।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 32] वह ज़मीन पर निगाह करता है, और वह काँप जाती है ; वह पहाड़ों को छूता है, और उनसे से धुआँ निकलने लगता है।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 33] मैं उम्र भर ख़ुदावन्द की ता'रीफ़ गाऊँगा; जब तक मेरा वुजूद है मैं अपने ख़ुदा की मदहसराई करूँगा।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 34] मेरा ध्यान उसे पसन्द आए, मैं ख़ुदावन्द में ख़ुश रहूँगा।
[IRV | UR | OT | Psalms | Chapter 104 | Verse 35] गुनहगार ज़मीन पर से फ़ना हो जाएँ, और शरीर बाक़ी न रहें! ऐ मेरी जान, ख़ुदावन्द को मुबारक कह! ख़ुदावन्द की हम्द करो!
