[IRV | UR | OT | Psalms | Chapter 84 | Verse 1] ऐ लश्करों के ख़ुदावन्द! तेरे घर क्या ही दिलकश हैं!
[IRV | UR | OT | Psalms | Chapter 84 | Verse 2] मेरी जान ख़ुदावन्द की बारगाहों की मुश्ताक़ है, बल्कि गुदाज़ हो चली, मेरा दिल और मेरा जिस्म ज़िन्दा ख़ुदा के लिए ख़ुशी से ललकारते हैं।
[IRV | UR | OT | Psalms | Chapter 84 | Verse 3] ऐ लश्करों के ख़ुदावन्द! ऐ मेरे बादशाहऔर मेरे ख़ुदा! तेरे मज़बहों के पास गौरया ने अपना आशियाना, और अबाबील ने अपने लिए घोंसला बना लिया, जहाँ वह अपने बच्चों को रख्खे।
[IRV | UR | OT | Psalms | Chapter 84 | Verse 4] मुबारक हैं वह जो तेरे घर में रहते हैं, वह हमेशा तेरी ता'रीफ़ करेंगे। मिलाह
[IRV | UR | OT | Psalms | Chapter 84 | Verse 5] मुबारक है वह आदमी, जिसकी ताक़त तुझ से है, जिसके दिल में सिय्यून की शाह राहें हैं।
[IRV | UR | OT | Psalms | Chapter 84 | Verse 6] वह वादी — ए — बुका से गुज़र कर उसे चश्मों की जगह बना लेते हैं, बल्कि पहली बारिश उसे बरकतों से मा'मूर कर देती है।
[IRV | UR | OT | Psalms | Chapter 84 | Verse 7] वह ताक़त पर ताक़त पाते हैं; उनमें से हर एक सिय्यून में ख़ुदा के सामने हाज़िर होता है।
[IRV | UR | OT | Psalms | Chapter 84 | Verse 8] ऐ ख़ुदावन्द, लश्करों के ख़ुदा, मेरी दुआ सुन ऐ या'क़ूब के ख़ुदा! कान लगा! सिलाह
[IRV | UR | OT | Psalms | Chapter 84 | Verse 9] ऐ ख़ुदा! ऐ हमारी सिपर! देख; और अपने मम्सूह के चेहरे पर नजर कर।
[IRV | UR | OT | Psalms | Chapter 84 | Verse 10] क्यूँकि तेरी बारगाहों में एक दिन हज़ार से बेहतर है। मैं अपने ख़ुदा के घर का दरबान होना, शरारत के खे़मों में बसने से ज़्यादा पसंद करूँगा।
[IRV | UR | OT | Psalms | Chapter 84 | Verse 11] क्यूँकि ख़ुदावन्द ख़ुदा, आफ़ताब और ढाल है; ख़ुदावन्द फ़ज़ल और जलाल बख़्शेगा वह रास्तरू से कोई ने'मत बाज़ न रख्खेगा।
[IRV | UR | OT | Psalms | Chapter 84 | Verse 12] ऐ लश्करों के ख़ुदावन्द! मुबारक है वह आदमी जिसका भरोसा तुझ पर है।
