[IRV | UR | OT | Psalms | Chapter 139 | Verse 1] ऐ ख़ुदावन्द! तूने मुझे जाँच लिया और पहचान लिया।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 2] तू मेरा उठना बैठना जानता है; तू मेरे ख़याल को दूर से समझ लेता है।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 3] तू मेरे रास्ते की और मेरी ख़्वाबगाह की छान बीन करता है, और मेरे सब चाल चलन से वाक़िफ़ है।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 4] देख! मेरी ज़बान पर कोई ऐसी बात नहीं, जिसे तू ऐ ख़ुदावन्द पूरे तौर पर न जानता हो।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 5] तूने मुझे आगे पीछे से घेर रखा है, और तेरा हाथ मुझ पर है।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 6] यह इरफ़ान मेरे लिए बहुत 'अजीब है; यह बुलन्द है, मैं इस तक पहुँच नहीं सकता।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 7] मैं तेरी रूह से बचकर कहाँ जाऊँ? या तेरे सामने से किधर भागूँ?
[IRV | UR | OT | Psalms | Chapter 139 | Verse 8] अगर आसमान पर चढ़ जाऊँ, तो तू वहाँ है। अगर मैं पाताल में बिस्तर बिछाऊँ, तो देख तू वहाँ भी है!
[IRV | UR | OT | Psalms | Chapter 139 | Verse 9] अगर मैं सुबह के पर लगाकर, समन्दर की इन्तिहा में जा बसूँ,
[IRV | UR | OT | Psalms | Chapter 139 | Verse 10] तो वहाँ भी तेरा हाथ मेरी राहनुमाई करेगा, और तेरा दहना हाथ मुझे संभालेगा।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 11] अगर मैं कहूँ कि यक़ीनन तारीकी मुझे छिपा लेगी, और मेरी चारों तरफ़ का उजाला रात बन जाएगा।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 12] तो अँधेरा भी तुझ से छिपा नहीं सकता, बल्कि रात भी दिन की तरह रोशन है; अँधेरा और उजाला दोनों एक जैसे हैं।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 13] क्यूँकि मेरे दिल को तू ही ने बनाया; मेरी माँ के पेट में तू ही ने मुझे सूरत बख़्शी।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 14] मैं तेरा शुक्र करूँगा, क्यूँकि मैं 'अजीबओ — ग़रीब तौर से बना हूँ। तेरे काम हैरत अंगेज़ हैं मेरा दिल इसे खू़ब जानता है।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 15] जब मैं पोशीदगी में बन रहा था, और ज़मीन के तह में 'अजीब तौर से मुरतब हो रहा था, तो मेरा क़ालिब तुझ से छिपा न था।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 16] तेरी आँखों ने मेरे बेतरतीब माद्दे को देखा, और जो दिन मेरे लिए मुक़र्रर थे, वह सब तेरी किताब में लिखे थे; जब कि एक भी वुजूद में न आया था।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 17] ऐ ख़ुदा! तेरे ख़याल मेरे लिए कैसे बेशबहा हैं। उनका मजमूआ कैसा बड़ा है!
[IRV | UR | OT | Psalms | Chapter 139 | Verse 18] अगर मैं उनको गिनूँ तो वह शुमार में रेत से भी ज़्यादा हैं। जाग उठते ही तुझे अपने साथ पाता हूँ।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 19] ऐ ख़ुदा! काश के तू शरीर को क़त्ल करे। इसलिए ऐ ख़ूनख़्वारो! मेरे पास से दूर हो जाओ।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 20] क्यूँकि वह शरारत से तेरे ख़िलाफ़ बातें करते हैं: और तेरे दुश्मन तेरा नाम बेफ़ायदा लेते हैं।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 21] ऐ ख़ुदावन्द! क्या मैं तुझ से 'अदावत रखने वालों से 'अदावत नहीं रखता, और क्या मैं तेरे मुख़ालिफ़ों से बेज़ार नहीं हूँ?
[IRV | UR | OT | Psalms | Chapter 139 | Verse 22] मुझे उनसे पूरी 'अदावत है, मैं उनको अपने दुश्मन समझता हूँ।
[IRV | UR | OT | Psalms | Chapter 139 | Verse 23] ऐ ख़ुदा, तू मुझे जाँच और मेरे दिल को पहचान। मुझे आज़मा और मेरे ख़यालों को जान ले!
[IRV | UR | OT | Psalms | Chapter 139 | Verse 24] और देख कि मुझ में कोई बुरा चाल चलन तो नहीं, और मुझ को हमेशा की राह में ले चल!
