[IRV | UR | OT | Psalms | Chapter 10 | Verse 1] ऐ ख़ुदावन्द तू क्यूँ दूर खड़ा रहता है? मुसीबत के वक़्त तू क्यूँ छिप जाता है?
[IRV | UR | OT | Psalms | Chapter 10 | Verse 2] शरीर के गु़रूर की वजह से ग़रीब का तेज़ी से पीछा किया जाता है; जो मन्सूबे उन्होंने बाँधे हैं, वह उन ही में गिरफ़्तार हो जाएँ।
[IRV | UR | OT | Psalms | Chapter 10 | Verse 3] क्यूँकि शरीर अपनी जिस्मानी ख़्वाहिश पर फ़ख़्र करता है, और लालची ख़ुदावन्द को छोड़ देता बल्कि उसकी नाक़द्री करता है।
[IRV | UR | OT | Psalms | Chapter 10 | Verse 4] शरीर अपने तकब्बुर में कहता है कि वह पूछताछ नहीं करेगा; उसका ख़याल सरासर यही है कि कोई ख़ुदा नहीं।
[IRV | UR | OT | Psalms | Chapter 10 | Verse 5] उसकी राहें हमेशा बराबर हैं, तेरे अहकाम उसकी नज़र से दूर — ओ — बुलन्द हैं; वह अपने सब मुख़ालिफ़ों पर फूंकारता है।
[IRV | UR | OT | Psalms | Chapter 10 | Verse 6] वह अपने दिल में कहता है, “मैं जुम्बिश नहीं खाने का; नसल दर नसल मुझ पर कभी मुसीबत न आएगी।”
[IRV | UR | OT | Psalms | Chapter 10 | Verse 7] उसका मुँह ला'नत — ओ — दग़ा और ज़ुल्म से भरा है; शरारत और बदी उसकी ज़बान पर हैं।
[IRV | UR | OT | Psalms | Chapter 10 | Verse 8] वह देहात की घातों में बैठता है, वह पोशीदा मक़ामों में बेगुनाह को क़त्ल करता है; उसकी आँखें बेकस की घात में लगी रहती हैं।
[IRV | UR | OT | Psalms | Chapter 10 | Verse 9] वह पोशीदा मक़ाम में शेर — ए — बबर की तरह दुबक कर बैठता है; वह ग़रीब को पकड़ने की घात लगाए रहता है; वह ग़रीब को अपने जाल में फंसा कर पकड़ लेता है।
[IRV | UR | OT | Psalms | Chapter 10 | Verse 10] वह दुबकता है, वह झुक जाता है; और बेकस उसके पहलवानों के हाथ से मारे जाते हैं।
[IRV | UR | OT | Psalms | Chapter 10 | Verse 11] वह अपने दिल में कहता है, “ख़ुदा भूल गया है, वह अपना मुँह छिपाता है; वह हरगिज़ नहीं देखेगा।”
[IRV | UR | OT | Psalms | Chapter 10 | Verse 12] उठ ऐ ख़ुदावन्द! ऐ ख़ुदा अपना हाथ बुलंद कर! ग़रीबों को न भूल।
[IRV | UR | OT | Psalms | Chapter 10 | Verse 13] शरीर किस लिए ख़ुदा की नाक़द्री करता है और अपने दिल में कहता है कि तू पूछताछ ना करेगा?
[IRV | UR | OT | Psalms | Chapter 10 | Verse 14] तूने देख लिया है क्यूँकि तू शरारत और बुग्ज़ देखता है ताकि अपने हाथ से बदला दे। बेकस अपने आप को तेरे सिपुर्द करता है तू ही यतीम का मददगार रहा है।
[IRV | UR | OT | Psalms | Chapter 10 | Verse 15] शरीर का बाज़ू तोड़ दे। और बदकार की शरारत को जब तक बर्बाद न हो ढूँढ़ — ढूँढ़ कर निकाल।
[IRV | UR | OT | Psalms | Chapter 10 | Verse 16] ख़ुदावन्द हमेशा से हमेशा बादशाह है। क़ौमें उसके मुल्क में से हलाक हो गयीं।
[IRV | UR | OT | Psalms | Chapter 10 | Verse 17] ऐ ख़ुदावन्द तूने हलीमों का मुद्दा'सुन लिया है तू उनके दिल को तैयार करेगा — तू कान लगा कर सुनेगा
[IRV | UR | OT | Psalms | Chapter 10 | Verse 18] कि यतीम और मज़लूम का इन्साफ़ करे ताकि इंसान जो ख़ाक से है फिर ना डराए।
