[IRV | UR | OT | Psalms | Chapter 143 | Verse 1] ऐ ख़ुदावन्द, मेरी दू'आ सुन, मेरी इल्तिजा पर कान लगा। अपनी वफ़ादारी और सदाक़त में मुझे जवाब दे,
[IRV | UR | OT | Psalms | Chapter 143 | Verse 2] और अपने बन्दे को 'अदालत में न ला, क्यूँकि तेरी नज़र में कोई आदमी रास्तबाज़ नहीं ठहर सकता।
[IRV | UR | OT | Psalms | Chapter 143 | Verse 3] इसलिए कि दुश्मन ने मेरी जान को सताया है; उसने मेरी ज़िन्दगी को ख़ाक में मिला दिया, और मुझे अँधेरी जगहों में उनकी तरह बसाया है जिनको मरे मुद्दत हो गई हो।
[IRV | UR | OT | Psalms | Chapter 143 | Verse 4] इसी वजह से मुझ में मेरी जान निढाल है; और मेरा दिल मुझ में बेकल है।
[IRV | UR | OT | Psalms | Chapter 143 | Verse 5] मैं पिछले ज़मानों को याद करता हूँ, मैं तेरे सब कामों पर ग़ौर करता हूँ, और तेरी दस्तकारी पर ध्यान करता हूँ।
[IRV | UR | OT | Psalms | Chapter 143 | Verse 6] मैं अपने हाथ तेरी तरफ़ फैलाता हूँ मेरी जान खु़श्क ज़मीन की तरह तेरी प्यासी है।
[IRV | UR | OT | Psalms | Chapter 143 | Verse 7] ऐ ख़ुदावन्द, जल्द मुझे जवाब दे:मेरी रूह गुदाज़ हो चली! अपना चेहरा मुझ से न छिपा, ऐसा न हो कि मैं क़ब्र में उतरने वालों की तरह हो जाऊँ।
[IRV | UR | OT | Psalms | Chapter 143 | Verse 8] सुबह को मुझे अपनी शफ़क़त की ख़बर दे, क्यूँकि मेरा भरोसा तुझ पर है। मुझे वह राह बता जिस पर मैं चलूं, क्यूँकि मैं अपना दिल तेरी ही तरफ़ लगाता हूँ।
[IRV | UR | OT | Psalms | Chapter 143 | Verse 9] ऐ ख़ुदावन्द, मुझे मेरे दुश्मनों से रिहाई बख्श; क्यूँकि मैं पनाह के लिए तेरे पास भाग आया हूँ।
[IRV | UR | OT | Psalms | Chapter 143 | Verse 10] मुझे सिखा के तेरी मर्ज़ी पर चलूँ, इसलिए कि तू मेरा ख़ुदा है! तेरी नेक रूह मुझे रास्ती के मुल्क में ले चले!
[IRV | UR | OT | Psalms | Chapter 143 | Verse 11] ऐ ख़ुदावन्द, अपने नाम की ख़ातिर मुझे ज़िन्दा कर! अपनी सदाक़त में मेरी जान को मुसीबत से निकाल!
[IRV | UR | OT | Psalms | Chapter 143 | Verse 12] अपनी शफ़क़त से मेरे दुश्मनों को काट डाल, और मेरी जान के सब दुख देने वालों को हलाक कर दे, क्यूँकि मैं तेरा बन्दा हूँ।
