[IRV | UR | OT | Psalms | Chapter 77 | Verse 1] मैं बुलन्द आवाज़ से ख़ुदा के सामने फ़रियाद करूँगा ख़ुदा ही के सामने बुलन्द आवाज़ से, और वह मेरी तरफ़ कान लगाएगा।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 2] अपनी मुसीबत के दिन मैंने ख़ुदावन्द को ढूँढा, मेरे हाथ रात को फैले रहे और ढीले न हुए; मेरी जान को तस्कीन न हुई।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 3] मैं ख़ुदा को याद करता हूँ और बेचैन हूँ मैं वावैला करता हूँ और मेरी जान निढाल है।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 4] तू मेरी आँखें खुली रखता है; मैं ऐसा बेताब हूँ कि बोल नहीं सकता।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 5] मैं गुज़रे दिनों पर, या'नी क़दीम ज़माने के बरसों पर सोचता रहा।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 6] मुझे रात को अपना हम्द याद आता है; मैं अपने दिल ही में सोचता हूँ। मेरी रूह बड़ी तफ़्तीश में लगी है:
[IRV | UR | OT | Psalms | Chapter 77 | Verse 7] “क्या ख़ुदावन्द हमेशा के लिए छोड़ देगा? क्या वह फिर कभी मेंहरबान न होगा?
[IRV | UR | OT | Psalms | Chapter 77 | Verse 8] क्या उसकी शफ़क़त हमेशा के लिए जाती रही? क्या उसका वा'दा हमेशा तक बातिल हो गया?
[IRV | UR | OT | Psalms | Chapter 77 | Verse 9] क्या ख़ुदा करम करना भूल गया? क्या उसने क़हर से अपनी रहमत रोक ली?” सिलाह
[IRV | UR | OT | Psalms | Chapter 77 | Verse 10] फिर मैंने कहा, “यह मेरी ही कमज़ोरी है; मैं तो हक़ ता'ला की कुदरत के ज़माने को याद करूँगा।”
[IRV | UR | OT | Psalms | Chapter 77 | Verse 11] मैं ख़ुदावन्द के कामों का ज़िक्र करूँगा; क्यूँकि मुझे तेरे क़दीम 'अजाईब यादआएँगे।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 12] मैं तेरी सारी सन'अत पर ध्यान करूँगा, और तेरे कामों को सोचूँगा।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 13] ऐ ख़ुदा, तेरी राह मक़दिस में है। कौन सा देवता ख़ुदा की तरह बड़ा है।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 14] तू वह ख़ुदा है जो 'अजीब काम करता है, तूने क़ौमों के बीच अपनी क़ुदरत ज़ाहिर की।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 15] तूने अपने ही बाज़ू से अपनी क़ौम, बनी या'क़ूब और बनी यूसुफ़ को फ़िदिया देकर छुड़ाया है।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 16] ऐ ख़ुदा, समन्दरों ने तुझे देखा, समन्दर तुझे देख कर डर गए, गहराओ भी काँप उठे।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 17] बदलियों ने पानी बरसाया, आसमानों से आवाज़ आई, तेरे तीर भी चारों तरफ़ चले।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 18] बगोले में तेरे गरज़ की आवाज़ थी, बर्क़ ने जहान को रोशन कर दिया, ज़मीन लरज़ी और काँपी।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 19] तेरी राह समन्दर में है, तेरे रास्ते बड़े समुन्दरों में हैं; और तेरे नक़्श — ए — क़दम ना मा'लूम हैं।
[IRV | UR | OT | Psalms | Chapter 77 | Verse 20] तूने मूसा और हारून के वसीले से, क़ि'ला की तरह अपने लोगों की रहनुमाई की।
