[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 1] लेकिन ऐसा हुआ जब सनबल्लत ने सुना के हम शहरपनाह बना रहे हैं, तो वह जल गया और बहुत ग़ुस्सा हुआ और यहूदियों को ठट्ठों में उड़ाने लगा।
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 2] और वह अपने भाइयों और सामरिया के लश्कर के आगे यूँ कहने लगा, “ये कमज़ोर यहूदी क्या कर रहे हैं? क्या ये अपने गिर्द मोर्चाबन्दी करेंगे? क्या वह क़ुर्बानी चढ़ाएँगे? क्या वह एक ही दिन में सब कुछ कर चुकेंगे? क्या वह जले हुए पत्थरों को कूड़े के ढेरों में से निकाल कर फिर नये कर देंगे?”
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 3] और तूबियाह 'अम्मोनी उसके पास खड़ा था, तब वह कहने लगा, “जो कुछ वह बना रहे हैं, अगर उसपर लोमड़ी चढ़ जाए तो वह उनके पत्थर की शहरपनाह को गिरा देगी।”
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 4] सुन ले, ऐ हमारे ख़ुदा क्यूँकि हमारी हिक़ारत होती है और उनकी मलामत उन ही के सिर पर डाल:और ग़ुलामी के मुल्क में उनको ग़ारतगरों के हवाले कर दे।
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 5] और उनकी बुराई को न ढाँक, और उनकी ख़ता तेरे सामने से मिटाई न जाए; क्यूँकि उन्होंने मे'मारों के सामने तुझे ग़ुस्सा दिलाया है।
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 6] ग़रज़ हम दीवार बनाते रहे, और सारी दीवार आधी बलन्दी तक जोड़ी गई; क्यूँकि लोग दिल लगा कर काम करते थे।
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 7] लेकिन जब सनबल्लत और तूबियाह और अरबों और 'अम्मोनियों और अशदूदियों ने सुना कि येरूशलेम की फ़सील मरम्मत होती जाती है, और दराड़े बन्द होने लगीं, तो वह जल गए।
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 8] और सभों ने मिल कर बन्दिश बाँधी कि आकर येरूशलेम से लड़ें, और वहाँ परेशानी पैदा कर दें।
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 9] लेकिन हम ने अपने ख़ुदा से दुआ की, और उनकी वजह से दिन और रात उनके मुक़ाबले में पहरा बिठाए रखा
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 10] और यहूदाह कहने लगा कि बोझ उठाने वालों की ताक़त घट गयी और मलबा बहुत है, इसलिए हम दीवार नहीं बना सकते हैं।
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 11] और हमारे दुश्मन कहने लगे, “जब तक हम उनके बीच पहुँच कर उनको क़त्ल न कर डालें और काम ख़त्म न कर दें, तब तक उनको न मा'लूम होगा न वह देखेंगे।”
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 12] और जब वह यहूदी जो उनके आस — पास रहते थे आए, तो उन्होंने सब जगहों से दस बार आकर हम से कहा कि तुम को हमारे पास लौट आना ज़रूर है।
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 13] इसलिए मैंने शहरपनाह के पीछे की जगह के सबसे नीचे हिस्सों में जहाँ जहाँ खुला था, लोगों को अपनी अपनी तलवार और बर्छी और कमान लिए हुए उनके घरानों के मुताबिक़ बिठा दिया।
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 14] तब मैं देख कर उठा, और अमीरों और हाकिमों और बाक़ी लोगों से कहा कि तुम उनसे मत डरो; ख़ुदावन्द को जो बुज़ुर्ग और बड़ा है याद करो, और अपने भाइयों और बेटे बेटियों और अपनी बीवियों और घरों के लिए लड़ो।
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 15] और जब हमारे दुश्मनों ने सुना कि ये बात हम को मा'लूम हो गई और ख़ुदा ने उनका मन्सूबा बेकार कर दिया, तो हम सबके सब शहरपनाह को अपने अपने काम पर लौटे।
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 16] और ऐसा हुआ कि उस दिन से मेरे आधे नौकर काम में लग जाते, और आधे बर्छियाँ और और ढालें और कमाने लिए और बख़्तर पहने रहते थे; और वह जो हाकिम थे यहूदाह के सारे ख़ान्दान के पीछे मौजूद रहते थे।
[IRV | UR | OT | Nehemiah | Chapter 4 | Verse 17] इसलिए जो लोग दीवार बनाते थे और जो बोझ उठाते और ढोते थे, हर एक अपने एक हाथ से काम करता था और दूसरे में अपना हथियार लिए रहता था।
