[IRV | PA | OT | Song of Solomon | Chapter 1 | Verse 1] ਸੁਲੇਮਾਨ ਦਾ ਸਰੇਸ਼ਟ ਗੀਤ।
[IRV | PA | OT | Song of Solomon | Chapter 1 | Verse 2] ਤੂੰ ਮੈਨੂੰ ਆਪਣੇ ਮੂੰਹ ਦੇ ਚੁੰਮਣ ਨਾਲ ਚੁੰਮੇ, ਕਿਉਂ ਜੋ ਤੇਰਾ ਪ੍ਰੇਮ ਮਧ ਨਾਲੋਂ ਚੰਗਾ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 1 | Verse 3] ਤੇਰੇ ਅਤਰ ਦੀ ਚੰਗੀ ਸੁਗੰਧ ਹੈ, ਤੇਰਾ ਨਾਮ ਚੋਏ ਹੋਏ ਤੇਲ ਵਰਗਾ ਹੈ, ਇਸ ਲਈ ਕੁਆਰੀਆਂ ਤੈਨੂੰ ਪਿਆਰ ਕਰਦੀਆਂ ਹਨ।
[IRV | PA | OT | Song of Solomon | Chapter 1 | Verse 4] ਮੈਨੂੰ ਮੋਹ ਲੈ, ਅਸੀਂ ਤੇਰੇ ਪਿੱਛੇ ਦੌੜਾਂਗੀਆਂ। ਰਾਜਾ ਮੈਨੂੰ ਆਪਣੇ ਮਹਿਲ ਵਿੱਚ ਲਿਆਇਆ, ਅਸੀਂ ਤੇਰੇ ਵਿੱਚ ਬਾਗ਼-ਬਾਗ਼ ਤੇ ਅਨੰਦ ਹੋਵਾਂਗੀਆਂ, ਅਸੀਂ ਤੇਰੇ ਪ੍ਰੇਮ ਨੂੰ ਮਧ ਨਾਲੋਂ ਵੱਧ ਯਾਦ ਕਰਾਂਗੀਆਂ, ਉਹ ਸੱਚ-ਮੁੱਚ ਤੈਨੂੰ ਪਿਆਰ ਕਰਦੀਆਂ ਹਨ।
[IRV | PA | OT | Song of Solomon | Chapter 1 | Verse 5] ਹੇ ਯਰੂਸ਼ਲਮ ਦੀਓ ਧੀਓ, ਮੈਂ ਹਾਂ ਤਾਂ ਕਾਲੀ ਕਲੂਟੀ ਪਰ ਸੋਹਣੀ ਹਾਂ, ਕੇਦਾਰ ਦੇ ਤੰਬੂਆਂ ਵਰਗੀ, ਸੁਲੇਮਾਨ ਦੇ ਪਰਦਿਆਂ ਦੇ ਵਾਂਗੂੰ।
[IRV | PA | OT | Song of Solomon | Chapter 1 | Verse 6] ਮੈਨੂੰ ਘੂਰ ਕੇ ਨਾ ਵੇਖੋ, ਮੈਂ ਕਾਲੀ ਕਲੂਟੀ ਹਾਂ, ਸੂਰਜ ਦੀ ਤਪਸ਼ ਨੇ ਮੈਨੂੰ ਝੁਲਸਾ ਦਿੱਤਾ। ਮੇਰੀ ਮਾਂ ਦੇ ਪੁੱਤਰ ਮੇਰੇ ਤੋਂ ਗੁੱਸੇ ਸਨ, ਉਨ੍ਹਾਂ ਨੇ ਮੈਨੂੰ ਅੰਗੂਰੀ ਬਾਗ਼ਾਂ ਦੀ ਰਾਖੀ ਉੱਤੇ ਲਾਇਆ, ਪਰ ਮੈਂ ਆਪਣੇ ਨਿੱਜ ਅੰਗੂਰੀ ਬਾਗ਼ ਦੀ ਰਾਖੀ ਨਾ ਕੀਤੀ।
[IRV | PA | OT | Song of Solomon | Chapter 1 | Verse 7] ਮੈਨੂੰ ਦੱਸ, ਹੇ ਮੇਰੇ ਪ੍ਰਾਣ ਪਿਆਰੇ, ਤੂੰ ਕਿੱਥੇ ਇੱਜੜ ਚਾਰਦਾ ਤੇ ਦੁਪਹਿਰ ਦੇ ਵੇਲੇ ਕਿੱਥੇ ਬਿਠਾਉਂਦਾ ਹੈ? ਮੈਂ ਕਿਉਂ ਘੁੰਡ ਵਾਲੀ ਵਾਂਗੂੰ ਤੇਰੇ ਸਾਥੀਆਂ ਦੇ ਇੱਜੜਾਂ ਦੇ ਕੋਲ ਹੋਵਾਂ?
[IRV | PA | OT | Song of Solomon | Chapter 1 | Verse 8] ਹੇ ਇਸਤਰੀਆਂ ਵਿੱਚੋਂ ਰੂਪਵੰਤੀਏ, ਜੇ ਤੂੰ ਨਹੀਂ ਜਾਣਦੀ ਤਾਂ ਤੂੰ ਇੱਜੜ ਦੀ ਪੈੜ ਉੱਤੇ ਚੱਲੀ ਜਾ ਅਤੇ ਆਪਣੀਆਂ ਮੇਮਣੀਆਂ ਨੂੰ ਆਜੜੀਆਂ ਦੇ ਵਸੇਬਿਆਂ ਕੋਲ ਚਾਰ।
[IRV | PA | OT | Song of Solomon | Chapter 1 | Verse 9] ਹੇ ਮੇਰੀ ਪ੍ਰੀਤਮਾ, ਮੈਂ ਤੇਰੀ ਤੁਲਨਾ ਫ਼ਿਰਊਨ ਦੇ ਰਥਾਂ ਵਿੱਚ ਜੋਹੀ ਹੋਈ ਘੋੜੀ ਨਾਲ ਕੀਤੀ ਹੈ l
[IRV | PA | OT | Song of Solomon | Chapter 1 | Verse 10] ਤੇਰੀਆਂ ਗੱਲ੍ਹਾਂ ਬਾਲ਼ੀਆਂ ਨਾਲ ਸੋਹਣੀਆਂ ਹਨ, ਤੇਰੀ ਗਰਦਨ ਮੋਤੀਆਂ ਦੀ ਮਾਲਾ ਨਾਲ।
[IRV | PA | OT | Song of Solomon | Chapter 1 | Verse 11] ਅਸੀਂ ਤੇਰੇ ਲਈ ਸੋਨੇ ਦੇ ਹਾਰ ਚਾਂਦੀ ਦੇ ਫੁੱਲਾਂ ਨਾਲ ਬਣਾਵਾਂਗੇ।
