[IRV | PA | OT | Song of Solomon | Chapter 3 | Verse 1] ਰਾਤ ਨੂੰ ਮੈਂ ਆਪਣੇ ਪਲੰਗ ਉੱਤੇ, ਆਪਣੇ ਪ੍ਰਾਣ ਪਿਆਰੇ ਨੂੰ ਭਾਲਿਆ, ਮੈਂ ਉਹ ਨੂੰ ਭਾਲਿਆ ਪਰ ਉਹ ਮੈਨੂੰ ਨਹੀਂ ਮਿਲਿਆ।
[IRV | PA | OT | Song of Solomon | Chapter 3 | Verse 2] ਮੈਂ ਹੁਣ ਉੱਠਾਂਗੀ, ਮੈਂ ਸ਼ਹਿਰ ਵਿੱਚ ਐਧਰ ਉੱਧਰ ਫਿਰਾਂਗੀ, ਮੈਂ ਗਲੀਆਂ ਵਿੱਚ ਅਤੇ ਚੌਕਾਂ ਵਿੱਚ ਆਪਣੇ ਪ੍ਰਾਣ ਪਿਆਰੇ ਨੂੰ ਭਾਲਾਂਗੀ। ਮੈਂ ਉਹ ਨੂੰ ਭਾਲਿਆ ਪਰ ਉਹ ਮੈਨੂੰ ਨਹੀਂ ਮਿਲਿਆ।
[IRV | PA | OT | Song of Solomon | Chapter 3 | Verse 3] ਰਾਖੇ ਜਿਹੜੇ ਸ਼ਹਿਰ ਵਿੱਚ ਫਿਰਦੇ ਸਨ ਮੈਨੂੰ ਮਿਲੇ, “ਕੀ ਤੁਸੀਂ ਮੇਰੇ ਪ੍ਰਾਣ ਪਿਆਰੇ ਨੂੰ ਵੇਖਿਆ ਹੈ?”
[IRV | PA | OT | Song of Solomon | Chapter 3 | Verse 4] ਮੈਂ ਉਨ੍ਹਾਂ ਤੋਂ ਥੋੜ੍ਹਾ ਹੀ ਅੱਗੇ ਲੰਘੀ ਸੀ ਕਿ ਮੈਂ ਆਪਣੇ ਪ੍ਰਾਣ ਪਿਆਰੇ ਨੂੰ ਲੱਭ ਲਿਆ। ਮੈਂ ਉਹ ਨੂੰ ਫੜ੍ਹ ਲਿਆ ਅਤੇ ਛੱਡਿਆ ਨਾ, ਜਦ ਤੱਕ ਮੈਂ ਉਹ ਨੂੰ ਆਪਣੀ ਮਾਂ ਦੇ ਘਰ ਆਪਣੇ ਜਣਨੀ ਦੀ ਕੋਠਰੀ ਵਿੱਚ ਨਾ ਲੈ ਗਈ।
[IRV | PA | OT | Song of Solomon | Chapter 3 | Verse 5] ਹੇ ਯਰੂਸ਼ਲਮ ਦੀਓ ਧੀਓ, ਮੈਂ ਤੁਹਾਨੂੰ ਚਕਾਰਿਆਂ ਅਤੇ ਖੇਤ ਦੀਆਂ ਹਿਰਨੀਆਂ ਦੀ ਸਹੁੰ ਚੁਕਾਉਂਦੀ ਹਾਂ, ਤੁਸੀਂ ਪ੍ਰੀਤ ਨੂੰ ਨਾ ਉਕਸਾਓ, ਨਾ ਜਗਾਓ, ਜਦ ਤੱਕ ਉਸ ਨੂੰ ਆਪ ਨਾ ਭਾਵੇ!
[IRV | PA | OT | Song of Solomon | Chapter 3 | Verse 6] ਇਹ ਕੌਣ ਹੈ ਜਿਹੜਾ ਧੂੰਏਂ ਦੇ ਥੰਮ੍ਹਾਂ ਵਾਂਗੂੰ, ਗੰਧਰਸ ਅਤੇ ਲੁਬਾਨ ਦੀ ਸੁਗੰਧੀ ਨਾਲ ਅਤੇ ਵਪਾਰੀਆਂ ਦੇ ਸਾਰੇ ਮਸਾਲਿਆਂ ਨਾਲ ਉਜਾੜ ਵੱਲੋਂ ਆਉਂਦਾ ਹੈ?
[IRV | PA | OT | Song of Solomon | Chapter 3 | Verse 7] ਵੇਖੋ, ਇਹ ਸੁਲੇਮਾਨ ਦੀ ਪਾਲਕੀ ਹੈ, ਉਸ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਸੱਠ ਸੂਰਮੇ ਹਨ, ਜਿਹੜੇ ਇਸਰਾਏਲ ਦੇ ਸੂਰਮਿਆਂ ਵਿੱਚੋਂ ਹਨ।
[IRV | PA | OT | Song of Solomon | Chapter 3 | Verse 8] ਉਹ ਸਾਰੇ ਤਲਵਾਰ ਧਾਰੀ ਹਨ, ਉਹ ਯੁੱਧ ਵਿੱਚ ਨਿਪੁੰਨ ਹਨ, ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਹਰ ਇੱਕ ਰਾਤਾਂ ਦੇ ਡਰ ਦੇ ਕਾਰਨ ਆਪਣੀ ਤਲਵਾਰ ਆਪਣੇ ਪੱਟ ਉੱਤੇ ਲਟਕਾਈ ਰੱਖਦਾ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 3 | Verse 9] ਸੁਲੇਮਾਨ ਰਾਜਾ ਨੇ ਲਬਾਨੋਨ ਦੀ ਲੱਕੜੀ ਦੀ ਆਪਣੇ ਲਈ ਇੱਕ ਪਾਲਕੀ ਬਣਵਾਈ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 3 | Verse 10] ਉਸ ਦੇ ਥੰਮ੍ਹ ਚਾਂਦੀ ਦੇ ਅਤੇ ਉਸ ਦਾ ਛਤ੍ਰ ਸੋਨੇ ਦਾ ਅਤੇ ਉਸ ਦੀ ਗੱਦੀ ਬੈਂਗਣੀ ਰੰਗ ਦੀ ਬਣਵਾਈ ਹੈ, ਉਸ ਦਾ ਅੰਦਰਲਾ ਹਿੱਸਾ ਯਰੂਸ਼ਲਮ ਦੀਆਂ ਧੀਆਂ ਵੱਲੋਂ, ਬੜੇ ਪ੍ਰੇਮ ਨਾਲ ਜੋੜਿਆ ਗਿਆ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 3 | Verse 11] ਹੇ ਸੀਯੋਨ ਦੀਓ ਧੀਓ, ਜ਼ਰਾ ਬਾਹਰ ਨਿੱਕਲੋ ਅਤੇ ਸੁਲੇਮਾਨ ਰਾਜਾ ਨੂੰ ਵੇਖੋ, ਉਸਨੇ ਉਹ ਤਾਜ ਪਾਇਆ ਹੈ, ਜਿਹੜਾ ਉਹ ਦੀ ਮਾਤਾ ਨੇ ਉਹ ਦੇ ਵਿਆਹ ਦੇ ਦਿਨ ਅਤੇ ਉਹ ਦੇ ਮਨ ਦੇ ਆਨੰਦ ਦੇ ਦਿਨ ਉਹ ਦੇ ਸਿਰ ਉੱਤੇ ਰੱਖਿਆ ਸੀ।
