[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 1] ਹੇ ਪਤਵੰਤ ਦੀ ਪੁੱਤਰੀ, ਤੇਰੇ ਪੈਰ ਜੁੱਤੀਆਂ ਵਿੱਚ ਕਿੰਨੇ ਹੀ ਰੂਪਵੰਤ ਹਨ! ਤੇਰੇ ਪੱਟਾਂ ਦੀ ਗੁਲਾਈ ਕਾਰੀਗਰ ਦੇ ਹੱਥਾਂ ਨਾਲ ਬਣੇ ਹੋਏ ਗਹਿਣਿਆਂ ਦਾ ਕੰਮ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 2] ਤੇਰੀ ਧੁੰਨੀ ਗੋਲ ਕਟੋਰਾ ਹੈ ਜਿਸ ਦੇ ਵਿੱਚ ਮਿਲੀ ਹੋਈ ਮਧ ਦੀ ਕਮੀ ਨਹੀਂ, ਤੇਰਾ ਪੇਟ ਕਣਕ ਦਾ ਢੇਰ ਹੈ, ਜਿਹੜਾ ਸੋਸਨਾਂ ਵਿੱਚ ਘਿਰਿਆ ਹੋਇਆ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 3] ਤੇਰੀਆਂ ਦੋਵੇਂ ਛਾਤੀਆਂ ਹਿਰਨੀਆਂ ਦੇ ਜੁੜਵਾਂ ਬੱਚਿਆਂ ਵਾਂਗੂੰ ਹਨ।
[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 4] ਤੇਰੀ ਗਰਦਨ ਹਾਥੀ ਦੰਦ ਦੇ ਬੁਰਜ਼ ਵਾਂਗੂੰ ਹੈ, ਤੇਰੀਆਂ ਅੱਖਾਂ ਹਸ਼ਬੋਨ ਦੇ ਸਰੋਵਰ ਹਨ, ਜੋ ਬਥ-ਰੱਬੀਮ ਦੇ ਫਾਟਕ ਉੱਤੇ ਹੈ। ਤੇਰਾ ਨੱਕ ਲਬਾਨੋਨ ਦੇ ਬੁਰਜ਼ ਵਰਗਾ ਹੈ, ਜਿਸ ਦਾ ਮੁਖ ਦੰਮਿਸ਼ਕ ਵੱਲ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 5] ਤੇਰਾ ਸਿਰ ਤੇਰੇ ਉੱਤੇ ਕਰਮਲ ਵਰਗਾ ਸ਼ੋਭਾਮਾਨ ਹੈ, ਤੇਰੇ ਸਿਰ ਦੇ ਵਾਲ਼ ਬੈਂਗਣੀ ਜਿਹੇ ਹਨ, ਰਾਜਾ ਤੇਰੀਆਂ ਜ਼ੁਲਫ਼ਾਂ ਵਿੱਚ ਬੰਧੂਆ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 6] ਹੇ ਪਿਆਰੀ, ਤੂੰ ਕਿੰਨੀ ਰੂਪਵੰਤ ਹੈਂ, ਤੂੰ ਪ੍ਰੇਮ ਕਰਨ ਵਿੱਚ ਕਿੰਨੀ ਮਨਮੋਹਣੀ ਹੈਂ!
[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 7] ਤੇਰਾ ਕੱਦ ਖਜ਼ੂਰ ਵਰਗਾ ਹੈ, ਤੇਰੀਆਂ ਛਾਤੀਆਂ ਉਹ ਦੇ ਗੁੱਛਿਆਂ ਵਾਂਗੂੰ ਹਨ।
[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 8] ਮੈਂ ਆਖਿਆ, ਮੈਂ ਇਸ ਖਜ਼ੂਰ ਉੱਤੇ ਚੜ੍ਹਾਂਗਾ, ਮੈਂ ਇਸ ਦੀਆਂ ਟਹਿਣੀਆਂ ਨੂੰ ਫੜ੍ਹਾਂਗਾਂ, ਤੇਰੀਆਂ ਛਾਤੀਆਂ ਅੰਗੂਰ ਦੇ ਗੁੱਛਿਆਂ ਵਾਂਗੂੰ ਹੋਣ ਅਤੇ ਤੇਰੇ ਸਾਹ ਦੀ ਸੁਗੰਧ ਸੇਬਾਂ ਵਰਗੀ ਹੋਵੇ।
[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 9] ਤੇਰਾ ਚੂੰਮਣ ਚੰਗੀ ਮਧ ਵਰਗਾ ਹੈ ਜਿਹੜੀ ਸਹਿਜ ਨਾਲ ਬੁੱਲ੍ਹਾਂ ਅਤੇ ਦੰਦਾਂ ਉੱਤੇ ਸਰਕ ਜਾਂਦੀ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 10] ਮੈਂ ਆਪਣੇ ਬਾਲਮ ਦੀ ਹਾਂ ਅਤੇ ਉਹ ਦੀ ਚਾਹ ਮੇਰੇ ਲਈ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 11] ਮੇਰੇ ਬਾਲਮ, ਆ, ਅਸੀਂ ਖੇਤ ਵਿੱਚ ਚੱਲੀਏ, ਅਤੇ ਪਿੰਡਾਂ ਵਿੱਚ ਰਾਤ ਕੱਟੀਏ।
[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 12] ਅਸੀਂ ਸਵੇਰੇ ਹੀ ਅੰਗੂਰੀ ਬਾਗ਼ਾਂ ਵਿੱਚ ਚੱਲੀਏ, ਤਾਂ ਜੋ ਅਸੀਂ ਵੇਖੀਏ ਕਿ ਵੇਲ ਖਿੜੀ ਹੈ ਜਾਂ ਨਹੀਂ, ਅਤੇ ਉਸ ਦੇ ਫੁੱਲ ਖਿੜੇ ਹਨ ਜਾਂ ਨਹੀਂ, ਅਨਾਰ ਫੁੱਲੇ ਹਨ ਜਾਂ ਨਹੀਂ, ਉੱਥੇ ਮੈਂ ਤੈਨੂੰ ਆਪਣਾ ਪ੍ਰੇਮ ਦਿਆਂਗੀ।
[IRV | PA | OT | Song of Solomon | Chapter 7 | Verse 13] ਦੂਦਾਂ ਫਲ ਸੁਗੰਧ ਦਿੰਦੇ ਹਨ ਅਤੇ ਸਾਡੇ ਦਰਵਾਜ਼ਿਆਂ ਉੱਤੇ ਸਾਰੇ ਮਿੱਠੇ ਫਲ ਹਨ, ਨਵੇਂ ਅਤੇ ਪੁਰਾਣੇ ਵੀ। ਹੇ ਮੇਰੇ ਬਾਲਮ, ਮੈਂ ਉਨ੍ਹਾਂ ਨੂੰ ਤੇਰੇ ਲਈ ਇਕੱਠਾ ਕੀਤਾ ਹੈ।
