[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 1] ਹੇ ਮੇਰੀ ਪਿਆਰੀ, ਮੇਰੀ ਵਹੁਟੀਏ, ਮੈਂ ਆਪਣੇ ਬਾਗ਼ ਵਿੱਚ ਆਇਆ ਹਾਂ, ਮੈਂ ਆਪਣਾ ਗੰਧਰਸ ਆਪਣੇ ਮਸਾਲੇ ਸਮੇਤ ਇਕੱਠਾ ਕਰ ਲਿਆ ਹੈ, ਮੈਂ ਸ਼ਹਿਦ ਸਮੇਤ ਆਪਣਾ ਛੱਤਾ ਖਾ ਲਿਆ ਹੈ, ਮੈਂ ਆਪਣੀ ਮਧ ਦੁੱਧ ਸਮੇਤ ਪੀ ਲਈ ਹੈ। ਸਾਥੀਓ, ਖਾਓ! ਪਿਆਰਿਓ, ਪੀਓ, ਰੱਜ ਕੇ ਪੀਓ!
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 2] ਮੈਂ ਸੁੱਤੀ ਹੋਈ ਸੀ ਪਰ ਮੇਰਾ ਮਨ ਜਾਗਦਾ ਸੀ, ਇਹ ਮੇਰੇ ਬਾਲਮ ਦੀ ਅਵਾਜ਼ ਹੈ ਜਿਹੜਾ ਖੜਕਾਉਂਦਾ ਹੈ, “ਹੇ ਮੇਰੀ ਪਿਆਰੀ, ਮੇਰੀ ਪ੍ਰੀਤਮਾ, ਮੇਰੀ ਕਬੂਤਰੀ, ਮੇਰੀ ਨਿਰਮਲ, ਮੇਰੇ ਲਈ ਬੂਹਾ ਖੋਲ੍ਹ! ਮੇਰਾ ਸਿਰ ਤ੍ਰੇਲ ਨਾਲ ਭਰਿਆ ਹੋਇਆ ਹੈ, ਮੇਰੀਆਂ ਲਟਾਂ ਰਾਤ ਦੀਆਂ ਬੂੰਦਾਂ ਨਾਲ ਭਿੱਜੀਆਂ ਹੋਈਆਂ ਹਨ।”
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 3] ਮੈਂ ਆਪਣਾ ਕੁੜਤਾ ਲਾਹ ਚੁੱਕੀ ਹਾਂ, ਮੈਂ ਉਹ ਨੂੰ ਕਿਵੇਂ ਪਾਵਾਂ? ਮੈਂ ਆਪਣੇ ਪੈਰ ਧੋ ਚੁੱਕੀ ਹਾਂ, ਮੈਂ ਉਨ੍ਹਾਂ ਨੂੰ ਮੈਲੇ ਕਿਵੇਂ ਕਰਾਂ?
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 4] ਮੇਰੇ ਬਾਲਮ ਨੇ ਛੇਕ ਦੇ ਵਿੱਚੋਂ ਦੀ ਹੱਥ ਪਾਇਆ, ਮੇਰਾ ਦਿਲ ਉਹ ਦੇ ਕਾਰਨ ਉੱਛਲ ਪਿਆ!
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 5] ਮੈਂ ਉੱਠੀ ਕਿ ਆਪਣੇ ਬਾਲਮ ਲਈ ਦਰਵਾਜ਼ਾ ਖੋਲ੍ਹਾਂ, ਮੇਰੇ ਹੱਥਾਂ ਤੋਂ ਗੰਧਰਸ ਅਤੇ ਮੇਰੀਆਂ ਉਂਗਲੀਆਂ ਤੋਂ ਵੀ ਪਤਲਾ ਗੰਧਰਸ ਬੂਹੇ ਦੇ ਕੁੰਡੇ ਉੱਤੇ ਚੋ ਪਿਆ।
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 6] ਮੈਂ ਆਪਣੇ ਬਾਲਮ ਲਈ ਖੋਲ੍ਹਿਆ ਪਰ ਮੇਰਾ ਬਾਲਮ ਮੁੜ ਕੇ ਚਲਾ ਗਿਆ ਸੀ, ਮੇਰਾ ਦਿਲ ਘਬਰਾ ਗਿਆ ਜਦ ਉਹ ਬੋਲਿਆ, ਮੈਂ ਉਹ ਨੂੰ ਭਾਲਿਆ ਪਰ ਉਹ ਲੱਭਾ ਨਾ, ਮੈਂ ਉਹ ਨੂੰ ਪੁਕਾਰਿਆ ਪਰ ਉਸ ਮੈਨੂੰ ਉੱਤਰ ਨਾ ਦਿੱਤਾ।
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 7] ਪਹਿਰੇਦਾਰ ਜਿਹੜੇ ਸ਼ਹਿਰ ਵਿੱਚ ਫਿਰਦੇ ਸਨ ਮੈਨੂੰ ਮਿਲੇ, ਉਨ੍ਹਾਂ ਨੇ ਮੈਨੂੰ ਮਾਰਿਆ ਤੇ ਜ਼ਖ਼ਮੀ ਕਰ ਸੁੱਟਿਆ, ਸ਼ਹਿਰ ਪਨਾਹ ਦੇ ਪਹਿਰੇਦਾਰਾਂ ਨੇ ਮੇਰੀ ਚਾਦਰ ਮੇਰੇ ਉੱਤੋਂ ਲਾਹ ਲਈ।
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 8] ਹੇ ਯਰੂਸ਼ਲਮ ਦੀਓ ਧੀਓ, ਮੈਂ ਤੁਹਾਨੂੰ ਸਹੁੰ ਚੁਕਾਉਂਦੀ ਹਾਂ, ਜੇ ਮੇਰਾ ਬਾਲਮ ਤੁਹਾਨੂੰ ਮਿਲ ਜਾਵੇ, ਤਾਂ ਉਸ ਨੂੰ ਦੱਸਣਾ ਕਿ ਮੈ ਪ੍ਰੀਤ ਦੀ ਰੋਗਣ ਹਾਂ।
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 9] ਤੇਰਾ ਬਾਲਮ ਦੂਜੇ ਬਲਮਾਂ ਨਾਲੋਂ ਕਿਵੇਂ ਵੱਧ ਹੈ, ਹੇ ਇਸਤਰੀਆਂ ਵਿੱਚੋਂ ਰੂਪਵੰਤ! ਤੇਰਾ ਬਾਲਮ ਦੂਜੇ ਬਲਮਾਂ ਨਾਲੋਂ ਕਿਵੇਂ ਵੱਧ ਹੈ, ਜੋ ਤੂੰ ਸਾਨੂੰ ਅਜਿਹੀ ਸਹੁੰ ਚੁਕਾਉਂਦੀ ਹੈਂ!
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 10] ਮੇਰਾ ਬਾਲਮ ਗੋਰਾ ਤੇ ਸੁਰਖ਼ ਲਾਲ ਹੈ, ਉਹ ਦਸ ਹਜ਼ਾਰਾਂ ਜਵਾਨਾਂ ਵਿੱਚੋਂ ਉੱਤਮ ਹੈ!
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 11] ਉਸ ਦਾ ਸਿਰ ਕੁੰਦਨ ਸੋਨਾ ਹੈ, ਉਸ ਦੇ ਵਾਲ਼ ਘੁੰਗਰਾਲੇ ਤੇ ਪਹਾੜੀ ਕਾਂ ਵਾਂਗੂੰ ਕਾਲੇ ਹਨ।
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 12] ਉਸ ਦੀਆਂ ਅੱਖਾਂ ਪਾਣੀ ਦੀਆਂ ਨਦੀਆਂ ਉੱਤੇ ਕਬੂਤਰਾਂ ਵਾਂਗੂੰ ਹਨ, ਜਿਹੜੇ ਦੁੱਧ ਨਾਲ ਨਹਾ ਕੇ ਆਪਣੇ ਝੁੰਡ ਦੇ ਨਾਲ ਕਤਾਰ ਵਿੱਚ ਬੈਠੇ ਹਨ।
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 13] ਉਸ ਦੀਆਂ ਗੱਲਾਂ ਬਲਸਾਨ ਦੀਆਂ ਕਿਆਰੀਆਂ, ਅਤੇ ਸੁਗੰਧ ਦੀਆਂ ਬੁਰਜ਼ੀਆਂ ਵਾਂਗੂੰ ਹਨ, ਉਸ ਦੇ ਬੁੱਲ ਸੋਸਨ ਹਨ, ਜਿਨ੍ਹਾਂ ਤੋਂ ਤਰਲ ਗੰਧਰਸ ਚੋਂਦਾ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 14] ਉਸ ਦੇ ਹੱਥ ਸੋਨੇ ਦੀਆਂ ਛੜਾਂ ਵਰਗੇ ਹਨ ਜਿਨ੍ਹਾਂ ਦੇ ਉੱਤੇ ਪੁਖਰਾਜ ਜੜੇ ਹੋਣ। ਉਸ ਦਾ ਸਰੀਰ ਹਾਥੀ ਦੇ ਦੰਦ ਦੀ ਬਣਤ ਦਾ ਹੈ, ਜਿਸ ਦੇ ਉੱਤੇ ਨੀਲਮ ਦੀ ਸਜਾਵਟ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 15] ਉਸ ਦੀਆਂ ਲੱਤਾਂ ਸੰਗਮਰਮਰ ਦੇ ਥੰਮ੍ਹਾਂ ਵਰਗੀਆਂ ਹਨ, ਜਿਹੜੀਆਂ ਕੁੰਦਨ ਸੋਨੇ ਦੇ ਤਲ ਉੱਤੇ ਰੱਖੀਆਂ ਹੋਈਆਂ ਹਨ। ਉਹ ਵੇਖਣ ਵਿੱਚ ਲਬਾਨੋਨ ਵਰਗਾ, ਅਤੇ ਦਿਆਰ ਵਾਂਗੂੰ ਉੱਤਮ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 5 | Verse 16] ਉਸ ਦਾ ਬੋਲ ਬਹੁਤ ਮਿੱਠਾ ਹੈ, ਉਹ ਸਾਰੇ ਦਾ ਸਾਰਾ ਮਨ ਭਾਉਣਾ ਹੈ! ਹੇ ਯਰੂਸ਼ਲਮ ਦੀਓ ਧੀਓ, ਇਹ ਮੇਰਾ ਬਾਲਮ ਅਤੇ ਇਹੋ ਮੇਰਾ ਪਿਆਰਾ ਹੈ।
