[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 1] ਮੈਂ ਸ਼ਾਰੋਨ ਦਾ ਗੁਲਾਬ ਅਤੇ ਵਾਦੀਆਂ ਦਾ ਸੋਸਨ ਹਾਂ।
[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 2] ਜਿਵੇਂ ਸੋਸਨ ਝਾੜੀਆਂ ਦੇ ਵਿੱਚ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਮੇਰੀ ਪ੍ਰੀਤਮਾ ਧੀਆਂ ਦੇ ਵਿੱਚ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 3] ਜਿਵੇਂ ਸੇਬ ਦਾ ਰੁੱਖ ਬਣ ਦੇ ਰੁੱਖਾਂ ਦੇ ਵਿਚਕਾਰ ਹੈ, ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਮੇਰਾ ਪ੍ਰੇਮੀ ਜਵਾਨਾਂ ਦੇ ਵਿੱਚ ਹੈ। ਮੈਂ ਵੱਡੀ ਚਾਅ ਨਾਲ ਉਸ ਦੀ ਛਾਂ ਵਿੱਚ ਬੈਠੀ ਸੀ, ਉਸ ਦਾ ਫਲ ਮੈਨੂੰ ਖਾਣ ਵਿੱਚ ਮਿੱਠਾ ਲੱਗਦਾ ਸੀ।
[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 4] ਉਹ ਮੈਨੂੰ ਦਾਵਤ-ਖਾਨੇ ਵਿੱਚ ਲੈ ਆਇਆ, ਉਹ ਦੇ ਪਿਆਰ ਦਾ ਝੰਡਾ ਮੇਰੇ ਉੱਪਰ ਸੀ।
[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 5] ਮੈਨੂੰ ਸੌਗੀ ਨਾਲ ਸਹਾਰਾ ਦਿਓ, ਸੇਬਾਂ ਨਾਲ ਮੈਨੂੰ ਤਰੋਤਾਜ਼ਾ ਕਰੋ, ਕਿਉਂ ਜੋ ਮੈਂ ਪ੍ਰੀਤ ਦੀ ਰੋਗਣ ਹਾਂ।
[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 6] ਕਾਸ਼ ਉਸ ਦਾ ਖੱਬਾ ਹੱਥ ਮੇਰੇ ਸਿਰ ਦੇ ਹੇਠ ਹੁੰਦਾ ਅਤੇ ਉਸ ਦਾ ਸੱਜਾ ਹੱਥ ਮੈਨੂੰ ਘੇਰੇ ਵਿੱਚ ਲੈ ਲੈਂਦਾ!
[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 7] ਹੇ ਯਰੂਸ਼ਲਮ ਦੀਓ ਧੀਓ, ਮੈਂ ਤੁਹਾਨੂੰ ਚਕਾਰਿਆਂ, ਅਤੇ ਖੇਤ ਦੀਆਂ ਹਿਰਨੀਆਂ ਦੀ ਸਹੁੰ ਚੁਕਾਉਂਦੀ ਹਾਂ, ਤੁਸੀਂ ਪ੍ਰੀਤ ਨੂੰ ਨਾ ਉਕਸਾਓ, ਨਾ ਜਗਾਓ, ਜਦ ਤੱਕ ਉਸ ਨੂੰ ਆਪ ਨਾ ਭਾਵੇ!
[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 8] ਮੇਰੇ ਪ੍ਰੇਮੀ ਦੀ ਅਵਾਜ਼ ਸੁਣਾਈ ਦਿੰਦੀ ਹੈ! ਵੇਖੋ, ਉਹ ਆ ਰਿਹਾ ਹੈ, ਪਹਾੜਾਂ ਦੇ ਉੱਪਰ ਦੀ ਛਾਲਾਂ ਮਾਰਦਾ ਅਤੇ ਟਿੱਲਿਆਂ ਦੇ ਉੱਪਰੋਂ ਕੁੱਦਦਾ ਹੋਇਆ!
[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 9] ਮੇਰਾ ਪ੍ਰੇਮੀ ਚਿਕਾਰੇ ਜਾਂ ਜੁਆਨ ਹਿਰਨ ਵਾਂਗੂੰ ਹੈ! ਵੇਖੋ, ਉਹ ਸਾਡੀ ਕੰਧ ਦੇ ਪਿੱਛੇ ਖੜ੍ਹਾ ਹੈ, ਉਹ ਤਾਕੀਆਂ ਵਿੱਚੋਂ ਦੀ ਝਾਕਦਾ ਅਤੇ ਝਰੋਖਿਆਂ ਵਿੱਚੋਂ ਤੱਕਦਾ ਹੈ!
[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 10] ਮੇਰੇ ਪ੍ਰੇਮੀ ਨੇ ਮੈਨੂੰ ਉੱਤਰ ਦੇ ਕੇ ਆਖਿਆ, ਮੇਰੀ ਪ੍ਰੀਤਮਾ, ਮੇਰੀ ਰੂਪਵੰਤੀ, ਉੱਠ ਤੇ ਚੱਲੀ ਆ,
[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 11] ਕਿਉਂ ਜੋ ਵੇਖ, ਸਰਦੀਆਂ ਲੰਘ ਗਈਆਂ ਹਨ, ਮੀਂਹ ਵੀ ਪੈ ਕੇ ਚਲਾ ਗਿਆ ਹੈ,
[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 12] ਧਰਤੀ ਉੱਤੇ ਫੁੱਲ ਵਿਖਾਈ ਦਿੰਦੇ ਹਨ, ਗਾਉਣ ਦਾ ਸਮਾਂ ਆ ਗਿਆ ਹੈ ਅਤੇ ਸਾਡੀ ਧਰਤੀ ਵਿੱਚ ਘੁੱਗੀ ਦੀ ਅਵਾਜ਼ ਸੁਣਾਈ ਦਿੰਦੀ ਹੈ।
[IRV | PA | OT | Song of Solomon | Chapter 2 | Verse 13] ਹੰਜ਼ੀਰ ਆਪਣੇ ਫਲ ਪਕਾਉਂਦੀ ਹੈ, ਅੰਗੂਰ ਫਲ ਰਹੇ ਹਨ, ਉਹ ਆਪਣੀ ਸੁਗੰਧ ਦਿੰਦੇ ਹਨ, ਹੇ ਮੇਰੀ ਪ੍ਰੀਤਮਾ, ਮੇਰੀ ਰੂਪਵੰਤੀ, ਉੱਠ ਤੇ ਚੱਲੀ ਆ!
