[IRV | ML | NT | Mark | Chapter 1 | Verse 1] ദൈവപുത്രനായ യേശുക്രിസ്തുവിന്റെ സുവിശേഷത്തിന്റെ ആരംഭം:
[IRV | ML | NT | Mark | Chapter 1 | Verse 2] “ഞാൻ നിനക്കു മുമ്പായി എന്റെ ദൂതനെ അയക്കുന്നു; അവൻ നിന്റെ വഴി ഒരുക്കും.
[IRV | ML | NT | Mark | Chapter 1 | Verse 3] കർത്താവിന്റെ വഴി ഒരുക്കുവിൻ അവന്റെ പാത നിരപ്പാക്കുവിൻ എന്നു മരുഭൂമിയിൽ വിളിച്ചുപറയുന്നവന്റെ വാക്കു” എന്നിങ്ങനെ യെശയ്യാപ്രവാചകന്റെ പുസ്തകത്തിൽ എഴുതിയിരിക്കുന്നതുപോലെ
[IRV | ML | NT | Mark | Chapter 1 | Verse 4] യോഹന്നാൻ വന്നു മരുഭൂമിയിൽ സ്നാനം കഴിപ്പിച്ചും പാപമോചനത്തിന്നായുള്ള മാനസാന്തരസ്നാനം പ്രസംഗിച്ചുംകൊണ്ടിരുന്നു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 5] അവന്റെ അടുക്കൽ യെഹൂദ്യദേശം ഒക്കെയും യെരൂശലേമ്യർ എല്ലാവരും വന്നു പാപങ്ങളെ ഏറ്റുപറഞ്ഞു യോർദ്ദാൻ നദിയിൽ അവനാൽ സ്നാനം കഴിഞ്ഞു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 6] യോഹന്നാനോ ഒട്ടകരോമം കൊണ്ടുള്ള ഉടുപ്പും അരയിൽ തോൽവാറും ധരിച്ചും വെട്ടുക്കിളിയും കാട്ടുതേനും ഉപജീവിച്ചും പോന്നു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 7] എന്നിലും ബലമേറിയവൻ എന്റെ പിന്നാലെ വരുന്നു; അവന്റെ ചെരിപ്പിന്റെ വാറു കുനിഞ്ഞഴിപ്പാൻ ഞാൻ യോഗ്യനല്ല.
[IRV | ML | NT | Mark | Chapter 1 | Verse 8] ഞാൻ നിങ്ങളെ വെള്ളത്തിൽ സ്നാനം കഴിപ്പിക്കുന്നു; അവനോ നിങ്ങളെ പരിശുദ്ധാത്മാവിൽ സ്നാനം കഴിപ്പിക്കും എന്നു അവൻ പ്രസംഗിച്ചു പറഞ്ഞു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 9] ആ കാലത്തു യേശു ഗലീലയിലെ നസറെത്തിൽ നിന്നു വന്നു യോഹന്നാനാൽ യോർദ്ദാനിൽ സ്നാനം കഴിഞ്ഞു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 10] വെള്ളത്തിൽ നിന്നു കയറിയ ഉടനെ ആകാശം പിളരുന്നതും ആത്മാവു പ്രാവുപോലെ തന്റെ മേൽ വരുന്നതും കണ്ടു:
[IRV | ML | NT | Mark | Chapter 1 | Verse 11] നീ എന്റെ പ്രിയപുത്രൻ; നിന്നിൽ ഞാൻ പ്രസാദിച്ചിരിക്കുന്നു എന്നു സ്വർഗ്ഗത്തിൽ നിന്നു ഒരു ശബ്ദവും ഉണ്ടായി.
[IRV | ML | NT | Mark | Chapter 1 | Verse 12] അനന്തരം ആത്മാവു അവനെ മരുഭൂമിയിലേക്കു പോകുവാൻ നിർബന്ധിച്ചു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 13] അവിടെ അവൻ സാത്താനാൽ പരീക്ഷിക്കപ്പെട്ടു നാല്പതു ദിവസം മരുഭൂമിയിൽ കാട്ടുമൃഗങ്ങളോടുകൂടെ ആയിരുന്നു; ദൂതന്മാർ അവനെ ശുശ്രൂഷിച്ചു പോന്നു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 14] എന്നാൽ യോഹന്നാൻ തടവിൽ ആയശേഷം യേശു ഗലീലയിൽ ചെന്നു ദൈവരാജ്യത്തിന്റെ സുവിശേഷം പ്രസംഗിച്ചു:
[IRV | ML | NT | Mark | Chapter 1 | Verse 15] കാലം തികഞ്ഞു ദൈവരാജ്യം സമീപിച്ചിരിക്കുന്നു; മാനസാന്തരപ്പെട്ടു സുവിശേഷത്തിൽ വിശ്വസിപ്പിൻ എന്നു പറഞ്ഞു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 16] അവൻ ഗലീലക്കടല്പുറത്തു നടക്കുമ്പോൾ ശീമോനും അവന്റെ സഹോദരനായ അന്ത്രെയാസും കടലിൽ വല വീശുന്നതു കണ്ടു; അവർ മീൻ പിടിക്കുന്നവർ ആയിരുന്നു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 17] യേശു അവരോടു: എന്നെ അനുഗമിപ്പിൻ; ഞാൻ നിങ്ങളെ മനുഷ്യരെ പിടിക്കുന്നവരാക്കും എന്നു പറഞ്ഞു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 18] ഉടനെ അവർ വല വിട്ടു അവനെ അനുഗമിച്ചു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 19] അവിടെ നിന്നു അല്പം മുന്നോട്ടു ചെന്നപ്പോൾ സെബെദിയുടെ മകനായ യാക്കോബും അവന്റെ സഹോദരനായ യോഹന്നാനും പടകിൽ ഇരുന്നു വല നന്നാക്കുന്നതു കണ്ടു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 20] ഉടനെ അവരെയും വിളിച്ചു; അവർ അപ്പനായ സെബെദിയെ കൂലിക്കാരോടുകൂടെ പടകിൽ വിട്ടു അവനെ അനുഗമിച്ചു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 21] അവർ കഫർന്നഹൂമിലേക്കു പോയി; ശബ്ബത്തിൽ അവൻ പള്ളിയിൽ ചെന്നു ഉപദേശിച്ചു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 22] അവന്റെ ഉപദേശത്തിങ്കൽ അവർ വിസ്മയിച്ചു; അവൻ ശാസ്ത്രിമാരെപ്പോലെയല്ല, അധികാരമുള്ളവനായിട്ടത്രേ അവരെ ഉപദേശിച്ചതു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 23] അവരുടെ പള്ളിയിൽ അശുദ്ധാത്മാവുള്ള ഒരു മനുഷ്യൻ ഉണ്ടായിരുന്നു; അവൻ നിലവിളിച്ചു:
[IRV | ML | NT | Mark | Chapter 1 | Verse 24] നസറായനായ യേശുവേ, ഞങ്ങൾക്കും നിനക്കും തമ്മിൽ എന്തു? ഞങ്ങളെ നശിപ്പിപ്പാൻ വന്നുവോ? നീ ആർ എന്നു ഞാൻ അറിയുന്നു; ദൈവത്തിന്റെ പരിശുദ്ധൻ തന്നേ എന്നു പറഞ്ഞു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 25] യേശു അതിനെ ശാസിച്ചു: മിണ്ടരുതു; അവനെ വിട്ടുപോ എന്നു പറഞ്ഞു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 26] അപ്പോൾ അശുദ്ധാത്മാവു അവനെ ഇഴെച്ചു, ഉറക്കെ നിലവിളിച്ചു അവനെ വിട്ടു പോയി.
[IRV | ML | NT | Mark | Chapter 1 | Verse 27] എല്ലാവരും ആശ്ചര്യപ്പെട്ടു: ഇതെന്തു? ഒരു പുതിയ ഉപദേശം; അവൻ അധികാരത്തോടെ അശുദ്ധാത്മാക്കളോടും കല്പിക്കുന്നു; അവ അവനെ അനുസരിക്കയും ചെയ്യുന്നു എന്നു പറഞ്ഞു തമ്മിൽ വാദിച്ചുകൊണ്ടിരുന്നു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 28] അവന്റെ ശ്രുതി വേഗത്തിൽ ഗലീലനാടു എങ്ങും പരന്നു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 29] അനന്തരം അവർ പള്ളിയിൽ നിന്നു ഇറങ്ങി യാക്കോബും യോഹന്നാനുമായി ശിമോന്റെയും അന്ത്രെയാസിന്റെയും വീട്ടിൽ വന്നു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 30] അവിടെ ശിമോന്റെ അമ്മാവിയമ്മ പനിപിടിച്ചു കിടന്നിരുന്നു; അവർ അവളെക്കുറിച്ചു അവനോടു പറഞ്ഞു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 31] അവൻ അടുത്തുചെന്നു അവളെ കൈക്കുപിടിച്ചു എഴുന്നേല്പിച്ചു; പനി അവളെ വിട്ടുമാറി, അവൾ അവരെ ശുശ്രൂഷിച്ചു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 32] വൈകുന്നേരം സൂര്യൻ അസ്തമിച്ചശേഷം അവർ സകലവിധദീനക്കാരെയും ഭൂതഗ്രസ്തരെയും അവന്റെ അടുക്കൽ കൊണ്ടുവന്നു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 33] പട്ടണം ഒക്കെയും വാതിൽക്കൽ വന്നു കൂടിയിരുന്നു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 34] നാനാവ്യാധികളാൽ വലഞ്ഞിരുന്ന അനേകരെ അവൻ സൗഖ്യമാക്കി, അനേകം ഭൂതങ്ങളെയും പുറത്താക്കി; ഭൂതങ്ങൾ അവനെ അറികകൊണ്ടു സംസാരിപ്പാൻ അവയെ സമ്മതിച്ചില്ല.
[IRV | ML | NT | Mark | Chapter 1 | Verse 35] അതികാലത്തു ഇരുട്ടോടെ അവൻ എഴുന്നേറ്റു പുറപ്പെട്ടു ഒരു നിർജ്ജനസ്ഥലത്തു ചെന്നു പ്രാർത്ഥിച്ചു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 36] ശിമോനും കൂടെയുള്ളവരും അവന്റെ പിന്നാലെ ചെന്നു,
[IRV | ML | NT | Mark | Chapter 1 | Verse 37] അവനെ കണ്ടപ്പോൾ: എല്ലാവരും നിന്നെ അന്വേഷിക്കുന്നു എന്നു പറഞ്ഞു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 38] അവൻ അവരോടു: ഞാൻ അടുത്ത ഊരുകളിലും പ്രസംഗിക്കേണ്ടതിന്നു നാം അവിടേക്കു പോക; ഇതിന്നായിട്ടല്ലോ ഞാൻ പുറപ്പെട്ടു വന്നിരിക്കുന്നതു എന്നു പറഞ്ഞു.
[IRV | ML | NT | Mark | Chapter 1 | Verse 39] അങ്ങനെ അവൻ ഗലീലയിൽ ഒക്കെയും അവരുടെ പള്ളികളിൽ ചെന്നു പ്രസംഗിക്കയും ഭൂതങ്ങളെ പുറത്താക്കുകയും ചെയ്തു.
