[WLC | HE | OT | Lamentations | Chapter 5 | Verse 1] זְכֹ֤ר יְהוָה֙ מֶֽה־הָ֣יָה לָ֔נוּ הביט וּרְאֵ֥ה אֶת־חֶרְפָּתֵֽנוּ׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 2] נַחֲלָתֵ֙נוּ֙ נֶֽהֶפְכָ֣ה לְזָרִ֔ים בָּתֵּ֖ינוּ לְנָכְרִֽים׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 3] יְתוֹמִ֤ים הָיִ֙ינוּ֙ אין אָ֔ב אִמֹּתֵ֖ינוּ כְּאַלְמָנֽוֹת׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 4] מֵימֵ֙ינוּ֙ בְּכֶ֣סֶף שָׁתִ֔ינוּ עֵצֵ֖ינוּ בִּמְחִ֥יר יָבֹֽאוּ׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 5] עַ֤ל צַוָּארֵ֙נוּ֙ נִרְדָּ֔פְנוּ יָגַ֖עְנוּ לא הֽוּנַ֖ח לָֽנוּ׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 6] מִצְרַ֙יִם֙ נָתַ֣נּוּ יָ֔ד אַשּׁ֖וּר לִשְׂבֹּ֥עַֽ לָֽחֶם׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 7] אֲבֹתֵ֤ינוּ חָֽטְאוּ֙ אינם אנחנו עֲוֺנֹתֵיהֶ֥ם סָבָֽלְנוּ׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 8] עֲבָדִים֙ מָ֣שְׁלוּ בָ֔נוּ פֹּרֵ֖ק אֵ֥ין מִיָּדָֽם׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 9] בְּנַפְשֵׁ֙נוּ֙ נָבִ֣יא לַחְמֵ֔נוּ מִפְּנֵ֖י חֶ֥רֶב הַמִּדְבָּֽר׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 10] עוֹרֵ֙נוּ֙ כְּתַנּ֣וּר נִכְמָ֔רוּ מִפְּנֵ֖י זַלְעֲפ֥וֹת רָעָֽב׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 11] נָשִׁים֙ בְּצִיּ֣וֹן עִנּ֔וּ בְּתֻלֹ֖ת בְּעָרֵ֥י יְהוּדָֽה׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 12] שָׂרִים֙ בְּיָדָ֣ם נִתְל֔וּ פְּנֵ֥י זְקֵנִ֖ים לֹ֥א נֶהְדָּֽרוּ׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 13] בַּחוּרִים֙ טְח֣וֹן נָשָׂ֔אוּ וּנְעָרִ֖ים בָּעֵ֥ץ כָּשָֽׁלוּ׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 14] זְקֵנִים֙ מִשַּׁ֣עַר שָׁבָ֔תוּ בַּחוּרִ֖ים מִנְּגִינָתָֽם׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 15] שָׁבַת֙ מְשׂ֣וֹשׂ לִבֵּ֔נוּ נֶהְפַּ֥ךְ לְאֵ֖בֶל מְחֹלֵֽנוּ׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 16] נָֽפְלָה֙ עֲטֶ֣רֶת רֹאשֵׁ֔נוּ אֽוֹי־נָ֥א לָ֖נוּ כִּ֥י חָטָֽאנוּ׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 17] עַל־זֶ֗ה הָיָ֤ה דָוֶה֙ לִבֵּ֔נוּ עַל־אֵ֖לֶּה חָשְׁכ֥וּ עֵינֵֽינוּ׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 18] עַ֤ל הַר־צִיּוֹן֙ שֶׁשָּׁמֵ֔ם שׁוּעָלִ֖ים הִלְּכוּ־בֽוֹ׃ פ
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 19] אַתָּ֤ה יְהוָה֙ לְעוֹלָ֣ם תֵּשֵׁ֔ב כִּסְאֲךָ֖ לְדֹ֥ר וָדֽוֹר׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 20] לָ֤מָּה לָנֶ֙צַח֙ תִּשְׁכָּחֵ֔נוּ תַּֽעַזְבֵ֖נוּ לְאֹ֥רֶךְ יָמִֽים׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 21] הֲשִׁיבֵ֨נוּ יְהוָ֤ה ׀ אֵלֶ֙יךָ֙ ונשוב חַדֵּ֥שׁ יָמֵ֖ינוּ כְּקֶֽדֶם׃
[WLC | HE | OT | Lamentations | Chapter 5 | Verse 22] כִּ֚י אִם־מָאֹ֣ס מְאַסְתָּ֔נוּ קָצַ֥פְתָּ עָלֵ֖ינוּ עַד־מְאֹֽד׃
