[ASV | EN | NT | 2 John | Chapter 1 | Verse 1] The elder unto the elect lady and her children, whom I love in truth; and not I only, but also all they that know the truth;
[ASV | EN | NT | 2 John | Chapter 1 | Verse 2] for the truth’s sake which abideth in us, and it shall be with us forever:
[ASV | EN | NT | 2 John | Chapter 1 | Verse 3] Grace, mercy, peace shall be with us, from God the Father, and from the Lord Jesus Christ, the Son of the Father, in truth and love.
[ASV | EN | NT | 2 John | Chapter 1 | Verse 4] I rejoice greatly that I have found certain of thy children walking in truth, even as we received commandment from the Father.
[ASV | EN | NT | 2 John | Chapter 1 | Verse 5] And now I beseech thee, lady, not as though writing to thee a new commandment, but that which we had from the beginning, that we love one another.
[ASV | EN | NT | 2 John | Chapter 1 | Verse 6] And this is love, that we should walk after his commandments. This is the commandment, even as ye heard from the beginning, that ye should walk in it.
[ASV | EN | NT | 2 John | Chapter 1 | Verse 7] For many deceivers are entered into the world, even they that confess not that Jesus Christ cometh in the flesh. This is the deceiver and the antichrist.
[ASV | EN | NT | 2 John | Chapter 1 | Verse 8] Look to yourselves, that we lose not the things which we have wrought, but that we receive a full reward.
[ASV | EN | NT | 2 John | Chapter 1 | Verse 9] Whosoever transgresseth and abideth not in the teaching of Christ, hath not God: he that abideth in the teaching of Christ, the same hath both the Father and the Son.
[ASV | EN | NT | 2 John | Chapter 1 | Verse 10] If anyone cometh unto you, and bringeth not this teaching, receive him not into your house, and give him no greeting:
[ASV | EN | NT | 2 John | Chapter 1 | Verse 11] for he that giveth him greeting partaketh in his evil works.
[ASV | EN | NT | 2 John | Chapter 1 | Verse 12] Having many things to write unto you, I would not write them with paper and ink: but I hope to come unto you, and to speak face to face, that our joy may be made full.
[ASV | EN | NT | 2 John | Chapter 1 | Verse 13] The children of thine elect sister salute thee. Amen.
