[WLC | HE | OT | Proverbs | Chapter 5 | Verse 1] בְּ֭נִי לְחָכְמָתִ֣י הַקְשִׁ֑יבָה לִ֝תְבוּנָתִ֗י הַט־אָזְנֶֽךָ׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 2] לִשְׁמֹ֥ר מְזִמּ֑וֹת וְ֝דַ֗עַת שְׂפָתֶ֥יךָ יִנְצֹֽרוּ׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 3] כִּ֤י נֹ֣פֶת תִּ֭טֹּפְנָה שִׂפְתֵ֣י זָרָ֑ה וְחָלָ֖ק מִשֶּׁ֣מֶן חִכָּֽהּ׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 4] וְֽ֭אַחֲרִיתָהּ מָרָ֣ה כַֽלַּעֲנָ֑ה חַ֝דָּ֗ה כְּחֶ֣רֶב פִּיּֽוֹת׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 5] רַ֭גְלֶיהָ יֹרְד֣וֹת מָ֑וֶת שְׁ֝א֗וֹל צְעָדֶ֥יהָ יִתְמֹֽכוּ׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 6] אֹ֣רַח חַ֭יִּים פֶּן־תְּפַלֵּ֑ס נָע֥וּ מַ֝עְגְּלֹתֶ֗יהָ לֹ֣א תֵדָֽע׃ פ
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 7] וְעַתָּ֣ה בָ֭נִים שִׁמְעוּ־לִ֑י וְאַל־תָּ֝ס֗וּרוּ מֵאִמְרֵי־פִֽי׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 8] הַרְחֵ֣ק מֵעָלֶ֣יהָ דַרְכֶּ֑ךָ וְאַל־תִּ֝קְרַ֗ב אֶל־פֶּ֥תַח בֵּיתָֽהּ׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 9] פֶּן־תִּתֵּ֣ן לַאֲחֵרִ֣ים הוֹדֶ֑ךָ וּ֝שְׁנֹתֶ֗יךָ לְאַכְזָרִֽי׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 10] פֶּֽן־יִשְׂבְּע֣וּ זָרִ֣ים כֹּחֶ֑ךָ וַ֝עֲצָבֶ֗יךָ בְּבֵ֣ית נָכְרִֽי׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 11] וְנָהַמְתָּ֥ בְאַחֲרִיתֶ֑ךָ בִּכְל֥וֹת בְּ֝שָׂרְךָ֗ וּשְׁאֵרֶֽךָ׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 12] וְֽאָמַרְתָּ֗ אֵ֭יךְ שָׂנֵ֣אתִי מוּסָ֑ר וְ֝תוֹכַ֗חַת נָאַ֥ץ לִבִּֽי׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 13] וְֽלֹא־שָׁ֭מַעְתִּי בְּק֣וֹל מוֹרָ֑י וְ֝לִֽמְלַמְּדַ֗י לֹא־הִטִּ֥יתִי אָזְנִֽי׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 14] כִּ֭מְעַט הָיִ֣יתִי בְכָל־רָ֑ע בְּת֖וֹךְ קָהָ֣ל וְעֵדָֽה׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 15] שְׁתֵה־מַ֥יִם מִבּוֹרֶ֑ךָ וְ֝נֹזְלִ֗ים מִתּ֥וֹךְ בְּאֵרֶֽךָ׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 16] יָפ֣וּצוּ מַעְיְנֹתֶ֣יךָ ח֑וּצָה בָּ֝רְחֹב֗וֹת פַּלְגֵי־מָֽיִם׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 17] יִֽהְיוּ־לְךָ֥ לְבַדֶּ֑ךָ וְאֵ֖ין לְזָרִ֣ים אִתָּֽךְ׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 18] יְהִֽי־מְקוֹרְךָ֥ בָר֑וּךְ וּ֝שְׂמַ֗ח מֵאֵ֥שֶׁת נְעוּרֶֽךָ׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 19] אַיֶּ֥לֶת אֲהָבִ֗ים וְֽיַעֲלַ֫ת־חֵ֥ן דַּ֭דֶּיהָ יְרַוֻּ֣ךָ בְכָל־עֵ֑ת בְּ֝אַהֲבָתָ֗הּ תִּשְׁגֶּ֥ה תָמִֽיד׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 20] וְלָ֤מָּה תִשְׁגֶּ֣ה בְנִ֣י בְזָרָ֑ה וּ֝תְחַבֵּ֗ק חֵ֣ק נָכְרִיָּֽה׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 21] כִּ֤י נֹ֨כַח ׀ עֵינֵ֣י יְ֭הוָה דַּרְכֵי־אִ֑ישׁ וְֽכָל־מַעְגְּלֹתָ֥יו מְפַלֵּֽס׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 22] עַֽווֹנוֹתָ֗יו יִלְכְּדֻנ֥וֹ אֶת־הָרָשָׁ֑ע וּבְחַבְלֵ֥י חַ֝טָּאת֗וֹ יִתָּמֵֽךְ׃
[WLC | HE | OT | Proverbs | Chapter 5 | Verse 23] ה֗וּא יָ֭מוּת בְּאֵ֣ין מוּסָ֑ר וּבְרֹ֖ב אִוַּלְתּ֣וֹ יִשְׁגֶּֽה׃ פ
