[WLC | HE | OT | Proverbs | Chapter 21 | Verse 1] פַּלְגֵי־מַ֣יִם לֶב־מֶ֭לֶךְ בְּיַד־יְהוָ֑ה עַֽל־כָּל־אֲשֶׁ֖ר יַחְפֹּ֣ץ יַטֶּֽנּוּ׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 2] כָּֽל־דֶּרֶךְ־אִ֭ישׁ יָשָׁ֣ר בְּעֵינָ֑יו וְתֹכֵ֖ן לִבּ֣וֹת יְהוָֽה׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 3] עֲ֭שֹׂה צְדָקָ֣ה וּמִשְׁפָּ֑ט נִבְחָ֖ר לַיהוָ֣ה מִזָּֽבַח׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 4] רוּם־עֵ֭ינַיִם וּרְחַב־לֵ֑ב נִ֖ר רְשָׁעִ֣ים חַטָּֽאת׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 5] מַחְשְׁב֣וֹת חָ֭רוּץ אַךְ־לְמוֹתָ֑ר וְכָל־אָ֝֗ץ אַךְ־לְמַחְסֽוֹר׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 6] פֹּ֣עַל א֭וֹצָרוֹת בִּלְשׁ֣וֹן שָׁ֑קֶר הֶ֥בֶל נִ֝דָּ֗ף מְבַקְשֵׁי־מָֽוֶת׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 7] שֹׁד־רְשָׁעִ֥ים יְגוֹרֵ֑ם כִּ֥י מֵ֝אֲנ֗וּ לַעֲשׂ֥וֹת מִשְׁפָּֽט׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 8] הֲפַכְפַּ֬ךְ דֶּ֣רֶךְ אִ֣ישׁ וָזָ֑ר וְ֝זַ֗ךְ יָשָׁ֥ר פָּעֳלֽוֹ׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 9] ט֗וֹב לָשֶׁ֥בֶת עַל־פִּנַּת־גָּ֑ג מֵאֵ֥שֶׁת מִ֝דְיָנִ֗ים וּבֵ֥ית חָֽבֶר׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 10] נֶ֣פֶשׁ רָ֭שָׁע אִוְּתָה־רָ֑ע לֹא־יֻחַ֖ן בְּעֵינָ֣יו רֵעֵֽהוּ׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 11] בַּעְנָשׁ־לֵ֭ץ יֶחְכַּם־פֶּ֑תִי וּבְהַשְׂכִּ֥יל לְ֝חָכָ֗ם יִקַּח־דָּֽעַת׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 12] מַשְׂכִּ֣יל צַ֭דִּיק לְבֵ֣ית רָשָׁ֑ע מְסַלֵּ֖ף רְשָׁעִ֣ים לָרָֽע׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 13] אֹטֵ֣ם אָ֭זְנוֹ מִזַּעֲקַת־דָּ֑ל גַּֽם־ה֥וּא יִ֝קְרָ֗א וְלֹ֣א יֵעָנֶֽה׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 14] מַתָּ֣ן בַּ֭סֵּתֶר יִכְפֶּה־אָ֑ף וְשֹׁ֥חַד בַּ֝חֵ֗ק חֵמָ֥ה עַזָּֽה׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 15] שִׂמְחָ֣ה לַ֭צַּדִּיק עֲשׂ֣וֹת מִשְׁפָּ֑ט וּ֝מְחִתָּ֗ה לְפֹ֣עֲלֵי אָֽוֶן׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 16] אָדָ֗ם תּ֭וֹעֶה מִדֶּ֣רֶךְ הַשְׂכֵּ֑ל בִּקְהַ֖ל רְפָאִ֣ים יָנֽוּחַ׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 17] אִ֣ישׁ מַ֭חְסוֹר אֹהֵ֣ב שִׂמְחָ֑ה אֹהֵ֥ב יַֽיִן־וָ֝שֶׁ֗מֶן לֹ֣א יַעֲשִֽׁיר׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 18] כֹּ֣פֶר לַצַּדִּ֣יק רָשָׁ֑ע וְתַ֖חַת יְשָׁרִ֣ים בּוֹגֵֽד׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 19] ט֗וֹב שֶׁ֥בֶת בְּאֶֽרֶץ־מִדְבָּ֑ר מֵאֵ֖שֶׁת מדונים וָכָֽעַס׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 20] אוֹצָ֤ר ׀ נֶחְמָ֣ד וָ֭שֶׁמֶן בִּנְוֵ֣ה חָכָ֑ם וּכְסִ֖יל אָדָ֣ם יְבַלְּעֶֽנּוּ׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 21] רֹ֭דֵף צְדָקָ֣ה וָחָ֑סֶד יִמְצָ֥א חַ֝יִּ֗ים צְדָקָ֥ה וְכָבֽוֹד׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 22] עִ֣יר גִּ֭בֹּרִים עָלָ֣ה חָכָ֑ם וַ֝יֹּ֗רֶד עֹ֣ז מִבְטֶחָֽה׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 23] שֹׁמֵ֣ר פִּ֭יו וּלְשׁוֹנ֑וֹ שֹׁמֵ֖ר מִצָּר֣וֹת נַפְשֽׁוֹ׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 24] זֵ֣ד יָ֭הִיר לֵ֣ץ שְׁמ֑וֹ ע֝וֹשֶׂ֗ה בְּעֶבְרַ֥ת זָדֽוֹן׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 25] תַּאֲוַ֣ת עָצֵ֣ל תְּמִיתֶ֑נּוּ כִּֽי־מֵאֲנ֖וּ יָדָ֣יו לַעֲשֽׂוֹת׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 26] כָּל־הַ֭יּוֹם הִתְאַוָּ֣ה תַאֲוָ֑ה וְצַדִּ֥יק יִ֝תֵּ֗ן וְלֹ֣א יַחְשֹֽׂךְ׃
[WLC | HE | OT | Proverbs | Chapter 21 | Verse 27] זֶ֣בַח רְ֭שָׁעִים תּוֹעֵבָ֑ה אַ֝֗ף כִּֽי־בְזִמָּ֥ה יְבִיאֶֽנּוּ׃
