[WLC | HE | OT | Proverbs | Chapter 6 | Verse 1] בְּ֭נִי אִם־עָרַ֣בְתָּ לְרֵעֶ֑ךָ תָּקַ֖עְתָּ לַזָּ֣ר כַּפֶּֽיךָ׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 2] נוֹקַ֥שְׁתָּ בְאִמְרֵי־פִ֑יךָ נִ֝לְכַּ֗דְתָּ בְּאִמְרֵי־פִֽיךָ ׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 3] עֲשֵׂ֨ה זֹ֥את אֵפ֪וֹא ׀ בְּנִ֡י וְֽהִנָּצֵ֗ל כִּ֘י בָ֤אתָ בְכַף־רֵעֶ֑ךָ לֵ֥ךְ הִ֝תְרַפֵּ֗ס וּרְהַ֥ב רֵעֶֽיךָ׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 4] אַל־תִּתֵּ֣ן שֵׁנָ֣ה לְעֵינֶ֑יךָ וּ֝תְנוּמָ֗ה לְעַפְעַפֶּֽיךָ׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 5] הִ֭נָּצֵל כִּצְבִ֣י מִיָּ֑ד וּ֝כְצִפּ֗וֹר מִיַּ֥ד יָקֽוּשׁ׃ פ
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 6] לֵֽךְ־אֶל־נְמָלָ֥ה עָצֵ֑ל רְאֵ֖ה דְרָכֶ֣יהָ וַחֲכָֽם׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 7] אֲשֶׁ֖ר אֵֽין־לָ֥הּ קָצִ֗ין שֹׁטֵ֥ר וּמֹשֵֽׁל׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 8] תָּכִ֣ין בַּקַּ֣יִץ לַחְמָ֑הּ אָגְרָ֥ה בַ֝קָּצִ֗יר מַאֲכָלָֽהּ׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 9] עַד־מָתַ֖י עָצֵ֥ל ׀ תִּשְׁכָּ֑ב מָ֝תַ֗י תָּק֥וּם מִשְּׁנָתֶֽךָ׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 10] מְעַ֣ט שֵׁ֭נוֹת מְעַ֣ט תְּנוּמ֑וֹת מְעַ֓ט ׀ חִבֻּ֖ק יָדַ֣יִם לִשְׁכָּֽב׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 11] וּבָֽא־כִמְהַלֵּ֥ךְ רֵאשֶׁ֑ךָ וּ֝מַחְסֹֽרְךָ֗ כְּאִ֣ישׁ מָגֵֽן׃ פ
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 12] אָדָ֣ם בְּ֭לִיַּעַל אִ֣ישׁ אָ֑וֶן ה֝וֹלֵ֗ךְ עִקְּשׁ֥וּת פֶּֽה׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 13] קֹרֵ֣ץ בְּ֭עֵינָו מֹלֵ֣ל בְּרַגְלָ֑ו מֹ֝רֶ֗ה בְּאֶצְבְּעֹתָֽיו׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 14] תַּֽהְפֻּכ֨וֹת ׀ בְּלִבּ֗וֹ חֹרֵ֣שׁ רָ֣ע בְּכָל־עֵ֑ת מדנים יְשַׁלֵּֽחַ׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 15] עַל־כֵּ֗ן פִּ֭תְאֹם יָב֣וֹא אֵיד֑וֹ פֶּ֥תַע יִ֝שָּׁבֵ֗ר וְאֵ֣ין מַרְפֵּֽא׃ פ
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 16] שֶׁשׁ־הֵ֭נָּה שָׂנֵ֣א יְהוָ֑ה וְ֝שֶׁ֗בַע תועבות נַפְשֽׁוֹ׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 17] עֵינַ֣יִם רָ֭מוֹת לְשׁ֣וֹן שָׁ֑קֶר וְ֝יָדַ֗יִם שֹׁפְכ֥וֹת דָּם־נָקִֽי׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 18] לֵ֗ב חֹ֭רֵשׁ מַחְשְׁב֣וֹת אָ֑וֶן רַגְלַ֥יִם מְ֝מַהֲר֗וֹת לָר֥וּץ לָֽרָעָה׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 19] יָפִ֣יחַ כְּ֭זָבִים עֵ֣ד שָׁ֑קֶר וּמְשַׁלֵּ֥חַ מְ֝דָנִ֗ים בֵּ֣ין אַחִֽים׃ פ
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 20] נְצֹ֣ר בְּ֭נִי מִצְוַ֣ת אָבִ֑יךָ וְאַל־תִּ֝טֹּ֗שׁ תּוֹרַ֥ת אִמֶּֽךָ׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 21] קָשְׁרֵ֣ם עַל־לִבְּךָ֣ תָמִ֑יד עָ֝נְדֵ֗ם עַל־גַּרְגְּרֹתֶֽךָ׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 22] בְּהִתְהַלֶּכְךָ֨ ׀ תַּנְחֶ֬ה אֹתָ֗ךְ בְּֽ֭שָׁכְבְּךָ תִּשְׁמֹ֣ר עָלֶ֑יךָ וַ֝הֲקִיצ֗וֹתָ הִ֣יא תְשִׂיחֶֽךָ׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 23] כִּ֤י נֵ֣ר מִ֭צְוָה וְת֣וֹרָה א֑וֹר וְדֶ֥רֶךְ חַ֝יִּ֗ים תּוֹכְח֥וֹת מוּסָֽר׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 24] לִ֭שְׁמָרְךָ מֵאֵ֣שֶׁת רָ֑ע מֵֽ֝חֶלְקַ֗ת לָשׁ֥וֹן נָכְרִיָּֽה׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 25] אַל־תַּחְמֹ֣ד יָ֭פְיָהּ בִּלְבָבֶ֑ךָ וְאַל־תִּ֝קָּֽחֲךָ֗ בְּעַפְעַפֶּֽיהָ׃
[WLC | HE | OT | Proverbs | Chapter 6 | Verse 26] כִּ֤י בְעַד־אִשָּׁ֥ה זוֹנָ֗ה עַֽד־כִּכַּ֫ר לָ֥חֶם וְאֵ֥שֶׁת אִ֑ישׁ נֶ֖פֶשׁ יְקָרָ֣ה תָצֽוּד׃ פ
