[WLC | HE | OT | Proverbs | Chapter 13 | Verse 1] בֵּ֣ן חָ֭כָם מ֣וּסַר אָ֑ב וְ֝לֵ֗ץ לֹא־שָׁמַ֥ע גְּעָרָֽה׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 2] מִפְּרִ֣י פִי־אִ֭ישׁ יֹ֣אכַל ט֑וֹב וְנֶ֖פֶשׁ בֹּגְדִ֣ים חָמָֽס׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 3] נֹצֵ֣ר פִּ֭יו שֹׁמֵ֣ר נַפְשׁ֑וֹ פֹּשֵׂ֥ק שְׂ֝פָתָ֗יו מְחִתָּה־לֽוֹ׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 4] מִתְאַוָּ֣ה וָ֭אַיִן נַפְשׁ֣וֹ עָצֵ֑ל וְנֶ֖פֶשׁ חָרֻצִ֣ים תְּדֻשָּֽׁן׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 5] דְּבַר־שֶׁ֭קֶר יִשְׂנָ֣א צַדִּ֑יק וְ֝רָשָׁ֗ע יַבְאִ֥ישׁ וְיַחְפִּֽיר׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 6] צְ֭דָקָה תִּצֹּ֣ר תָּם־דָּ֑רֶךְ וְ֝רִשְׁעָ֗ה תְּסַלֵּ֥ף חַטָּֽאת׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 7] יֵ֣שׁ מִ֭תְעַשֵּׁר וְאֵ֣ין כֹּ֑ל מִ֝תְרוֹשֵׁ֗שׁ וְה֣וֹן רָֽב׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 8] כֹּ֣פֶר נֶֽפֶשׁ־אִ֣ישׁ עָשְׁר֑וֹ וְ֝רָ֗שׁ לֹא־שָׁמַ֥ע גְּעָרָֽה׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 9] אוֹר־צַדִּיקִ֥ים יִשְׂמָ֑ח וְנֵ֖ר רְשָׁעִ֣ים יִדְעָֽךְ׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 10] רַק־בְּ֭זָדוֹן יִתֵּ֣ן מַצָּ֑ה וְאֶת־נ֖וֹעָצִ֣ים חָכְמָֽה׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 11] ה֭וֹן מֵהֶ֣בֶל יִמְעָ֑ט וְקֹבֵ֖ץ עַל־יָ֣ד יַרְבֶּֽה׃
