[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 1] ਉਸ ਨੇ ਪਿੱਤਲ ਦੀ ਇੱਕ ਜਗਵੇਦੀ ਬਣਾਈ। ਉਹ ਦੀ ਲੰਬਾਈ ਵੀਹ ਹੱਥ ਅਤੇ ਉਹ ਦੀ ਚੌੜਾਈ ਵੀਹ ਹੱਥ ਅਤੇ ਉਹ ਦੀ ਉਚਿਆਈ ਦਸ ਹੱਥ ਸੀ।
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 2] ਉਸ ਨੇ ਇੱਕ ਢਾਲਿਆ ਹੋਇਆ ਸਾਗਰੀ ਹੌਦ ਬਣਾਇਆ ਜੋ ਇੱਕ ਕੰਢੇ ਤੋਂ ਦੂਜੇ ਕੰਢੇ ਤੱਕ ਦਸ ਹੱਥ ਸੀ। ਉਹ ਚੁਫ਼ੇਰਿਓਂ ਗੋਲ ਸੀ ਅਤੇ ਉਹ ਦੀ ਉਚਿਆਈ ਪੰਜ ਹੱਥ ਸੀ ਅਤੇ ਉਹ ਦੇ ਘੇਰੇ ਦੀ ਮਿਣਤੀ ਤੀਹ ਹੱਥ ਸੀ।
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 3] ਉਹ ਦੇ ਹੇਠਾਂ ਉਹ ਦੇ ਚੁਫ਼ੇਰੇ ਇੱਕ-ਇੱਕ ਹੱਥ ਵਿੱਚ ਦਸ-ਦਸ ਬਲ਼ਦਾਂ ਦੀਆਂ ਮੂਰਤਾਂ ਉਸ ਸਾਗਰੀ ਹੌਦ ਨੂੰ ਦੁਆਲਿਓਂ ਘੇਰਦੀਆਂ ਸਨ। ਇਹ ਬਲ਼ਦ ਦੋ ਪਾਲਾਂ ਵਿੱਚ ਉਸੇ ਦੇ ਨਾਲ ਢਾਲ਼ੇ ਗਏ ਸਨ।
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 4] ਉਹ ਬਾਰਾਂ ਬਲ਼ਦਾਂ ਦੇ ਉੱਤੇ ਧਰਿਆ ਹੋਇਆ ਸੀ। ਤਿੰਨਾਂ ਦੇ ਮੂੰਹ ਉੱਤਰ ਵੱਲ, ਤਿੰਨਾਂ ਦੇ ਮੂੰਹ ਪੱਛਮ ਵੱਲ, ਤਿੰਨਾਂ ਦੇ ਮੂੰਹ ਦੱਖਣ ਵੱਲ ਅਤੇ ਤਿੰਨਾਂ ਦੇ ਮੂੰਹ ਪੂਰਬ ਵੱਲ ਸਨ, ਸਾਗਰੀ ਹੌਦ ਉਨ੍ਹਾਂ ਦੇ ਉੱਤੇ ਧਰਿਆ ਹੋਇਆ ਸੀ ਅਤੇ ਉਨ੍ਹਾਂ ਸਾਰਿਆਂ ਦੇ ਪਿਛਲੇ ਅੰਗ ਅੰਦਰਵਾਰ ਨੂੰ ਸਨ।
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 5] ਉਸ ਦੀ ਮੋਟਾਈ ਇੱਕ ਚੱਪਾ ਭਰ ਸੀ ਅਤੇ ਉਸ ਦੇ ਕੰਢੇ ਕਟੋਰੇ ਦੇ ਕੰਢੇ ਵਾਂਗੂੰ ਸੋਸਨ ਦੇ ਫੁੱਲਾਂ ਵਰਗੇ ਸਨ ਅਤੇ ਉਸ ਦੇ ਵਿੱਚ ਉੱਛਲਵਾਂ ਤਿੰਨ ਹਜ਼ਾਰ ਬਤ ਵੀ ਸਮਾ ਸਕਦਾ ਸੀ
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 6] ਅਤੇ ਉਸ ਨੇ ਦਸ ਹੌਦੀਆਂ ਬਣਾਈਆਂ, ਪੰਜ ਸੱਜੇ ਪਾਸੇ, ਪੰਜ ਖੱਬੇ ਪਾਸੇ ਰੱਖੀਆਂ ਕਿ ਉਨ੍ਹਾਂ ਵਿੱਚ ਹੋਮ ਬਲੀ ਦੀਆਂ ਵਸਤੂਆਂ ਧੋਤੀਆਂ ਜਾਣ। ਉਨ੍ਹਾਂ ਨੂੰ ਉੱਥੇ ਹੀ ਧੋਂਦੇ ਸਨ ਪਰ ਸਾਗਰੀ ਹੌਦ ਜਾਜਕਾਂ ਦੇ ਨਹਾਉਣ ਲਈ ਸੀ
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 7] ਅਤੇ ਉਸ ਨੇ ਸੋਨੇ ਦੇ ਦਸ ਸ਼ਮਾਦਾਨ ਹੁਕਮ ਦੇ ਅਨੁਸਾਰ ਬਣਾਏ ਅਤੇ ਹੈਕਲ ਵਿੱਚ ਪੰਜ ਸੱਜੇ ਅਤੇ ਪੰਜ ਖੱਬੇ ਪਾਸੇ ਟਿਕਾ ਦਿੱਤੇ
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 8] ਉਸ ਨੇ ਦਸ ਮੇਜ਼ਾਂ ਬਣਾਈਆਂ ਅਤੇ ਹੈਕਲ ਵਿੱਚ ਪੰਜ ਸੱਜੇ ਅਤੇ ਪੰਜ ਖੱਬੇ ਪਾਸੇ ਟਿਕਾਈਆਂ ਅਤੇ ਉਸ ਨੇ ਸੋਨੇ ਦੇ ਇੱਕ ਸੌ ਕਟੋਰੇ ਬਣਾਏ
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 9] ਫੇਰ ਉਸ ਨੇ ਜਾਜਕਾਂ ਦਾ ਵਿਹੜਾ ਤੇ ਵੱਡਾ ਵਲਗਣ ਬਣਾਇਆ ਅਤੇ ਵਲਗਣ ਦੇ ਬੂਹੇ ਬਣਾ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਪਿੱਤਲ ਨਾਲ ਮੜ੍ਹਿਆ
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 10] ਅਤੇ ਉਸ ਨੇ ਸਾਗਰੀ ਹੌਦ ਨੂੰ ਪੂਰਬ ਵੱਲ ਭਵਨ ਦੇ ਸੱਜੇ ਪਾਸੇ ਦੱਖਣ ਵੱਲ ਘੁਮਾ ਕੇ ਰੱਖਿਆ।
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 11] ਹੂਰਾਮ ਨੇ ਤਸਲੇ ਅਤੇ ਕੜਛੇ ਅਤੇ ਬਾਟੇ ਬਣਾਏ ਅਤੇ ਹੀਰਾਮ ਨੇ ਉਹ ਕੰਮ ਜੋ ਸੁਲੇਮਾਨ ਦੇ ਲਈ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਕਰਦਾ ਸੀ ਸੰਪੂਰਨ ਕੀਤਾ,
