[IRV | PA | OT | 2 Chronicles | Chapter 21 | Verse 1] ਯਹੋਸ਼ਾਫ਼ਾਤ ਮਰ ਕੇ ਆਪਣੇ ਪੁਰਖਿਆਂ ਦੇ ਨਾਲ ਮਿਲ ਗਿਆ ਅਤੇ ਦਾਊਦ ਦੇ ਸ਼ਹਿਰ ਵਿੱਚ ਆਪਣੇ ਪੁਰਖਿਆਂ ਨਾਲ ਦੱਬਿਆ ਗਿਆ ਤੇ ਉਸ ਦਾ ਪੁੱਤਰ ਯਹੋਰਾਮ ਉਸ ਦੇ ਥਾਂ ਰਾਜ ਕਰਨ ਲੱਗਾ।
[IRV | PA | OT | 2 Chronicles | Chapter 21 | Verse 2] ਅਤੇ ਉਸ ਦੇ ਭਰਾ ਜੋ ਯਹੋਸ਼ਾਫ਼ਾਤ ਦੇ ਪੁੱਤਰ ਸਨ ਉਹ ਇਹ ਸਨ, ਅਜ਼ਰਯਾਹ, ਯਹੀਏਲ, ਜ਼ਕਰਯਾਹ, ਅਜ਼ਰਯਾਹ, ਮੀਕਾਏਲ ਅਤੇ ਸਫ਼ਟਯਾਹ, ਇਹ ਸਾਰੇ ਇਸਰਾਏਲ ਦੇ ਪਾਤਸ਼ਾਹ ਯਹੋਸ਼ਾਫ਼ਾਤ ਦੇ ਪੁੱਤਰ ਸਨ
[IRV | PA | OT | 2 Chronicles | Chapter 21 | Verse 3] ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਪਿਤਾ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਚਾਂਦੀ ਸੋਨਾ ਅਤੇ ਬਹੁਮੁੱਲੀਆਂ ਚੀਜ਼ਾਂ ਦੇ ਵੱਡੇ ਇਨਾਮ ਅਤੇ ਯਹੂਦਾਹ ਵਿੱਚ ਗੜਾਂ ਵਾਲੇ ਸ਼ਹਿਰ ਸਣੇ ਦਿੱਤੇ ਪਰ ਰਾਜ ਯਹੋਰਾਮ ਨੂੰ ਦਿੱਤਾ ਕਿਉਂ ਜੋ ਉਹ ਪਹਿਲੌਠਾ ਪੁੱਤਰ ਸੀ
[IRV | PA | OT | 2 Chronicles | Chapter 21 | Verse 4] ਜਦ ਯਹੋਰਾਮ ਆਪਣੇ ਪਿਤਾ ਦੇ ਰਾਜ ਉੱਤੇ ਪੱਕਾ ਹੋ ਗਿਆ ਅਤੇ ਆਪਣੇ ਆਪ ਨੂੰ ਤਕੜਾ ਕਰ ਲਿਆ ਤਾਂ ਉਹ ਨੇ ਆਪਣੇ ਸਾਰੇ ਭਰਾਵਾਂ ਨੂੰ ਅਤੇ ਇਸਰਾਏਲ ਦੇ ਸਰਦਾਰਾਂ ਵਿੱਚੋਂ ਕਈਆਂ ਨੂੰ ਤਲਵਾਰ ਨਾਲ ਵੱਢ ਸੁੱਟਿਆ
[IRV | PA | OT | 2 Chronicles | Chapter 21 | Verse 5] ਯਹੋਰਾਮ ਜਦੋਂ ਰਾਜ ਕਰਨ ਲੱਗਾ ਤਦ ਉਹ ਬੱਤੀ ਸਾਲਾਂ ਦਾ ਸੀ ਅਤੇ ਉਸ ਨੇ ਅੱਠ ਸਾਲ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਰਾਜ ਕੀਤਾ
[IRV | PA | OT | 2 Chronicles | Chapter 21 | Verse 6] ਅਤੇ ਉਹ ਅਹਾਬ ਦੇ ਘਰਾਣੇ ਵਾਂਗੂੰ ਇਸਰਾਏਲ ਦੇ ਰਾਜਿਆਂ ਦੇ ਰਾਹ ਉੱਤੇ ਤੁਰਿਆ ਕਿਉਂ ਜੋ ਅਹਾਬ ਦੀ ਧੀ ਉਹ ਦੀ ਰਾਣੀ ਸੀ ਅਤੇ ਉਹ ਨੇ ਉਹ ਹੀ ਕੰਮ ਕੀਤਾ ਜਿਹੜਾ ਯਹੋਵਾਹ ਦੀ ਨਿਗਾਹ ਵਿੱਚ ਬੁਰਾ ਸੀ
[IRV | PA | OT | 2 Chronicles | Chapter 21 | Verse 7] ਫੇਰ ਵੀ ਯਹੋਵਾਹ ਨੇ ਉਸ ਨੇਮ ਦੇ ਕਾਰਨ ਜੋ ਉਸ ਦਾਊਦ ਨਾਲ ਬੰਨ੍ਹਿਆ ਸੀ, ਦਾਊਦ ਦੇ ਘਰਾਣੇ ਨੂੰ ਨਾਸ ਕਰਨਾ ਨਾ ਚਾਹਿਆ, ਕਿਉਂ ਜੋ ਉਸ ਨੇ ਉਹ ਨੂੰ ਅਤੇ ਉਹ ਦੇ ਵੰਸ਼ ਨੂੰ ਸਦਾ ਲਈ ਇੱਕ ਵਾਰਿਸ ਦੇਣ ਦਾ ਵਾਅਦਾ ਕੀਤਾ ਸੀ
[IRV | PA | OT | 2 Chronicles | Chapter 21 | Verse 8] ਉਹ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਅਦੋਮੀ ਯਹੂਦਾਹ ਦੇ ਰਾਜ ਤੋਂ ਆਕੀ ਹੋ ਗਏ ਅਤੇ ਆਪਣੇ ਉੱਤੇ ਇੱਕ ਹੋਰ ਰਾਜਾ ਬਣਾ ਲਿਆ
[IRV | PA | OT | 2 Chronicles | Chapter 21 | Verse 9] ਤਾਂ ਯਹੋਰਾਮ ਆਪਣੇ ਸਰਦਾਰਾਂ ਅਤੇ ਸਾਰੇ ਰਥਾਂ ਨੂੰ ਨਾਲ ਲੈ ਕੇ ਬਾਹਰ ਨਿੱਕਲਿਆ ਅਤੇ ਰਾਤ ਨੂੰ ਉੱਠ ਕੇ ਅਦੋਮੀਆਂ ਨੂੰ ਜਿਨ੍ਹਾਂ ਨੇ ਉਹ ਨੂੰ ਅਤੇ ਉਹ ਦੇ ਰਥਾਂ ਦੇ ਸਰਦਾਰਾਂ ਨੂੰ ਘੇਰ ਲਿਆ ਸੀ ਮਾਰਿਆ
[IRV | PA | OT | 2 Chronicles | Chapter 21 | Verse 10] ਸੋ ਅਦੋਮ ਅੱਜ ਤੱਕ ਯਹੂਦਾਹ ਦੀ ਅਧੀਨਤਾਈ ਤੋਂ ਆਕੀ ਹੈ ਅਤੇ ਉਸੇ ਵੇਲੇ ਲਿਬਨਾਹ ਵੀ ਉਨ੍ਹਾਂ ਦੇ ਹੱਥੋਂ ਨਿੱਕਲ ਗਿਆ ਕਿਉਂ ਜੋ ਉਹ ਨੇ ਯਹੋਵਾਹ ਆਪਣੇ ਪੁਰਖਿਆਂ ਦੇ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਛੱਡ ਦਿੱਤਾ ਸੀ।
[IRV | PA | OT | 2 Chronicles | Chapter 21 | Verse 11] ਇਸ ਤੋਂ ਬਿਨ੍ਹਾਂ ਉਹ ਨੇ ਯਹੂਦਾਹ ਦੇ ਪਰਬਤਾਂ ਉੱਤੇ ਉੱਚੇ ਸਥਾਨ ਬਣਾਏ ਅਤੇ ਯਰੂਸ਼ਲਮ ਦੇ ਵਾਸੀਆਂ ਨੂੰ ਵਿਭਚਾਰੀ ਬਣਾਇਆ ਅਤੇ ਯਹੂਦਾਹ ਨੂੰ ਭੁਲੇਖੇ ਵਿੱਚ ਪਾ ਦਿੱਤਾ
