[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 1] ਜਦ ਮਨੱਸ਼ਹ ਰਾਜ ਕਰਨ ਲੱਗਾ ਤਾਂ ਉਹ ਬਾਰਾਂ ਸਾਲਾਂ ਦਾ ਸੀ, ਉਸ ਨੇ ਪਚਵੰਜਾ ਸਾਲ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਰਾਜ ਕੀਤਾ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 2] ਅਤੇ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਕੌਮਾਂ ਦੇ ਘਿਣਾਉਣੇ ਕੰਮਾਂ ਵਾਂਗੂੰ ਜਿਨ੍ਹਾਂ ਨੂੰ ਯਹੋਵਾਹ ਨੇ ਇਸਰਾਏਲੀਆਂ ਦੇ ਅੱਗਿਓਂ ਕੱਢ ਦਿੱਤਾ ਸੀ ਯਹੋਵਾਹ ਦੀ ਨਿਗਾਹ ਵਿੱਚ ਬਦੀ ਕੀਤੀ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 3] ਕਿਉਂ ਜੋ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਉੱਚਿਆਂ ਥਾਵਾਂ ਨੂੰ ਜਿਨ੍ਹਾਂ ਨੂੰ ਉਸ ਦੇ ਪਿਤਾ ਹਿਜ਼ਕੀਯਾਹ ਨੇ ਢਾਹ ਦਿੱਤਾ ਸੀ ਫੇਰ ਬਣਾਇਆ ਅਤੇ ਬਆਲਾਂ ਦੇ ਲਈ ਜਗਵੇਦੀਆਂ ਬਣਾਈਆਂ ਅਤੇ ਟੁੰਡ ਦੇਵੀਆਂ ਬਣਾਈਆਂ ਅਤੇ ਅਕਾਸ਼ ਦੇ ਸਾਰੇ ਲਸ਼ਕਰ ਨੂੰ ਮੱਥਾ ਟੇਕਿਆ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀ ਪੂਜਾ ਕੀਤੀ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 4] ਅਤੇ ਉਸ ਨੇ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਜਿਸ ਦੇ ਵਿਖੇ ਯਹੋਵਾਹ ਦਾ ਫ਼ਰਮਾਨ ਸੀ ਕਿ ਮੇਰਾ ਨਾਮ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਸਦਾ ਤੱਕ ਰਹੇਗਾ ਜਗਵੇਦੀਆਂ ਬਣਾਈਆਂ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 5] ਅਤੇ ਉਸ ਨੇ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਦੇ ਦੋਹਾਂ ਵਿਹੜਿਆਂ ਵਿੱਚ ਅਕਾਸ਼ ਦੇ ਸਾਰੇ ਲਸ਼ਕਰ ਲਈ ਜਗਵੇਦੀਆਂ ਬਣਾਈਆਂ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 6] ਅਤੇ ਉਸ ਨੇ ਬਨ ਹਿੰਨੋਮ ਦੀ ਵਾਦੀ ਵਿੱਚ ਆਪਣੇ ਪੁੱਤਰਾਂ ਨੂੰ ਅੱਗ ਵਿੱਚੋਂ ਦੀ ਲੰਘਾਇਆ ਅਤੇ ਫ਼ਾਲ ਪਾਉਂਦਾ ਅਤੇ ਟੂਣੇ-ਟੋਟਕੇ ਅਤੇ ਜਾਦੂ ਕਰਦਾ, ਅਤੇ ਭੂਤ ਮਿੱਤਰਾਂ ਅਤੇ ਦਿਓ-ਯਾਰਾਂ ਨਾਲ ਮੇਲ-ਜੋਲ ਰੱਖਦਾ ਸੀ। ਉਹ ਅਜਿਹਾ ਕੰਮ ਕਰਨ ਵਿੱਚ ਜੋ ਯਹੋਵਾਹ ਦੀ ਨਿਗਾਹ ਵਿੱਚ ਭੈੜਾ ਸੀ ਬਹੁਤ ਵੱਧ ਗਿਆ ਅਤੇ ਉਹ ਦੇ ਕ੍ਰੋਧ ਨੂੰ ਭੜਕਾਇਆ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 7] ਅਤੇ ਉਸ ਨੇ ਇੱਕ ਬੁੱਤ ਦੀ ਉੱਕਰੀ ਹੋਈ ਮੂਰਤ ਬਣਾ ਕੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭਵਨ ਵਿੱਚ ਰੱਖੀ ਜਿਸ ਦੇ ਵਿਖੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਦਾਊਦ ਅਤੇ ਉਹ ਦੇ ਪੁੱਤਰ ਸੁਲੇਮਾਨ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਸੀ ਕਿ ਮੈਂ ਇਸ ਭਵਨ ਵਿੱਚ ਅਤੇ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਜਿਸ ਨੂੰ ਮੈਂ ਇਸਰਾਏਲ ਦੇ ਸਾਰੇ ਗੋਤਾਂ ਵਿੱਚੋਂ ਚੁਣ ਲਿਆ ਹੈ, ਆਪਣਾ ਨਾਮ ਸਦਾ ਤੱਕ ਰੱਖਾਂਗਾ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 8] ਅਤੇ ਮੈਂ ਇਸਰਾਏਲ ਦੇ ਪੈਰ ਉਸ ਭੂਮੀ ਉੱਤੋਂ ਜਿਹ ਦੇ ਵਿੱਚ ਮੈਂ ਉਨ੍ਹਾਂ ਦੇ ਪੁਰਖਿਆਂ ਨੂੰ ਘੱਲਿਆਰਿਆ ਹੈ ਫੇਰ ਕਦੇ ਨਹੀਂ ਹਟਾਵਾਂਗਾ ਪਰ ਜੇ ਉਹ ਉਨ੍ਹਾਂ ਸਾਰੀਆਂ ਗੱਲਾਂ ਦੇ ਪੂਰਾ ਕਰਨ ਦੀ ਜਿਨ੍ਹਾਂ ਦਾ ਮੈਂ ਉਨ੍ਹਾਂ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਪਾਲਨਾ ਕਰਨ ਅਰਥਾਤ ਸਾਰੀ ਬਿਵਸਥਾ, ਬਿਧੀਆਂ ਅਤੇ ਨਿਆਂਵਾਂ ਦੀ ਜੋ ਮੂਸਾ ਦੇ ਰਾਹੀਂ ਆਏ ਸਨ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 9] ਮਨੱਸ਼ਹ ਨੇ ਯਹੂਦਾਹ ਅਤੇ ਯਰੂਸ਼ਲਮ ਦੇ ਵਾਸੀਆਂ ਨੂੰ ਕੁਰਾਹੇ ਪਾਇਆ ਕਿ ਉਨ੍ਹਾਂ ਨੇ ਉਹਨਾਂ ਕੌਮਾਂ ਨਾਲੋਂ ਵੀ ਵੱਧ ਬੁਰਿਆਈ ਕੀਤੀ ਜਿਨ੍ਹਾਂ ਨੂੰ ਯਹੋਵਾਹ ਨੇ ਇਸਰਾਏਲੀਆਂ ਦੇ ਅੱਗੋਂ ਬਰਬਾਦ ਕਰਵਾਇਆ ਸੀ।
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 10] ਤਾਂ ਯਹੋਵਾਹ ਨੇ ਮਨੱਸ਼ਹ ਅਤੇ ਉਸ ਦੇ ਲੋਕਾਂ ਨਾਲ ਗੱਲਾਂ ਕੀਤੀਆਂ ਪਰ ਉਨ੍ਹਾਂ ਨੇ ਧਿਆਨ ਨਾ ਕੀਤਾ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 11] ਇਸ ਲਈ ਯਹੋਵਾਹ ਅੱਸ਼ੂਰ ਦੇ ਪਾਤਸ਼ਾਹ ਦੇ ਸੈਨਾਪਤੀਆਂ ਨੂੰ ਉਨ੍ਹਾਂ ਉੱਤੇ ਚੜ੍ਹਾ ਲਿਆਇਆ ਜਿਹੜੇ ਮਨੱਸ਼ਹ ਨੂੰ ਬੰਨ੍ਹ ਕੇ ਹੱਥ ਕੜੀਆਂ ਅਤੇ ਬੇੜੀਆਂ ਨਾਲ ਬਾਬਲ ਨੂੰ ਲੈ ਗਏ
