[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 1] ਤਦ ਸੁਲੇਮਾਨ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਮੋਰੀਆਹ ਪਰਬਤ ਉੱਤੇ ਉਸੇ ਥਾਂ ਯਹੋਵਾਹ ਦਾ ਭਵਨ ਬਣਾਉਣ ਲੱਗਾ ਜਿੱਥੇ ਉਹ ਦੇ ਪਿਤਾ ਦਾਊਦ ਨੂੰ ਉਸ ਦਾ ਦਰਸ਼ਣ ਹੋਇਆ ਸੀ, ਉਸੇ ਥਾਂ ਜਿਹੜਾ ਆਰਨਾਨ ਯਬੂਸੀ ਦੇ ਪਿੜ ਵਿੱਚ ਦਾਊਦ ਨੇ ਤਿਆਰ ਕਰ ਕੇ ਠਹਿਰਾਇਆ ਹੋਇਆ ਸੀ
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 2] ਉਹ ਉਸ ਨੂੰ ਆਪਣੀ ਪਾਤਸ਼ਾਹੀ ਦੇ ਚੌਥੇ ਸਾਲ ਦੇ ਦੂਜੇ ਮਹੀਨੇ ਦੇ ਦੂਜੇ ਦਿਨ ਬਣਾਉਣ ਲੱਗਾ।
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 3] ਜੋ ਨੀਂਹ ਸੁਲੇਮਾਨ ਨੇ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਦੀ ਉਸਾਰੀ ਲਈ ਰੱਖੀ ਉਹ ਇਹ ਹੈ, ਉਹ ਦੀ ਲੰਬਾਈ ਪਹਿਲੀ ਮਿਣਤੀ ਅਨੁਸਾਰ ਸੱਠ ਹੱਥ ਅਤੇ ਚੌੜਾਈ ਵੀਹ ਹੱਥ ਸੀ
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 4] ਅਤੇ ਡਿਉੜੀ ਜੋ ਭਵਨ ਦੇ ਅੱਗੇ ਸੀ ਉਹ ਦੀ ਲੰਬਾਈ ਭਵਨ ਦੀ ਚੌੜਾਈ ਦੇ ਅਨੁਸਾਰ ਵੀਹ ਹੱਥ ਅਤੇ ਉਚਿਆਈ ਇੱਕ ਸੌ ਵੀਹ ਸੀ ਅਤੇ ਉਸ ਨੇ ਉਹ ਨੂੰ ਅੰਦਰ ਬਾਹਰ ਕੁੰਦਨ ਸੋਨੇ ਨਾਲ ਮੜ੍ਹਿਆ
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 5] ਅਤੇ ਵੱਡੇ ਘਰ ਵਿੱਚ ਉਹ ਨੇ ਚੀਲ ਦੀ ਲੱਕੜੀ ਜੜੀ ਅਤੇ ਉਹ ਨੂੰ ਚੋਖੇ ਸੋਨੇ ਨਾਲ ਮੜ੍ਹਿਆ ਅਤੇ ਉਹ ਦੇ ਉੱਤੇ ਖਜ਼ੂਰ ਦੇ ਬੂਟੇ ਤੇ ਜੰਜ਼ੀਰੀਆਂ ਉੱਕਰੀਆਂ
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 6] ਅਤੇ ਸੁਹੱਪਣ ਲਈ ਉਹ ਨੇ ਉਸ ਭਵਨ ਨੂੰ ਬਹੁਮੁੱਲੇ ਪੱਥਰਾਂ ਨਾਲ ਸਜਾਇਆ ਅਤੇ ਉਹ ਸੋਨਾ ਪਰਵਾਇਮ ਦਾ ਸੋਨਾ ਸੀ
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 7] ਉਸ ਨੇ ਭਵਨ ਨੂੰ ਉਹ ਦੀਆਂ ਸ਼ਤੀਰਾਂ, ਉਹ ਦੀ ਡਿਉੜੀ ਅਤੇ ਕੰਧਾਂ ਅਤੇ ਉਹ ਦਿਆਂ ਬੂਹਿਆਂ ਨੂੰ ਸੋਨੇ ਨਾਲ ਮੜ੍ਹਿਆ ਅਤੇ ਕੰਧਾਂ ਉੱਤੇ ਕਰੂਬੀ ਉੱਕਰੇ
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 8] ਅਤੇ ਉਸ ਨੇ ਅੱਤ ਪਵਿੱਤਰ ਸਥਾਨ ਨੂੰ ਬਣਾਇਆ। ਉਹ ਦੀ ਲੰਬਾਈ ਭਵਨ ਦੀ ਚੌੜਾਈ ਦੇ ਅਨੁਸਾਰ ਵੀਹ ਹੱਥ ਅਤੇ ਉਹ ਦੀ ਚੌੜਾਈ ਵੀਹ ਹੱਥ ਸੀ ਅਤੇ ਉਸ ਨੇ ਉਹ ਨੂੰ ਛੇ ਸੌ ਤੋੜੇ ਚੋਖੇ ਸੋਨੇ ਨਾਲ ਮੜ੍ਹਿਆ
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 9] ਅਤੇ ਕਿੱਲਾਂ ਦਾ ਤੋਲ ਪੰਜਾਹ ਤੋਲੇ ਸੋਨੇ ਦਾ ਸੀ। ਉਸ ਨੇ ਉੱਪਰਲੀਆਂ ਕੋਠੜੀਆਂ ਵੀ ਸੋਨੇ ਨਾਲ ਮੜ੍ਹੀਆਂ
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 10] ਅਤੇ ਉਸ ਨੇ ਅੱਤ ਪਵਿੱਤਰ ਸਥਾਨ ਵਿੱਚ ਦੋ ਕਰੂਬੀ ਉੱਕਰ ਕੇ ਬਣਾਏ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਸੋਨੇ ਨਾਲ ਮੜ੍ਹਿਆ
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 11] ਅਤੇ ਕਰੂਬੀਆਂ ਦੇ ਖੰਭਾਂ ਦੀ ਲੰਬਾਈ ਵੀਹ ਹੱਥ ਸੀ। ਇੱਕ ਖੰਭ ਪੰਜ ਹੱਥ ਲੰਮਾ ਭਵਨ ਦੀ ਕੰਧ ਤੱਕ ਪਹੁੰਚਿਆ ਹੋਇਆ ਅਤੇ ਦੂਜਾ ਖੰਭ ਪੰਜ ਹੱਥ ਦਾ ਦੂਜੇ ਕਰੂਬੀ ਦੇ ਖੰਭ ਤੱਕ ਪਹੁੰਚਿਆ ਹੋਇਆ ਸੀ
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 12] ਅਤੇ ਦੂਜੇ ਕਰੂਬੀ ਦਾ ਇੱਕ ਖੰਭ ਪੰਜ ਹੱਥ ਲੰਮਾ ਭਵਨ ਦੀ ਕੰਧ ਤੱਕ ਪਹੁੰਚਿਆ ਹੋਇਆ ਅਤੇ ਦੂਜਾ ਖੰਭ ਪੰਜ ਹੱਥ ਦਾ ਦੂਜੇ ਕਰੂਬੀ ਦੇ ਖੰਭ ਨਾਲ ਜੁੜਿਆ ਹੋਇਆ ਸੀ
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 13] ਇਨ੍ਹਾਂ ਕਰੂਬੀਆਂ ਦੇ ਖੰਭ ਵੀਹ ਹੱਥ ਫੈਲੇ ਹੋਏ ਸਨ ਅਤੇ ਉਹ ਆਪਣੇ-ਆਪਣੇ ਪੈਰਾਂ ਉੱਤੇ ਖੜ੍ਹੇ ਸਨ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਮੂੰਹ ਅੰਦਰਵਾਰ ਨੂੰ ਸਨ।
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 14] ਅਤੇ ਉਸ ਨੇ ਪੜਦਾ ਨੀਲੇ, ਬੈਂਗਣੀ, ਕਿਰਮਚੀ ਮਹੀਨ ਕਤਾਨ ਦੇ ਕੱਪੜੇ ਦਾ ਬਣਾਇਆ ਅਤੇ ਉਹ ਦੇ ਉੱਤੇ ਕਰੂਬੀਆਂ ਦੀ ਕਢਾਈ ਕੀਤੀ।
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 15] ਉਸ ਨੇ ਭਵਨ ਦੇ ਅੱਗੇ ਦੇ ਲਈ ਲੱਗਭੱਗ ਪੈਂਤੀ ਹੱਥ ਉੱਚੇ ਦੋ ਥੰਮ੍ਹ ਬਣਾਏ ਅਤੇ ਹਰ ਇੱਕ ਦੀ ਟੀਸੀ ਉੱਤੇ ਪੰਜ-ਪੰਜ ਹੱਥ ਦਾ ਮੁਕਟ ਸੀ।
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 16] ਉਸ ਨੇ ਵਿੱਚਲੀ ਕੋਠੜੀ ਵਿੱਚ ਜੰਜ਼ੀਰੀਆਂ ਬਣਾ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਥੰਮਾਂ ਦੇ ਸਿਰਿਆਂ ਉੱਤੇ ਲਾਇਆ ਅਤੇ ਉਸ ਨੇ ਇੱਕ ਸੌ ਅਨਾਰ ਬਣਾ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਜੰਜ਼ੀਰੀਆਂ ਵਿੱਚ ਲਾ ਦਿੱਤਾ।
[IRV | PA | OT | 2 Chronicles | Chapter 3 | Verse 17] ਉਸ ਨੇ ਥੰਮਾਂ ਨੂੰ ਹੈਕਲ ਦੇ ਅੱਗੇ ਇੱਕ ਨੂੰ ਸੱਜੇ ਤੇ ਦੂਜੇ ਨੂੰ ਖੱਬੇ ਪਾਸੇ ਖੜ੍ਹਾ ਕਰ ਦਿੱਤਾ ਅਤੇ ਜਿਹੜਾ ਸੱਜੇ ਪਾਸੇ ਸੀ ਉਹ ਦਾ ਨਾਮ “ਯਾਕੀਨ” ਅਤੇ ਜਿਹੜਾ ਖੱਬੇ ਪਾਸੇ ਸੀ ਉਹ ਦਾ ਨਾਮ “ਬੋਅਜ਼” ਰੱਖਿਆ।
