[ASV | EN | NT | Galatians | Chapter 4 | Verse 1] But I say that so long as the heir is a child, he differeth nothing from a bondservant though he is lord of all;
[ASV | EN | NT | Galatians | Chapter 4 | Verse 2] but is under guardians and stewards until the day appointed of the father.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 3] So we also, when we were children, were held in bondage under the rudiments of the world:
[ASV | EN | NT | Galatians | Chapter 4 | Verse 4] but when the fullness of the time came, God sent forth his Son, born of a woman, born under the law,
[ASV | EN | NT | Galatians | Chapter 4 | Verse 5] that he might redeem them that were under the law, that we might receive the adoption of sons.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 6] And because ye are sons, God sent forth the Spirit of his Son into your hearts, crying, Abba, Father.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 7] So that thou art no longer a bondservant, but a son; and if a son, then an heir of God through Christ.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 8] Howbeit at that time, not knowing God, ye were in bondage to them that by nature are no gods:
[ASV | EN | NT | Galatians | Chapter 4 | Verse 9] but now that ye have come to know God, or rather to be known by God, how turn ye back again to the weak and beggarly rudiments, whereunto ye desire to be in bondage over again?
[ASV | EN | NT | Galatians | Chapter 4 | Verse 10] Ye observe days, and months, and seasons, and years.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 11] I am afraid of you, lest by any means I have bestowed labor upon you in vain.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 12] I beseech you, brethren, become as I am, for I also am become as ye are. Ye did me no wrong:
[ASV | EN | NT | Galatians | Chapter 4 | Verse 13] but ye know that because of an infirmity of the flesh I preached the gospel unto you the first time:
[ASV | EN | NT | Galatians | Chapter 4 | Verse 14] and my trial that was in my flesh ye despised not, nor rejected; but ye received me as an angel of God, even as Christ Jesus.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 15] What then was the gratulation of yourselves? for I bear you witness, that, if possible, ye would have plucked out your eyes and given them to me.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 16] So then am I become your enemy, by telling you the truth?
[ASV | EN | NT | Galatians | Chapter 4 | Verse 17] They zealously seek you in no good way; nay, they desire to shut us out, that ye may seek them.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 18] But it is good to be zealously sought in a good matter at all times, and not only when I am present with you.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 19] My little children, of whom I am again in travail until Christ be formed in you—
[ASV | EN | NT | Galatians | Chapter 4 | Verse 20] but I could wish to be present with you now, and to change my tone; for I am perplexed about you.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 21] Tell me, ye that desire to be under the law, do ye not hear the law?
[ASV | EN | NT | Galatians | Chapter 4 | Verse 22] For it is written, that Abraham had two sons, one by the handmaid, and one by the freewoman.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 23] Howbeit the son by the handmaid is born after the flesh; but the son by the freewoman is born through the promise.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 24] Which things contain an allegory: for these women are two covenants; one from mount Sinai, bearing children unto bondage, which is Hagar.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 25] For this Hagar is mount Sinai in Arabia and answereth to the Jerusalem that now is: and she is in bondage with her children.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 26] But the Jerusalem that is above is free, which is the mother of us all.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 27] For it is written, Rejoice, thou barren that bearest not; Break forth and cry, thou that travailest not: For more are the children of the desolate than of her that hath the husband.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 28] Now we, brethren, as Isaac was, are children of promise.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 29] But as then he that was born after the flesh persecuted him that was born after the Spirit, so also it is now.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 30] Howbeit what saith the scripture? Cast out the handmaid and her son: for the son of the handmaid shall not inherit with the son of the freewoman.
[ASV | EN | NT | Galatians | Chapter 4 | Verse 31] So then, brethren, we are not children of a handmaid, but of the freewoman.
