[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 1] Ahaz was twentie yeere old when he began to reigne, and reigned sixteene yeere in Ierusalem, and did not vprightly in the sight of the Lord, like Dauid his father.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 2] But he walked in the wayes of ye Kings of Israel, and made euen molten images for Baalim.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 3] Moreouer he burnt incense in the valley of Ben-hinnom, and burnt his sonnes with fire, after the abominations of the heathen whom the Lord had cast out before the children of Israel.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 4] He sacrificed also and burnt incense in the hie places, and on hilles, and vnder euery greene tree.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 5] Wherefore the Lord his God deliuered him into the hand of the King of the Aramites, and they smote him, and tooke of his, many prisoners, and brought them to Damascus: and he was also deliuered into the hande of the King of Israel, which smote him with a great slaughter.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 6] For Pekah the sonne of Remaliah slewe in Iudah sixe score thousand in one day, all valiant men, because they had forsaken the Lord God of their fathers.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 7] And Zichri a mighty man of Ephraim slew Maaseiah the Kings sonne, and Azrikam the gouernour of the house, and Elkanah the second after the King.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 8] And the children of Israel tooke prisoners of their brethren, two hudreth thousand of women, sonnes and daughters, and caried away much spoyle of them, and brought the spoyle to Samaria.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 9] But there was a Prophet of the Lordes, (whose name was Oded) and he went out before the hoste that came to Samaria, and said vnto them, Behold, because the Lord God of your fathers is wroth with Iudah, he hath deliuered them into your hand, and ye haue slaine them in a rage, that reacheth vp to heauen.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 10] And nowe ye purpose to keepe vnder the children of Iudah and Ierusalem, as seruants and handmaides vnto you: but are not you such, that sinnes are with you before the Lord your God?
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 11] Nowe therefore heare me, and deliuer the captiues againe, which ye haue taken prisoners of your brethren: for the fierce wrath of the Lord is toward you.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 12] Wherefore certaine of the chiefe of the children of Ephraim, Azariah the sonne of Iehohanan, Berechiah the sonne of Meshillemoth, and Iehizkiah the sonne of Shallum, and Amasa the sonne of Hadlai, stood vp against them that came from the warre,
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 13] And said vnto them, Bring not in the captiues hither: for this shalbe a sinne vpon vs against the Lord: ye entende to adde more to our sinnes and to our trespasse, though our trespasse be great, and the fierce wrath of God is against Israel.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 14] So the armie left the captiues and the spoyle before the princes and all the Congregation.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 15] And the men that were named by name, rose vp and tooke the prisoners, and with the spoyle clothed all that were naked among them, and arayed them, and shod them, and gaue them meate, and gaue them drinke, and anoynted them, and caryed all that were feeble of them vpon asses, and brought them to Iericho the citie of Palme trees to their brethren: so they returned to Samaria.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 16] At that time did King Ahaz sende vnto the Kings of Asshur, to helpe him.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 17] (For the Edomites came moreouer, and slew of Iudah, and caryed away captiues.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 18] The Philistims also inuaded the cities in the low countrey, and toward the South of Iudah, and tooke Bethshemesh, and Aialon, and Gederoth and Shocho, with the villages thereof, and Timnah, with her villages, and Gimzo, with her villages, and they dwelt there.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 19] For the Lord had humbled Iudah, because of Ahaz King of Israel: for he had brought vengeance vpon Iudah, and had grieuously transgressed against the Lord)
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 20] And Tilgath Pilneeser king of Asshur came vnto him, who troubled him and did not strengthen him.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 21] For Ahaz tooke a portion out of the house of the Lord and out of the Kings house and of the Princes, and gaue vnto the king of Asshur: yet it helped him not.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 22] And in ye time of his tribulation did he yet trespasse more against ye Lord, (this is King Ahaz)
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 23] For he sacrificed vnto the gods of Damascus, which plagued him, and he sayd, Because the gods of the Kings of Aram helped them, I wil sacrifice vnto them, and they will helpe me: yet they were his ruine, and of all Israel.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 24] And Ahaz gathered the vessels of ye house of God, and brake the vessels of the house of God, and shut vp the doores of the house of the Lord, and made him altars in euery corner of Ierusalem.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 25] And in euery citie of Iudah hee made hie places, to burne incense vnto other gods, and prouoked to anger the Lord God of his fathers.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 26] Concerning the rest of his actes, and all his wayes first and last, beholde, they are written in the booke of the Kings of Iudah, and Israel.
[GNV | EN | OT | 2 Chronicles | Chapter 28 | Verse 27] And Ahaz slept with his fathers, and they buried him in the citie of Ierusalem, but brought him not vnto the sepulchres of the Kings of Israel: and Hezekiah his sonne reigned in his stead.
