[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 1] Then the Spirite of God came vpon Azariah the sonne of Obed.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 2] And he went out to meete Asa, and said vnto him, O Asa, and all Iudah, and Beniamin, heare ye me. The Lord is with you, while ye be with him: and if ye seeke him, he wil be founde of you, but if ye forsake him, he will forsake you.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 3] Nowe for a long season Israel hath bene without the true God, and without Priest to teach and without Lawe.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 4] But whosoeuer returned in his affliction to the Lord God of Israel, and sought him, he was founde of them.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 5] And in that time there was no peace to him, that did goe out and goe in: but great troubles were to all the inhabitants of the earth.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 6] For nation was destroyed of nation, and citie of citie: for God troubled them with all aduersitie.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 7] Be ye strong therefore, and let not your handes be weake: for your worke shall haue a rewarde.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 8] And when Asa heard these wordes, and the prophesie of Obed the Prophet, he was encouraged, and tooke away the abominations out of all the lande of Iudah, and Beniamin, and out of the cities which he had taken of mount Ephraim, and he renued the altar of the Lord, that was before the porche of the Lord.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 9] And he gathered all Iudah and Beniamin, and the strangers with them out of Ephraim, and Manasseh, and out of Simeon: for there fell many to him out of Israel, when they sawe that the Lord his God was with him.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 10] So they assembled to Ierusalem in the third moneth, in the fifteenth yere of the reigne of Asa.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 11] And they offred vnto the Lord the same time of the spoyle, which they had brought, euen seuen hundreth bullockes, and seuen thousande sheepe.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 12] And they made a couenant to seeke the Lord God of their fathers, with all their heart, and with all their soule.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 13] And whosoeuer will not seeke the Lord God of Israel, shalbe slaine, whether he were small or great, man or woman.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 14] And they sware vnto the Lord with a loude voyce, and with shouting and with trumpets, and with cornets.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 15] And all Iudah reioyced at the othe: for they had sworne vnto the Lord with all their heart, and sought him with a whole desire, and he was founde of them. And the Lord gaue them rest rounde about.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 16] And King Asa deposed Maachah his mother from her regencie, because she had made an idole in a groue: and Asa brake downe her idole, and stamped it, and burnt it at the brooke Kidron.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 17] But the hie places were not taken away out of Israel: yet the heart of Asa was perfit all his dayes.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 18] Also he brought into the house of God the things that his father had dedicate, and that he had dedicate, siluer, and golde, and vessels.
[GNV | EN | OT | 2 Chronicles | Chapter 15 | Verse 19] And there was no warre vnto the fiue and thirtieth yeere of the reigne of Asa.
