[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 1] Then Rehoboam went to Shechem: for to Sheche came all Israel to make him king.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 2] And when Ieroboam the sonne of Nebat heard it, (which was in Egypt, whither he had fled from the presence of Salomon the King) he returned out of Egypt.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 3] And they sent and called him: so came Ieroboam and all Israel, and communed with Rehoboam, saying,
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 4] Thy father made our yoke grieuous: nowe therefore make thou the grieuous seruitude of thy father, and his sore yoke, that he put vpon vs, lighter, and we will serue thee.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 5] And he sayde to them, Depart yet three dayes, then come againe vnto me. And the people departed.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 6] And King Rehoboam tooke counsel with the olde men that had stande before Salomon his father, while hee yet liued, saying, What counsell giue ye that I may answere this people?
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 7] And they spake vnto him, saying, If thou be kinde to this people, and please them, and speake louing words to them, they will be thy seruants for euer.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 8] But hee left the counsel of the ancient men that they had giuen him, and tooke counsell of the yong men that were brought vp with him, and waited on him.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 9] And he sayd vnto them, What counsel giue ye, that we may answere this people, which haue spoken to mee, saying, Make the yoke which thy father did put vpon vs, lighter?
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 10] And the yong men that were brought vp with him, spake vnto him, saying, Thus shalt thou answere the people that spake to thee, saying, Thy father made our yoke heauie, but make thou it lighter for vs: thus shalt thou say vnto them, My least part shalbe bigger then my fathers loines.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 11] Now whereas my father did burden you with a grieuous yoke, I will yet increase your yoke: my father hath chastised you with roddes, but I will correct you with scourges.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 12] Then Ieroboam and all the people came to Rehoboam the third day, as the King had appointed saying, Come againe to me the third day.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 13] And the King answered them sharply: and King Rehoboam left the counsel of the ancient men,
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 14] And spake to them after ye counsell of the yong men, saying, My father made your yoke grieuous, but I wil incease it: my father chastised you with rods, but I will correct you with scourges.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 15] So the king hearkened not vnto the people: for it was the ordinance of God that the Lord might performe his saying, which hee had spoken by Ahiiah the Shilonite to Ieroboam the sonne of Nebat.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 16] So when all Isarael sawe that the King would not heare them, the people answered the King, saying, What portion haue we in Dauid? for we haue none inheritance in the sonue of Ishai. O Israel, euery man to your tents: now see to thine owne house, Dauid. So all Israel departed to their tents.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 17] Howbeit Rehoboam reigned ouer the children of Israel, that dwelt in the cities of Iudah.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 18] Then King Rehoboam sent Hadoram that was ouer the tribute, and the children of Israel stoned him with stones, that he died: then King Rehoboam made speede to get him vp to his charet, to flee to Ierusalem.
[GNV | EN | OT | 2 Chronicles | Chapter 10 | Verse 19] And Israel rebelled against the house of Dauid vnto this day.
