[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 1] Then all the people of Iudah tooke Vzziah, which was sixteene yeere olde, and made him King in the steade of his father Amaziah.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 2] He buylt Eloth, and restored it to Iudah after that the King slept with his fathers.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 3] Sixteene yeere olde was Vzziah, when he began to reigne, and he reigned two and fiftie yere in Ierusalem, and his mothers name was Iecoliah of Ierusalem.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 4] And hee did vprightly in the sight of the Lord, according to al that his father Amaziah did.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 5] And he sought God in the dayes of Zechariah (which vnderstoode the visions of God) and when as he sought the Lord, God made him to prosper.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 6] For he went forth and fought against the Philistims and brake downe the wall of Gath, and the wall of Iabneh, and the wall of Ashdod, and built cities in Ashdod, and among the Philistims.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 7] And God helped him against ye Philistims, and against the Arabians that dwelt in Gur-baal and Hammeunim.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 8] And the Ammonites gaue gifts to Vzziah, and his name spred to the entring in of Egypt: for he did most valiantly.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 9] Moreouer Uzziah buylt towres in Ierusalem at the corner gate, and at the valley gate, and at the turning, and made them strong.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 10] And he built towres in the wildernesse, and digged many cisternes: for he had much cattell both in the valleyes and playnes, plowmen, and dressers of vines in the mountaines, and in Carmel: for he loued husbandrie.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 11] Vzziah had also an hoste of fighting men that went out to warre by bandes, according to the count of their nomber vnder the hande of Ieiel the Scribe, and Maaseiah the ruler, and vnder the hand of Hananiah, one of the Kings captaines.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 12] The whole nomber of the chiefe of the families of the valiant men were two thousande and sixe hundreth.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 13] And vnder their hande was the armie for warre, three hundreth and seuen thousand, and fiue hundreth that fought valiantly to helpe the King against the enemie.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 14] And Vzziah prepared them throughout all the hoste, shieldes, and speares, and helmets, and brigandines, and bowes, and stones to sling.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 15] He made also very artificial engins in Ierusalem, to be vpon the towres and vpon the corners, to shoote arrowes and great stones: and his name spred farre abroade, because God did helpe him marueilously, till he was mightie.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 16] But when he was strong, his heart was lift vp to his destruction: for he transgressed against the Lord his God, and went into the Temple of the Lord to burne incense vpon the altar of incense.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 17] And Azariah the Priest went in after him, and with him foure score Priests of the Lord, valiant men.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 18] And they withstoode Vzziah the King, and said vnto him, It perteineth not to thee, Vzziah, to burne incense vnto the Lord, but to the Priests the sonnes of Aaron, that are consecrated for to offer incense: goe forth of the Sanctuarie: for thou hast transgressed, and thou shalt haue none honour of the Lord God.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 19] Then Vzziah was wroth, and had incense in his hand to burne it: and while he was wroth with the Priestes, the leprosie rose vp in his forehead before the Priestes in the house of the Lord beside the incense altar.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 20] And when Azariah the chiefe Priest with al the Priestes looked vpon him, behold, he was leprous in his forehead, and they caused him hastily to depart thence: and he was euen compelled to go out, because the Lord had smitten him.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 21] And Vzziah the king was a leper vnto the day of his death, and dwelt as a leper in an house apart, because he was cut off from the house of ye Lord: and Iotham his sonne ruled ouer the Kings house, and iudged the people of the land.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 22] Concerning the rest of the acts of Vzziah, first and last, did Isaiah the Prophet the sonne of Amoz write.
[GNV | EN | OT | 2 Chronicles | Chapter 26 | Verse 23] So Vzziah slept with his fathers, and they buryed him with his fathers in the fielde of the burial, which perteined to the kings: for they said, He is a leper. And Iotham his sonne reigned in his steade.
