[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 1] And after twentie yeere when Salomon had built the house of the Lord, and his owne house,
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 2] Then Salomon built the cities that Huram gaue to Salomon, and caused the children of Israel to dwell there.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 3] And Salomon went to Hamath Zobah, and ouercame it.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 4] And he built Tadmor in the wildernesse, and repayred all the cities of store which hee built in Hamath.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 5] And he built Beth-horon the vpper, and Beth-horon the nether, cities defensed with walles, gates and barres:
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 6] Also Baalath, and al the cities of store that Salomon had, and all the charet cities, and the cities of the horsemen, and euery pleasant place that Salomon had a minde to builde in Ierusalem, and in Lebanon, and throughout all the lande of his dominion.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 7] And all the people that were left to ye Hittites, and ye Amorites, and Perizzites, and the Hiuuites, and the Iebusites, which were not of Israel,
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 8] But of their children which were left after them in the lande, whome the children of Israel had not consumed, euen them did Salomon make tributaries vntill this day.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 9] But of the children of Israel did Salomon make no seruantes for his worke: for they were men of warre, and his chiefe princes, and the captaines of his charets and of his horsemen.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 10] So these were the chiefe of the officers which Salomon had, euen two hundreth and fiftie that bare rule ouer the people.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 11] Then Salomon brought vp the daughter of Pharaoh out of the citie of Dauid, into the house that he had built for her: for he saide, My wife shall not dwel in the house of Dauid King of Israel: for it is holy, because that the Arke of the Lord came vnto it.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 12] Then Salomon offered burnt offrings vnto the Lord, on the altar of the Lord, which he had built before the porche,
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 13] To offer according to the commandement of Moses euery day, in the Sabbaths, and in the newe moones, and in the solemne feastes, three times in the yeere, that is, in the feast of the Vnleauened bread, and in the feast of the Weekes, and in the feast of the Tabernacles.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 14] And he set the courses of the Priestes to their offices, according to the order of Dauid his father, and the Leuites in their watches, for to praise and minister before the Priestes euery day, and the porters by their courses, at euery gate: for so was the commandement of Dauid the man of God.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 15] And they declined not from the commandement of the King, concerning the Priests and the Leuites, touching al things, and touching the treasures.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 16] Nowe Salomon had made prouision for all the worke, from the day of the foundation of the house of the Lord, vntill it was finished: so the house of the Lord was perfite.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 17] Then went Salomon to Ezion-geber, and to Eloth by the sea side in the lande of Edom.
[GNV | EN | OT | 2 Chronicles | Chapter 8 | Verse 18] And Huram sent him by the handes of his seruants, shippes, and seruants that had knowledge of the sea: and they went with the seruants of Salomon to Ophir, and brought thence foure hundreth and fiftie talents of golde, and brought them to King Salomon.
