[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 1] Amaziah was fiue and twentie yere old when he began to reigne, and he reigned nine and twentie yeere in Ierusalem: and his mothers name was Iehoaddan, of Ierusalem.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 2] And he did vprightly in the eyes of the Lord, but not with a perfite heart.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 3] And when the kingdome was established vnto him, he slewe his seruants, that had slaine the King his father.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 4] But he slewe not their children, but did as it is written in the Lawe, and in the booke of Moses, where the Lord commanded, saying, The fathers shall not dye for the children, neyther shall the children die for the fathers, but euery man shall dye for his owne sinne.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 5] And Amaziah assembled Iudah, and made them captaines ouer thousandes, and captaines ouer hundreths, according to the houses of their fathers, thorowout all Iudah and Beniamin: and he nombred them from twentie yeere olde and aboue, and founde among them three hundreth thousand chosen men, to goe foorth to the warre, and to handle speare and shield.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 6] He hyred also an hundreth thousand valiant men out of Israel for an hundreth talents of siluer.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 7] But a man of God came to him, saying, O King, let not the armie of Israel goe with thee: for the Lord is not with Israel, neither with all the house of Ephraim.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 8] If not, goe thou on, doe it, make thy selfe strong to the battel, but God shall make thee fall before the enemie: for God hath power to helpe, and to cast downe.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 9] And Amaziah sayde to the man of God, What shall we doe then for the hundreth talents, which I haue giuen to the hoste of Israel? Then the man of God answered, The Lord is able to giue thee more then this.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 10] So Amaziah separated them, to wit, the armie that was come to him out of Ephraim, to returne to their place: wherefore their wrath was kindled greatly against Iudah, and they returned to their places with great anger.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 11] Then Amaziah was encouraged, and led forth his people, and went to the salt valley, and smote of the children of Seir, ten thousand.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 12] And other ten thousand did the children of Iudah take aliue, and caryed them to the top of a rocke, and cast them downe from the top of the rocke, and they all burst to pieces.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 13] But the men of the armie, which Amaziah sent away, that they should not goe with his people to battell, fell vpon the cities of Iudah from Samaria vnto Beth-horon, and smote three thousand of them, and tooke much spoyle.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 14] Now after that Amaziah was come from the slaughter of the Edomites, he brought the gods of the children of Seir, and set them vp to be his gods, and worshipped them, and burned incense vnto them.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 15] Wherefore the Lord was wroth with Amaziah, and sent vnto him a Prophet, which sayd vnto him, Why hast thou sought the gods of the people, which were not able to deliuer their owne people out of thine hand?
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 16] And as he talked with him, he said vnto him, Haue they made thee the Kings counseler? cease thou: why should they smite thee? And the Prophet ceased, but said, I knowe that God hath determined to destroy thee, because thou hast done this, and hast not obeyed my counsell.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 17] Then Amaziah King of Iudah tooke counsell, and sent to Ioash the sonne of Iehoahaz, the sonne of Iehu King of Israel, saying, Come, let vs see one another in the face.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 18] But Ioash King of Israel sent to Amaziah King of Iudah, saying, The thistle that is in Lebanon, sent to the cedar that is in Lebanon, saying, Giue thy daughter to my sonne to wife: and the wilde beast that was in Lebanon went and trode downe the thistle.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 19] Thou thinkest: lo, thou hast smitten Edom, and thine heart lifteth thee vp to bragge: abide now at home: why doest thou prouoke to thine hurt, that thou shouldest fall, and Iudah with thee?
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 20] But Amaziah would not heare: for it was of God, that he might deliuer them into his had, because they had sought the gods of Edom.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 21] So Ioash the King of Israel went vp: and he, and Amaziah King of Iudah saw one another in the face at Bethshemesh, which is in Iudah.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 22] And Iudah was put to the worse before Israel, and they fled euery man to his tents.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 23] But Ioash the King of Israel tooke Amaziah King of Iudah, the sonne of Ioash, the sonne of Iehoahaz in Bethshemesh, and brought him to Ierusalem, and brake downe the wall of Ierusalem, from the gate of Ephraim vnto the corner gate, foure hundreth cubites.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 24] And he tooke all the gold and the siluer, and all the vessels that were found in the house of God with Obed Edom, and in the treasures of the Kings house, and the children that were in hostage, and returned to Samaria.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 25] And Amaziah the sonne of Ioash King of Iudah liued after the death of Ioash sonne of Iehoahaz King of Israel, fifteene yeere.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 26] Concerning the rest of the actes of Amaziah first and last, are they not written in the booke of the Kings of Iudah and Israel?
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 27] Nowe after the time that Amaziah did turne away from ye Lord, they wrought treason against him in Ierusalem: and when he was fled to Lachish, they sent to Lachish after him, and slewe him there.
[GNV | EN | OT | 2 Chronicles | Chapter 25 | Verse 28] And they brought him vpon horses, and buried him with his fathers in the citie of Iudah.
