[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 1] And when Rehoboam was come to Ierusalem, he gathered of the house of Iudah and Beniamin nine score thousande chosen men of warre to fight against Israel, and to bring the kingdome againe to Rehoboam.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 2] But the worde of the Lord came to Shemaiah the man of God, saying,
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 3] Speake vnto Rehoboam, the sonne of Salomon King of Iudah, and to all Israel that are in Iudah, and Beniamin, saying,
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 4] Thus sayth the Lord, Ye shall not goe vp, nor fight against your brethren: returne euery man to his house: for this thing is done of me. They obeyed therfore the word of the Lord, and returned from going against Ieroboam.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 5] And Rehoboam dwelt in Ierusalem, and buylt strong cities in Iudah.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 6] Hee buylt also Beth-lehem, and Etam, and Tekoa,
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 7] And Beth-zur, and Shoco, and Adullam,
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 8] And Gath, and Maresha, and Ziph,
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 9] And Adoraim, and Lachish, and Azekah,
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 10] And Zorah, and Aialon, and Hebron, which were in Iudah and Beniamin, strong cities.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 11] And he repaired the strong holdes and put captaines in them, and store of vitaile, and oyle and wine.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 12] And in all cities he put shieldes and speares, and made them exceeding strong: so Iudah and Beniamin were his.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 13] And the Priests and the Leuites that were in all Israel, resorted vnto him out of all their coastes.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 14] For the Leuites left their suburbes and their possession, and came to Iudah and to Ierusalem: for Ieroboam and his sonnes had cast them out from ministring in the Priestes office vnto the Lord.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 15] And he ordeyned him Priests for the hie places, and for the deuils and for the calues which he had made.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 16] And after the Leuites there came to Ierusalem of all the tribes of Israel, such as set their heartes to seeke the Lord God of Israel, to offer vnto the Lord God of their fathers.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 17] So they strengthened the kingdome of Iudah, and made Rehoboam the sonne of Salomon mightie, three yeere long: for three yeere they walked in in the way of Dauid and Salomon.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 18] And Rehoboam tooke him Mahalath ye daughter of Ierimoth the sonne of Dauid to wife, and Abihail the daughter of Eliab the sonne of Ishai,
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 19] Which bare him sonnes Ieush, and Shemariah, and Zaham.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 20] And after her he tooke Maakah ye daughter of Absalom which bare him Abiiah, and Atthai, and Ziza, and Shelomith.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 21] And Rehoboam loued Maakah ye daughter of Absalom aboue all his wiues and his concubines: for he tooke eighteene wiues, and three score concubines, and begate eyght and twentie sonnes, and three score daughters.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 22] And Rehoboam made Abiiah the sonne of Maakah the chiefe ruler among his brethren: for he thought to make him King.
[GNV | EN | OT | 2 Chronicles | Chapter 11 | Verse 23] And he taught him: and dispersed all his sonnes throughout all the countreis of Iudah and Beniamin vnto euery strong citie: and hee gaue them aboundance of vitaile, and desired many wiues.
