[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 1] Then his son Judas, called Machabeus, rose up in his stead.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 2] And all his brethren helped him, and all they that had joined themselves to his father, and they fought with cheerfulness the battle of Israel.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 3] And he got his people great honour, and put on a breastplate as a giant, and girt his warlike armour about him in battles, and protected the camp with his sword.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 4] In his acts he was like a lion, and like a lion’s whelp roaring for his prey.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 5] And he pursued the wicked and sought them out, and them that troubled his people he burnt with fire:
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 6] And his enemies were driven away for fear of him, and all the workers of iniquity were troubled: and salvation prospered in his hand.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 7] And he grieved many kings, and made Jacob glad with his works, and his memory is blessed for ever.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 8] And he went through the cities of Juda, and destroyed the wicked out of them, and turned away wrath from Israel.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 9] And he was renowned even to the utmost part of the earth, and he gathered them that were perishing.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 10] And Apollonius gathered together the Gentiles, and a numerous and great army from Samaria, to make war against Israel.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 11] And Judas understood it, and went forth to meet him: and he overthrew him, and killed him: and many fell down slain, the rest fled away.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 12] And he took their spoils, and Judas took the sword of Apollonius, and fought with it all his lifetime.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 13] And Seron captain of the army of Syria heard that Judas had assembled a company of the faithful, and a congregation with him,
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 14] And he said: I will get me a name, and will be glorified in the kingdom, and will overthrow Judas, and those that are with him, that have despised the edict of the king.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 15] And he made himself ready: and the host of the wicked went up with him, strong succours, to be revenged of the children of Israel.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 16] And they approached even as far as Bethoron: and Judas went forth to meet him, with a small company.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 17] But when they saw the army coming to meet them, they said to Judas: How shall we, being few, be able to fight against so great a multitude and so strong, and we are ready to faint with fasting today?
