[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 1] Then John came up from Gazara, and told Simon his father what Cendebeus had done against their people.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 2] And Simon called his two eldest sons, Judas and John, and said to them: I and my brethren, and my father’s house, have fought against the enemies of Israel from our youth even to this day: and things have prospered so well in our hands that we have delivered Israel oftentimes.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 3] And now I am old, but be you instead of me, and my brethren, and go out, and fight for our nation: and the help from heaven be with you.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 4] Then he chose out of the country twenty thousand fighting men, and horsemen, and they went forth against Cendebeus: and they rested in Modin.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 5] And they arose in the morning, and went into the plain: and behold a very great army of footmen and horsemen came against them, and there was a running river between them.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 6] And he and his people pitched their camp over against them, and he saw that the people were afraid to go over the river, so he went over first: then the men seeing him, passed over after him.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 7] And he divided the people, and set the horsemen in the midst of the footmen: but the horsemen of the enemies were very numerous.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 8] And they sounded the holy trumpets: and Cendebeus and his army were put to flight: and there fell many of them wounded, and the rest fled into the strong hold.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 9] At that time Judas John’s brother was wounded: but John pursued after them, till he came to Cedron, which he had built:
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 10] And they fled even to the towers that were in the fields of Azotus, and he burnt them with fire. And there fell of them two thousand men, and he returned into Judea in peace.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 11] Now Ptolemee the son of Abobus was appointed captain in the plain of Jericho, and he had abundance of silver and gold,
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 12] For he was son in law of the high priest.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 13] And his heart was lifted up, and he designed to make himself master of the country, and he purposed treachery against Simon, and his sons, to destroy them.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 14] Now Simon, as he was going through the cities that were in the country of Judea, and taking care for the good ordering of them, went down to Jericho, he and Mathathias and Judas his sons, in the year one hundred and seventy-seven, the eleventh month: the same is the month Sabath.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 15] And the son of Abobus received them deceitfully into a little fortress, that is called Doch which he had built: and he made them a great feast, and hid men there.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 16] And when Simon and his sons had drunk plentifully, Ptolemee and his men rose up and took their weapons, and entered into the banqueting place, and slew him, and his two sons, and some of his servants.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 17] And he committed a great treachery in Israel, and rendered evil for good.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 18] And Ptolemee wrote these things and sent to the king that he should send him an army to aid him, and he would deliver him the country, and their cities, and tributes.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 19] And he sent others to Gazara to kill John: and to the tribunes he sent letters to come to him, and that he would give them silver, and gold, and gifts.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 20] And he sent others to take Jerusalem, and the mountain of the temple.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 21] Now one running before, told John in Gazara, that his father and his brethren were slain, and that he hath sent men to kill thee also.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 22] But when he heard it he was exceedingly afraid: and he apprehended the men that came to kill him, and he put them to death: for he knew that they sought to make him away.
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 23] And as concerning the rest of the acts of John, and his wars, and the worthy deeds, which he bravely achieved, and the building of the walls, which he made, and the things that he did:
[DRA | EN | OT | 1 Maccabees | Chapter 16 | Verse 24] Behold these are written in the book of the days of his priesthood, from the time he was made high priest after his father.
