[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 1] And the king of Egypt gathered together an army, like the sand that lieth upon the sea shore, and many ships: and he sought to get the kingdom of Alexander by deceit, and join it to his own kingdom.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 2] And he went out into Syria with peaceable words, and they opened to him the cities, and met him: for king Alexander had ordered them to go forth to meet him, because he was his father in law.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 3] Now when Ptolemee entered into the cities, he put garrisons of soldiers in every city.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 4] And when he came near to Azotus, they shewed him the temple of Dagon that was burnt with fire, and Azotus, and the suburbs thereof that were destroyed, and the bodies that were cast abroad, and the graves of them that were slain in the battle, which they had made near the way.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 5] And they told the king that Jonathan had done these things, to make him odious: but the king held his peace.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 6] And Jonathan came to meet the king at Joppe with glory, and they saluted one another, and they lodged there.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 7] And Jonathan went with the king as far as the river, called Eleutherus: and he returned into Jerusalem.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 8] And king Ptolemee got the dominion of the cities by the sea side, even to Seleucia, and he devised evil designs against Alexander.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 9] And he sent ambassadors to Demetrius, saying: Come, let us make a league between us, and I will give thee my daughter whom Alexander hath, and thou shalt reign in the kingdom of thy father.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 10] For I repent that I have given him my daughter: for he hath sought to kill me.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 11] And he slandered him, because he coveted his kingdom.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 12] And he took away his daughter, and gave her to Demetrius, and alienated himself from Alexander, and his enmities were made manifest.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 13] And Ptolemee entered into Antioch, and set two crowns upon his head, that of Egypt, and that of Asia.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 14] Now king Alexander was in Cilicia at that time: because they that were in those places had rebelled.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 15] And when Alexander heard of it, he came to give him battle, and king Ptolemee brought forth his army, and met him with a strong power, and put him to flight.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 16] And Alexander fled into Arabia, there to be protected: and king Ptolemee was exalted.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 17] And Zabdiel the Arabian took off Alexander’s head, and sent it to Ptolemee.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 18] And king Ptolemee died the third day after: and they that were in the strong holds were destroyed by them that were within the camp.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 19] And Demetrius reigned in the hundred and sixty-seventh year.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 20] In those days Jonathan gathered together them that were in Judea, to take the castle that was in Jerusalem: and they made many engines of war against it.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 21] Then some wicked men that hated their own nation, went away to king Demetrius, and told him that Jonathan was besieging the castle.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 22] And when he heard it, he was angry: and forthwith he came to Ptolemais, and wrote to Jonathan, that he should not besiege the castle, but should come to him in haste, and speak to him.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 23] But when Jonathan heard this, he bade them besiege it still: and he chose some of the ancients of Israel, and of the priests, and put himself in danger.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 24] And he took gold, and silver, and raiment, and many other presents, and went to the king to Ptolemais, and he found favour in his sight.
[DRA | EN | OT | 1 Maccabees | Chapter 11 | Verse 25] And certain wicked men of his nation made complaints against him.
