[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 1] Then Gorgias took five thousand men, and a thousand of the best horsemen: and they removed out of the camp by night.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 2] That they might come upon the camp of the Jews, and strike them suddenly: and the men that were of the castle were their guides.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 3] And Judas heard of it, and rose up, he and the valiant men, to attack the king’s forces that were in Emmaus.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 4] For as yet the army was dispersed from the camp.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 5] And Gorgias came by night into the camp of Judas, and found no man, and he sought them in the mountains: for he said: These men flee from us.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 6] And when it was day, Judas shewed himself in the plain with three thousand men only, who neither had armour nor swords.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 7] And they saw the camp of the Gentiles that it was strong, and the men in breastplates, and the horsemen round about them, and these were trained up to war.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 8] And Judas said to the men that were with him: Fear ye not their multitude, neither be ye afraid of their assault.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 9] Remember in what manner our fathers were saved in the Red Sea, when Pharao pursued them with a great army.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 10] And now let us cry to heaven: and the Lord will have mercy on us, and will remember the covenant of our fathers, and will destroy this army before our face this day:
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 11] And all nations shall know that there is one that redeemeth and delivereth Israel.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 12] And the strangers lifted up their eyes, and saw them coming against them.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 13] And they went out of the camp to battle, and they that were with Judas sounded the trumpet.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 14] And they joined battle: and the Gentiles were routed, and fled into the plain.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 15] But all the hindmost of them fell by the sword, and they pursued them as far as Gezeron, and even to the plains of Idumea, and of Azotus, and of Jamnia: and there fell of them to the number of three thousand men.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 16] And Judas returned again with his army that followed him,
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 17] And he said to the people: Be not greedy of the spoils: for there is war before us:
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 18] And Gorgias and his army are near us in the mountain: but stand ye now against our enemies, and overthrow them, and you shall take the spoils afterwards with safety.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 19] And as Judas was speaking these words, behold part of them appeared looking forth from the mountain.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 20] And Gorgias saw that his men were put to flight, and that they had set fire to the camp: for the smoke that was seen declared what was done.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 21] And when they had seen this, they were seized with great fear, seeing at the same time Judas and his army in the plain ready to fight.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 22] So they all fled away into the land of the strangers.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 23] And Judas returned to take the spoils of the camp, and they got much gold, and silver, and blue silk, and purple of the sea, and great riches.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 24] And returning home they sung a hymn, and blessed God in heaven, because he is good, because his mercy endureth for ever.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 25] So Israel had a great deliverance that day.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 26] And such of the strangers as escaped, went and told Lysias all that had happened.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 27] And when he heard these things, he was amazed and discouraged: because things had not succeeded in Israel according to his mind, and as the king had commanded.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 28] So the year following Lysias gathered together threescore thousand chosen men, and five thousand horsemen, that he might subdue them.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 29] And they came into Judea, and pitched their tents in Bethoron, and Judas met them with ten thousand men.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 30] And they saw that the army was strong, and he prayed, and said: Blessed art thou, O Saviour of Israel, who didst break the violence of the mighty by the hand of thy servant David, and didst deliver up the camp of the strangers into the hands of Jonathan the son of Saul and of his armourbearer.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 31] Shut up this army in the hands of thy people Israel, and let them be confounded in their host and their horsemen.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 32] Strike them with fear, and cause the boldness of their strength to languish, and let them quake at their own destruction.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 33] Cast them down with the sword of them that love thee: and let all that know thy name, praise thee with hymns.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 34] And they joined battle: and there fell of the army of Lysias five thousand men.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 35] And when Lysias saw that his men were put to flight, and how bold the Jews were, and that they were ready either to live, or to die manfully, he went to Antioch, and chose soldiers, that they might come again into Judea with greater numbers.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 36] Then Judas, and his brethren said: Behold our enemies are discomfited: let us go up now to cleanse the holy places and to repair them.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 37] And all the army assembled together, and they went up into mount Sion.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 38] And they saw the sanctuary desolate, and the altar profaned, and the gates burnt, and shrubs growing up in the courts as in a forest, or on the mountains, and the chambers joining to the temple thrown down.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 39] And they rent their garments, and made great lamentation, and put ashes on their heads:
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 40] And they fell face down to the ground on their faces, and they sounded with the trumpets of alarm, and they cried towards heaven.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 41] Then Judas appointed men to fight against them that were in the castle, till they had cleansed the holy places.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 42] And he chose priests without blemish, whose will was set upon the law of God:
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 43] And they cleansed the holy places, and took away the stones that had been defiled into an unclean place.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 44] And he considered about the altar of holocausts that had been profaned, what he should do with it.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 45] And a good counsel came into their minds, to pull it down: lest it should be a reproach to them, because the Gentiles had defiled it; so they threw it down.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 46] And they laid up the stones in the mountain of the temple in a convenient place, till there should come a prophet, and give answer concerning them.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 47] Then they took whole stones according to the law, and built a new altar according to the former:
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 48] And they built up the holy places, and the things that were within the temple: and they sanctified the temple, and the courts.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 49] And they made new holy vessels, and brought in the candlestick, and the altar of incense, and the table into the temple.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 50] And they put incense upon the altar, and lighted up the lamps that were upon the candlestick, and they gave light in the temple.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 51] And they set the loaves upon the table, and hung up the veils, and finished all the works that they had begun to make.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 52] And they arose before the morning on the five and twentieth day of the ninth month (which is the month of Casleu) in the hundred and forty-eighth year.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 53] And they offered sacrifice according to the law upon the new altar of holocausts which they had made.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 54] According to the time, and according to the day wherein the heathens had defiled it, in the same was it dedicated anew with canticles, and harps, and lutes, and cymbals.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 55] And all the people fell upon their faces, and adored, and blessed up to heaven, him that had prospered them.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 56] And they kept the dedication of the altar eight days, and they offered holocausts with joy, and sacrifices of salvation, and of praise.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 57] And they adorned the front of the temple with crowns of gold, and escutcheons, and they renewed the gates, and the chambers, and hanged doors upon them.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 58] And there was exceeding great joy among the people, and the reproach of the Gentiles was turned away.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 59] And Judas, and his brethren, and all the church of Israel decreed, that the day of the dedication of the altar should be kept in its season from year to year for eight days, from the five and twentieth day of the month of Casleu, with joy and gladness.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 60] They built up also at that time mount Sion, with high walls, and strong towers round about, lest the Gentiles should at any time come, and tread it down as they did before.
[DRA | EN | OT | 1 Maccabees | Chapter 4 | Verse 61] And he placed a garrison there to keep it, and he fortified it to secure Bethsura, that the people might have a defence against Idumea.
