[IRV | PA | NT | Philippians | Chapter 2 | Verse 1] ਸੋ ਜੇ ਮਸੀਹ ਵਿੱਚ ਕੁਝ ਦਿਲਾਸਾ, ਜੇ ਪਿਆਰ ਦੀ ਕੁਝ ਤਸੱਲੀ, ਜੇ ਆਤਮਾ ਦੀ ਕੁਝ ਸਾਂਝ, ਜੇ ਕੁਝ ਦਿਆਲਗੀ ਅਤੇ ਦਰਦਮੰਦੀ ਹੈ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 2] ਤਾਂ ਮੇਰੇ ਅਨੰਦ ਨੂੰ ਪੂਰਾ ਕਰੋ ਕਿ ਤੁਸੀਂ ਇੱਕ ਮਨ ਹੋਵੋ, ਇੱਕੋ ਜਿਹਾ ਪਿਆਰ ਰੱਖੋ, ਇੱਕ ਚਿੱਤ, ਇੱਕ ਮੱਤ ਹੋਵੋ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 3] ਧੜੇਬਾਜ਼ੀਆਂ ਅਥਵਾ ਫੋਕੇ ਘਮੰਡ ਨਾਲ ਕੁਝ ਨਾ ਕਰੋ ਸਗੋਂ ਤੁਸੀਂ ਅਧੀਨਗੀ ਨਾਲ ਇੱਕ ਦੂਏ ਨੂੰ ਆਪਣੇ ਆਪ ਤੋਂ ਉੱਤਮ ਜਾਣੋ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 4] ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਹਰੇਕ ਆਪਣੇ ਹੀ ਹਾਲ ਉੱਤੇ ਨਹੀਂ ਸਗੋਂ ਹਰੇਕ ਦੂਜਿਆਂ ਦੇ ਹਾਲ ਉੱਤੇ ਵੀ ਨਿਗਾਹ ਕਰੇ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 5] ਤੁਹਾਡਾ ਉਹੋ ਸੁਭਾਓ ਹੋਵੇ ਜੋ ਮਸੀਹ ਯਿਸੂ ਦਾ ਵੀ ਸੀ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 6] ਕਿ ਉਸ ਨੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸਰੂਪ ਵਿੱਚ ਹੋ ਕੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਤੁੱਲ ਹੋਣਾ ਕਬਜ਼ੇ ਰੱਖਣ ਦੀ ਚੀਜ਼ ਨਾ ਜਾਣਿਆ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 7] ਸਗੋਂ ਉਸ ਨੇ ਆਪਣੇ ਆਪ ਨੂੰ ਸੱਖਣਾ (ਜੋ ਕੁਝ ਉਸ ਕੋਲ ਸੀ, ਸਭ ਕੁਝ ਤਿਆਗ ਦਿੱਤਾ) ਕਰਕੇ ਦਾਸ ਦਾ ਰੂਪ ਧਾਰਿਆ ਅਤੇ ਮਨੁੱਖਾਂ ਦੀ ਸੂਰਤ ਵਿੱਚ ਜੰਮਿਆ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 8] ਅਤੇ ਮਨੁੱਖ ਦੀ ਸ਼ਕਲ ਵਿੱਚ ਪਰਗਟ ਹੋ ਕੇ ਆਪਣੇ ਆਪ ਨੂੰ ਨੀਵਿਆਂ ਕੀਤਾ ਅਤੇ ਮੌਤ ਤੱਕ ਸਗੋਂ ਸਲੀਬ ਦੀ ਮੌਤ ਤੱਕ ਆਗਿਆਕਾਰ ਬਣਿਆ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 9] ਇਸ ਕਾਰਨ ਪਰਮੇਸ਼ੁਰ ਨੇ ਵੀ ਉਸ ਨੂੰ ਅੱਤ ਉੱਚਿਆਂ ਕੀਤਾ ਅਤੇ ਉਸ ਨੂੰ ਉਹ ਨਾਮ ਦਿੱਤਾ ਜਿਹੜਾ ਸਭਨਾਂ ਨਾਮਾਂ ਤੋਂ ਉੱਤਮ ਹੈ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 10] ਜੋ ਸਵਰਗ ਅਤੇ ਧਰਤੀ ਉੱਤੇ ਅਤੇ ਧਰਤੀ ਦੇ ਹੇਠਾਂ ਹਨ, ਯਿਸੂ ਦੇ ਨਾਮ ਵਿੱਚ ਹਰ ਗੋਡਾ ਨਿਵਾਇਆ ਜਾਵੇ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 11] ਅਤੇ ਹਰ ਜ਼ਬਾਨ ਪਰਮੇਸ਼ੁਰ ਪਿਤਾ ਦੀ ਵਡਿਆਈ ਲਈ ਮੰਨ ਲਵੇ ਜੋ ਯਿਸੂ ਮਸੀਹ ਪ੍ਰਭੂ ਹੈ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 12] ਇਸ ਲਈ, ਹੇ ਮੇਰੇ ਪਿਆਰਿਓ, ਜਿਵੇਂ ਤੁਸੀਂ ਸਦਾ ਆਗਿਆਕਾਰੀ ਕੀਤੀ, ਸਿਰਫ਼ ਮੇਰੇ ਹੁੰਦਿਆਂ ਨਹੀਂ ਸਗੋਂ ਹੁਣ ਬਹੁਤ ਵਧੀਕ ਮੇਰੇ ਦੂਰ ਹੁੰਦਿਆਂ ਤੁਸੀਂ ਡਰਦੇ ਅਤੇ ਕੰਬਦੇ ਹੋਏ ਆਪਣੀ ਮੁਕਤੀ ਦੇ ਕੰਮ ਨੂੰ ਪੂਰਾ ਕਰੋ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 13] ਕਿਉਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਹੀ ਹੈ ਜਿਹੜਾ ਤੁਹਾਡੇ ਵਿੱਚ ਮਨਸ਼ਾ ਤੇ ਅਮਲ ਦੋਹਾਂ ਨੂੰ ਆਪਣੇ ਨੇਕ ਇਰਾਦੇ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਪੈਦਾ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 14] ਤੁਸੀਂ ਸੱਭੇ ਕੰਮ ਬੁੜ-ਬੁੜ ਅਤੇ ਝਗੜੇ ਕਰਨ ਤੋਂ ਬਿਨ੍ਹਾਂ ਕਰੋ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 15] ਤਾਂ ਜੋ ਤੁਸੀਂ ਨਿਰਦੋਸ਼ ਅਤੇ ਸਿੱਧੇ ਸਾਧੇ ਹੋ ਕੇ ਵਿੰਗੀ ਟੇਢੀ ਪੀੜ੍ਹੀ ਵਿੱਚ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਿਰਮਲ ਬਾਲਕ ਬਣੇ ਰਹੋ ਜਿੰਨ੍ਹਾ ਦੇ ਵਿੱਚ ਤੁਸੀਂ ਜੀਵਨ ਦਾ ਬਚਨ ਲੈ ਕੇ ਸੰਸਾਰ ਉੱਤੇ ਜੋਤਾਂ ਵਾਂਗੂੰ ਦਿਸਦੇ ਹੋ,
[IRV | PA | NT | Philippians | Chapter 2 | Verse 16] ਤਾਂ ਜੋ ਮਸੀਹ ਦੇ ਦਿਨ ਮੈਨੂੰ ਅਭਮਾਨ ਕਰਨ ਦਾ ਥਾਂ ਹੋਵੇ ਕਿ ਮੇਰੀ ਦੌੜ ਅਤੇ ਮੇਰੀ ਮਿਹਨਤ ਵਿਅਰਥ ਨਹੀਂ ਗਈ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 17] ਪਰ ਭਾਵੇਂ ਮੈਨੂੰ ਤੁਹਾਡੇ ਵਿਸ਼ਵਾਸ ਦੇ ਬਲੀਦਾਨ ਅਤੇ ਸੇਵਕਾਈ ਦੇ ਨਾਲ ਆਪਣਾ ਲਹੂ ਵੀ ਵਹਾਉਣਾ ਪਵੇ ਤਾਂ ਵੀ ਮੈਂ ਅਨੰਦ ਕਰਦਾ ਹਾਂ ਅਤੇ ਤੁਹਾਡੇ ਨਾਲ ਵੀ ਅਨੰਦ ਹਾਂ।
[IRV | PA | NT | Philippians | Chapter 2 | Verse 18] ਇਸੇ ਤਰ੍ਹਾਂ ਤੁਸੀਂ ਵੀ ਅਨੰਦ ਕਰੋ ਅਤੇ ਮੇਰੇ ਨਾਲ ਅਨੰਦ ਕਰੋ l
