[KJV | EN | NT | Luke | Chapter 23 | Verse 1] And the whole multitude of them arose, and led him unto Pilate.
[KJV | EN | NT | Luke | Chapter 23 | Verse 2] And they began to accuse him, saying, We found this fellow perverting the nation, and forbidding to give tribute to Cesar, saying that he himself is Christ a King.
[KJV | EN | NT | Luke | Chapter 23 | Verse 3] And Pilate asked him, saying, Art thou the King of the Jews? And he answered him and said, Thou sayest it.
[KJV | EN | NT | Luke | Chapter 23 | Verse 4] Then said Pilate to the chief priests and to the people, I find no fault in this man.
[KJV | EN | NT | Luke | Chapter 23 | Verse 5] And they were the more fierce, saying, He stirreth up the people, teaching throughout all Jewry, beginning from Galilee to this place.
[KJV | EN | NT | Luke | Chapter 23 | Verse 6] When Pilate heard of Galilee, he asked whether the man were a Galilean.
[KJV | EN | NT | Luke | Chapter 23 | Verse 7] And as soon as he knew that he belonged unto Herod’s jurisdiction, he sent him to Herod, who himself also was at Jerusalem at that time.
[KJV | EN | NT | Luke | Chapter 23 | Verse 8] And when Herod saw Jesus, he was exceeding glad: for he was desirous to see him of a long season, because he had heard many things of him; and he hoped to have seen some miracle done by him.
[KJV | EN | NT | Luke | Chapter 23 | Verse 9] Then he questioned with him in many words; but he answered him nothing.
[KJV | EN | NT | Luke | Chapter 23 | Verse 10] And the chief priests and scribes stood and vehemently accused him.
[KJV | EN | NT | Luke | Chapter 23 | Verse 11] And Herod with his men of war set him at nought, and mocked him, and arrayed him in a gorgeous robe, and sent him again to Pilate.
[KJV | EN | NT | Luke | Chapter 23 | Verse 12] And the same day Pilate and Herod were made friends together: for before they were at enmity between themselves.
[KJV | EN | NT | Luke | Chapter 23 | Verse 13] And Pilate, when he had called together the chief priests and the rulers and the people,
[KJV | EN | NT | Luke | Chapter 23 | Verse 14] said unto them, Ye have brought this man unto me, as one that perverteth the people: and behold, I, having examined him before you, have found no fault in this man touching those things whereof ye accuse him:
[KJV | EN | NT | Luke | Chapter 23 | Verse 15] no, nor yet Herod: for I sent you to him; and lo, nothing worthy of death is done unto him.
[KJV | EN | NT | Luke | Chapter 23 | Verse 16] I will therefore chastise him, and release him.
