[KJV | EN | NT | Luke | Chapter 3 | Verse 1] Now in the fifteenth year of the reign of Tiberius Cesar, Pontius Pilate being governor of Judea, and Herod being tetrarch of Galilee, and his brother Philip tetrarch of Iturea and of the region of Trachonitis, and Lysanias the tetrarch of Abilene,
[KJV | EN | NT | Luke | Chapter 3 | Verse 2] Annas and Caiaphas being the high priests, the word of God came unto John the son of Zacharias in the wilderness.
[KJV | EN | NT | Luke | Chapter 3 | Verse 3] And he came into all the country about Jordan, preaching the baptism of repentance for the remission of sins;
[KJV | EN | NT | Luke | Chapter 3 | Verse 4] as it is written in the book of the words of Esaias the prophet, saying, The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.
[KJV | EN | NT | Luke | Chapter 3 | Verse 5] Every valley shall be filled, and every mountain and hill shall be brought low; and the crooked shall be made straight, and the rough ways shall be made smooth;
[KJV | EN | NT | Luke | Chapter 3 | Verse 6] and all flesh shall see the salvation of God.
[KJV | EN | NT | Luke | Chapter 3 | Verse 7] Then said he to the multitude that came forth to be baptized of him, O generation of vipers, who hath warned you to flee from the wrath to come?
[KJV | EN | NT | Luke | Chapter 3 | Verse 8] Bring forth therefore fruits worthy of repentance, and begin not to say within yourselves, We have Abraham to our father: for I say unto you, That God is able of these stones to raise up children unto Abraham.
[KJV | EN | NT | Luke | Chapter 3 | Verse 9] And now also the axe is laid unto the root of the trees: every tree therefore which bringeth not forth good fruit is hewn down, and cast into the fire.
[KJV | EN | NT | Luke | Chapter 3 | Verse 10] And the people asked him, saying, What shall we do then?
[KJV | EN | NT | Luke | Chapter 3 | Verse 11] He answereth and saith unto them, He that hath two coats, let him impart to him that hath none; and he that hath meat, let him do likewise.
[KJV | EN | NT | Luke | Chapter 3 | Verse 12] Then came also publicans to be baptized, and said unto him, Master, what shall we do?
[KJV | EN | NT | Luke | Chapter 3 | Verse 13] And he said unto them, Exact no more than that which is appointed you.
[KJV | EN | NT | Luke | Chapter 3 | Verse 14] And the soldiers likewise demanded of him, saying, And what shall we do? And he said unto them, Do violence to no man, neither accuse any falsely; and be content with your wages.
[KJV | EN | NT | Luke | Chapter 3 | Verse 15] And as the people were in expectation, and all men mused in their hearts of John, whether he were the Christ, or not;
[KJV | EN | NT | Luke | Chapter 3 | Verse 16] John answered, saying unto them all, I indeed baptize you with water; but one mightier than I cometh, the latchet of whose shoes I am not worthy to unloose: he shall baptize you with the Holy Ghost and with fire:
[KJV | EN | NT | Luke | Chapter 3 | Verse 17] whose fan is in his hand, and he will throughly purge his floor, and will gather the wheat into his garner; but the chaff he will burn with fire unquenchable.
[KJV | EN | NT | Luke | Chapter 3 | Verse 18] And many other things in his exhortation preached he unto the people.
[KJV | EN | NT | Luke | Chapter 3 | Verse 19] But Herod the tetrarch, being reproved by him for Herodias his brother Philip’s wife, and for all the evils which Herod had done,
[KJV | EN | NT | Luke | Chapter 3 | Verse 20] added yet this above all, that he shut up John in prison.
[KJV | EN | NT | Luke | Chapter 3 | Verse 21] Now when all the people were baptized, it came to pass, that Jesus also being baptized, and praying, the heaven was opened,
[KJV | EN | NT | Luke | Chapter 3 | Verse 22] and the Holy Ghost descended in a bodily shape like a dove upon him, and a voice came from heaven, which said, Thou art my beloved Son; in thee I am well pleased.
[KJV | EN | NT | Luke | Chapter 3 | Verse 23] And Jesus himself began to be about thirty years of age, being (as was supposed) the son of Joseph, which was the son of Heli,
[KJV | EN | NT | Luke | Chapter 3 | Verse 24] which was the son of Matthat, which was the son of Levi, which was the son of Melchi, which was the son of Janna, which was the son of Joseph,
[KJV | EN | NT | Luke | Chapter 3 | Verse 25] which was the son of Mattathias, which was the son of Amos, which was the son of Naum, which was the son of Esli, which was the son of Nagge,
[KJV | EN | NT | Luke | Chapter 3 | Verse 26] which was the son of Maath, which was the son of Mattathias, which was the son of Semei, which was the son of Joseph, which was the son of Juda,
[KJV | EN | NT | Luke | Chapter 3 | Verse 27] which was the son of Joanna, which was the son of Rhesa, which was the son of Zorobabel, which was the son of Salathiel, which was the son of Neri,
[KJV | EN | NT | Luke | Chapter 3 | Verse 28] which was the son of Melchi, which was the son of Addi, which was the son of Cosam, which was the son of Elmodam, which was the son of Er,
[KJV | EN | NT | Luke | Chapter 3 | Verse 29] which was the son of Jose, which was the son of Eliezer, which was the son of Jorim, which was the son of Matthat, which was the son of Levi,
[KJV | EN | NT | Luke | Chapter 3 | Verse 30] which was the son of Simeon, which was the son of Juda, which was the son of Joseph, which was the son of Jonan, which was the son of Eliakim,
[KJV | EN | NT | Luke | Chapter 3 | Verse 31] which was the son of Melea, which was the son of Menan, which was the son of Mattatha, which was the son of Nathan, which was the son of David,
[KJV | EN | NT | Luke | Chapter 3 | Verse 32] which was the son of Jesse, which was the son of Obed, which was the son of Booz, which was the son of Salmon, which was the son of Naasson,
[KJV | EN | NT | Luke | Chapter 3 | Verse 33] which was the son of Aminadab, which was the son of Aram, which was the son of Esrom, which was the son of Phares, which was the son of Juda,
[KJV | EN | NT | Luke | Chapter 3 | Verse 34] which was the son of Jacob, which was the son of Isaac, which was the son of Abraham, which was the son of Thara, which was the son of Nachor,
[KJV | EN | NT | Luke | Chapter 3 | Verse 35] which was the son of Saruch, which was the son of Ragau, which was the son of Phalec, which was the son of Heber, which was the son of Sala,
[KJV | EN | NT | Luke | Chapter 3 | Verse 36] which was the son of Cainan, which was the son of Arphaxad, which was the son of Sem, which was the son of Noe, which was the son of Lamech,
[KJV | EN | NT | Luke | Chapter 3 | Verse 37] which was the son of Mathusala, which was the son of Enoch, which was the son of Jared, which was the son of Maleleel, which was the son of Cainan,
[KJV | EN | NT | Luke | Chapter 3 | Verse 38] which was the son of Enos, which was the son of Seth, which was the son of Adam, which was the son of God.
