[KJV | EN | NT | Luke | Chapter 1 | Verse 1] Forasmuch as many have taken in hand to set forth in order a declaration of those things which are most surely believed among us,
[KJV | EN | NT | Luke | Chapter 1 | Verse 2] even as they delivered them unto us, which from the beginning were eyewitnesses, and ministers of the word;
[KJV | EN | NT | Luke | Chapter 1 | Verse 3] it seemed good to me also, having had perfect understanding of all things from the very first, to write unto thee in order, most excellent Theophilus,
[KJV | EN | NT | Luke | Chapter 1 | Verse 4] that thou mightest know the certainty of those things, wherein thou hast been instructed.
[KJV | EN | NT | Luke | Chapter 1 | Verse 5] There was in the days of Herod, the king of Judea, a certain priest named Zacharias, of the course of Abia: and his wife was of the daughters of Aaron, and her name was Elisabeth.
[KJV | EN | NT | Luke | Chapter 1 | Verse 6] And they were both righteous before God, walking in all the commandments and ordinances of the Lord blameless.
[KJV | EN | NT | Luke | Chapter 1 | Verse 7] And they had no child, because that Elisabeth was barren, and they both were now well stricken in years.
[KJV | EN | NT | Luke | Chapter 1 | Verse 8] And it came to pass, that while he executed the priest’s office before God in the order of his course,
[KJV | EN | NT | Luke | Chapter 1 | Verse 9] according to the custom of the priest’s office, his lot was to burn incense when he went into the temple of the Lord.
[KJV | EN | NT | Luke | Chapter 1 | Verse 10] And the whole multitude of the people were praying without at the time of incense.
[KJV | EN | NT | Luke | Chapter 1 | Verse 11] And there appeared unto him an angel of the Lord standing on the right side of the altar of incense.
[KJV | EN | NT | Luke | Chapter 1 | Verse 12] And when Zacharias saw him, he was troubled, and fear fell upon him.
[KJV | EN | NT | Luke | Chapter 1 | Verse 13] But the angel said unto him, Fear not, Zacharias: for thy prayer is heard; and thy wife Elisabeth shall bear thee a son, and thou shalt call his name John.
[KJV | EN | NT | Luke | Chapter 1 | Verse 14] And thou shalt have joy and gladness; and many shall rejoice at his birth.
[KJV | EN | NT | Luke | Chapter 1 | Verse 15] For he shall be great in the sight of the Lord, and shall drink neither wine nor strong drink; and he shall be filled with the Holy Ghost, even from his mother’s womb.
[KJV | EN | NT | Luke | Chapter 1 | Verse 16] And many of the children of Israel shall he turn to the Lord their God.
[KJV | EN | NT | Luke | Chapter 1 | Verse 17] And he shall go before him in the spirit and power of Elias, to turn the hearts of the fathers to the children, and the disobedient to the wisdom of the just; to make ready a people prepared for the Lord.
[KJV | EN | NT | Luke | Chapter 1 | Verse 18] And Zacharias said unto the angel, Whereby shall I know this? for I am an old man, and my wife well stricken in years.
[KJV | EN | NT | Luke | Chapter 1 | Verse 19] And the angel answering said unto him, I am Gabriel, that stand in the presence of God; and am sent to speak unto thee, and to shew thee these glad tidings.
[KJV | EN | NT | Luke | Chapter 1 | Verse 20] And behold, thou shalt be dumb, and not able to speak, until the day that these things shall be performed, because thou believest not my words, which shall be fulfilled in their season.
[KJV | EN | NT | Luke | Chapter 1 | Verse 21] And the people waited for Zacharias, and marvelled that he tarried so long in the temple.
[KJV | EN | NT | Luke | Chapter 1 | Verse 22] And when he came out, he could not speak unto them: and they perceived that he had seen a vision in the temple: for he beckoned unto them, and remained speechless.
[KJV | EN | NT | Luke | Chapter 1 | Verse 23] And it came to pass that, as soon as the days of his ministration were accomplished, he departed to his own house.
[KJV | EN | NT | Luke | Chapter 1 | Verse 24] And after those days his wife Elisabeth conceived, and hid herself five months, saying,
[KJV | EN | NT | Luke | Chapter 1 | Verse 25] Thus hath the Lord dealt with me in the days wherein he looked on me, to take away my reproach among men.
[KJV | EN | NT | Luke | Chapter 1 | Verse 26] And in the sixth month the angel Gabriel was sent from God unto a city of Galilee, named Nazareth,
[KJV | EN | NT | Luke | Chapter 1 | Verse 27] to a virgin espoused to a man whose name was Joseph, of the house of David; and the virgin’s name was Mary.
[KJV | EN | NT | Luke | Chapter 1 | Verse 28] And the angel came in unto her, and said, Hail, thou that art highly favoured, the Lord is with thee: blessed art thou among women.
[KJV | EN | NT | Luke | Chapter 1 | Verse 29] And when she saw him, she was troubled at his saying, and cast in her mind what manner of salutation this should be.
[KJV | EN | NT | Luke | Chapter 1 | Verse 30] And the angel said unto her, Fear not, Mary: for thou hast found favour with God.
[KJV | EN | NT | Luke | Chapter 1 | Verse 31] And behold, thou shalt conceive in thy womb, and bring forth a son, and shalt call his name JESUS.
[KJV | EN | NT | Luke | Chapter 1 | Verse 32] He shall be great, and shall be called the Son of the Highest: and the Lord God shall give unto him the throne of his father David:
[KJV | EN | NT | Luke | Chapter 1 | Verse 33] and he shall reign over the house of Jacob for ever; and of his kingdom there shall be no end.
[KJV | EN | NT | Luke | Chapter 1 | Verse 34] Then said Mary unto the angel, How shall this be, seeing I know not a man?
[KJV | EN | NT | Luke | Chapter 1 | Verse 35] And the angel answered and said unto her, The Holy Ghost shall come upon thee, and the power of the Highest shall overshadow thee: therefore also that holy thing which shall be born of thee shall be called the Son of God.
[KJV | EN | NT | Luke | Chapter 1 | Verse 36] And behold, thy cousin Elisabeth, she hath also conceived a son in her old age: and this is the sixth month with her, who was called barren.
[KJV | EN | NT | Luke | Chapter 1 | Verse 37] For with God nothing shall be unpossible.
[KJV | EN | NT | Luke | Chapter 1 | Verse 38] And Mary said, Behold the handmaid of the Lord; be it unto me according to thy word. And the angel departed from her.
[KJV | EN | NT | Luke | Chapter 1 | Verse 39] And Mary arose in those days, and went into the hill country with haste, into a city of Juda;
[KJV | EN | NT | Luke | Chapter 1 | Verse 40] and entered into the house of Zacharias, and saluted Elisabeth.
[KJV | EN | NT | Luke | Chapter 1 | Verse 41] And it came to pass that, when Elisabeth heard the salutation of Mary, the babe leaped in her womb; and Elisabeth was filled with the Holy Ghost:
[KJV | EN | NT | Luke | Chapter 1 | Verse 42] and she spake out with a loud voice, and said, Blessed art thou among women, and blessed is the fruit of thy womb.
[KJV | EN | NT | Luke | Chapter 1 | Verse 43] And whence is this to me, that the mother of my Lord should come to me?
[KJV | EN | NT | Luke | Chapter 1 | Verse 44] For lo, as soon as the voice of thy salutation sounded in mine ears, the babe leaped in my womb for joy.
