[KJV | EN | NT | Luke | Chapter 24 | Verse 1] Now upon the first day of the week, very early in the morning, they came unto the sepulchre, bringing the spices which they had prepared, and certain others with them.
[KJV | EN | NT | Luke | Chapter 24 | Verse 2] And they found the stone rolled away from the sepulchre.
[KJV | EN | NT | Luke | Chapter 24 | Verse 3] And they entered in, and found not the body of the Lord Jesus.
[KJV | EN | NT | Luke | Chapter 24 | Verse 4] And it came to pass, as they were much perplexed thereabout, behold, two men stood by them in shining garments:
[KJV | EN | NT | Luke | Chapter 24 | Verse 5] and as they were afraid, and bowed down their faces to the earth, they said unto them, Why seek ye the living among the dead?
[KJV | EN | NT | Luke | Chapter 24 | Verse 6] He is not here, but is risen: remember how he spake unto you when he was yet in Galilee,
[KJV | EN | NT | Luke | Chapter 24 | Verse 7] saying, The Son of man must be delivered into the hands of sinful men, and be crucified, and the third day rise again.
[KJV | EN | NT | Luke | Chapter 24 | Verse 8] And they remembered his words,
[KJV | EN | NT | Luke | Chapter 24 | Verse 9] and returned from the sepulchre, and told all these things unto the eleven, and to all the rest.
[KJV | EN | NT | Luke | Chapter 24 | Verse 10] It was Mary Magdalene, and Joanna, and Mary the mother of James, and other women that were with them, which told these things unto the apostles.
[KJV | EN | NT | Luke | Chapter 24 | Verse 11] And their words seemed to them as idle tales, and they believed them not.
[KJV | EN | NT | Luke | Chapter 24 | Verse 12] Then arose Peter, and ran unto the sepulchre; and stooping down, he beheld the linen clothes laid by themselves, and departed, wondering in himself at that which was come to pass.
[KJV | EN | NT | Luke | Chapter 24 | Verse 13] And behold, two of them went that same day to a village called Emmaus, which was from Jerusalem about threescore furlongs.
[KJV | EN | NT | Luke | Chapter 24 | Verse 14] And they talked together of all these things which had happened.
[KJV | EN | NT | Luke | Chapter 24 | Verse 15] And it came to pass, that while they communed together and reasoned, Jesus himself drew near, and went with them.
[KJV | EN | NT | Luke | Chapter 24 | Verse 16] But their eyes were holden that they should not know him.
[KJV | EN | NT | Luke | Chapter 24 | Verse 17] And he said unto them, What manner of communications are these that ye have one to another, as ye walk, and are sad?
[KJV | EN | NT | Luke | Chapter 24 | Verse 18] And the one of them, whose name was Cleopas, answering said unto him, Art thou only a stranger in Jerusalem, and hast not known the things which are come to pass there in these days?
[KJV | EN | NT | Luke | Chapter 24 | Verse 19] And he said unto them, What things? And they said unto him, Concerning Jesus of Nazareth, which was a prophet mighty in deed and word before God and all the people:
[KJV | EN | NT | Luke | Chapter 24 | Verse 20] and how the chief priests and our rulers delivered him to be condemned to death, and have crucified him.
[KJV | EN | NT | Luke | Chapter 24 | Verse 21] But we trusted that it had been he which should have redeemed Israel: and beside all this, to day is the third day since these things were done.
[KJV | EN | NT | Luke | Chapter 24 | Verse 22] Yea, and certain women also of our company made us astonished, which were early at the sepulchre;
[KJV | EN | NT | Luke | Chapter 24 | Verse 23] and when they found not his body, they came, saying, that they had also seen a vision of angels, which said that he was alive.
[KJV | EN | NT | Luke | Chapter 24 | Verse 24] And certain of them which were with us went to the sepulchre, and found it even so as the women had said: but him they saw not.
[KJV | EN | NT | Luke | Chapter 24 | Verse 25] Then he said unto them, O fools, and slow of heart to believe all that the prophets have spoken:
[KJV | EN | NT | Luke | Chapter 24 | Verse 26] ought not Christ to have suffered these things, and to enter into his glory?
[KJV | EN | NT | Luke | Chapter 24 | Verse 27] And beginning at Moses and all the prophets, he expounded unto them in all the scriptures the things concerning himself.
[KJV | EN | NT | Luke | Chapter 24 | Verse 28] And they drew nigh unto the village, whither they went: and he made as though he would have gone further.
[KJV | EN | NT | Luke | Chapter 24 | Verse 29] But they constrained him, saying, Abide with us: for it is towards evening, and the day is far spent. And he went in to tarry with them.
[KJV | EN | NT | Luke | Chapter 24 | Verse 30] And it came to pass, as he sat at meat with them, he took bread, and blessed it, and brake, and gave to them.
[KJV | EN | NT | Luke | Chapter 24 | Verse 31] And their eyes were opened, and they knew him; and he vanished out of their sight.
[KJV | EN | NT | Luke | Chapter 24 | Verse 32] And they said one to another, Did not our heart burn within us, while he talked with us by the way, and while he opened to us the scriptures?
[KJV | EN | NT | Luke | Chapter 24 | Verse 33] And they rose up the same hour, and returned to Jerusalem, and found the eleven gathered together, and them that were with them,
[KJV | EN | NT | Luke | Chapter 24 | Verse 34] saying, The Lord is risen indeed, and hath appeared to Simon.
[KJV | EN | NT | Luke | Chapter 24 | Verse 35] And they told what things were done in the way, and how he was known of them in breaking of bread.
[KJV | EN | NT | Luke | Chapter 24 | Verse 36] And as they thus spake, Jesus himself stood in the midst of them, and saith unto them, Peace be unto you.
[KJV | EN | NT | Luke | Chapter 24 | Verse 37] But they were terrified and affrighted, and supposed that they had seen a spirit.
[KJV | EN | NT | Luke | Chapter 24 | Verse 38] And he said unto them, Why are ye troubled? and why do thoughts arise in your hearts?
[KJV | EN | NT | Luke | Chapter 24 | Verse 39] Behold my hands and my feet, that it is I myself: handle me, and see; for a spirit hath not flesh and bones, as ye see me have.
[KJV | EN | NT | Luke | Chapter 24 | Verse 40] And when he had thus spoken, he shewed them his hands and his feet.
[KJV | EN | NT | Luke | Chapter 24 | Verse 41] And while they yet believed not for joy, and wondered, he said unto them, Have ye here any meat?
[KJV | EN | NT | Luke | Chapter 24 | Verse 42] And they gave him a piece of a broiled fish, and of a honeycomb.
[KJV | EN | NT | Luke | Chapter 24 | Verse 43] And he took it, and did eat before them.
[KJV | EN | NT | Luke | Chapter 24 | Verse 44] And he said unto them, These are the words which I spake unto you, while I was yet with you, that all things must be fulfilled, which were written in the law of Moses, and in the prophets, and in the psalms, concerning me.
[KJV | EN | NT | Luke | Chapter 24 | Verse 45] Then opened he their understanding, that they might understand the scriptures,
[KJV | EN | NT | Luke | Chapter 24 | Verse 46] and said unto them, Thus it is written, and thus it behoved Christ to suffer, and to rise from the dead the third day:
[KJV | EN | NT | Luke | Chapter 24 | Verse 47] and that repentance and remission of sins should be preached in his name among all nations, beginning at Jerusalem.
[KJV | EN | NT | Luke | Chapter 24 | Verse 48] And ye are witnesses of these things.
