[GNV | EN | NT | Colossians | Chapter 2 | Verse 1] For I woulde ye knewe what great fighting I haue for your sakes, and for them of Laodicea, and for as many as haue not seene my person in the flesh,
[GNV | EN | NT | Colossians | Chapter 2 | Verse 2] That their heartes might be comforted, and they knit together in loue, and in all riches of the full assurance of vnderstanding, to know the mysterie of God, euen the Father, and of Christ:
[GNV | EN | NT | Colossians | Chapter 2 | Verse 3] In whom are hid all the treasures of wisedome and knowledge.
[GNV | EN | NT | Colossians | Chapter 2 | Verse 4] And this I say, lest any man shoulde beguile you with entising wordes:
[GNV | EN | NT | Colossians | Chapter 2 | Verse 5] For though I be absent in the flesh, yet am I with you in the spirit, reioycing and beholding your order, and your stedfast faith in Christ.
[GNV | EN | NT | Colossians | Chapter 2 | Verse 6] As ye haue therefore receiued Christ Iesus the Lord, so walke in him,
[GNV | EN | NT | Colossians | Chapter 2 | Verse 7] Rooted and built in him, and stablished in the faith, as ye haue bene taught, abouding therein with thankesgiuing.
[GNV | EN | NT | Colossians | Chapter 2 | Verse 8] Beware lest there be any man that spoile you through philosophie, and vaine deceit, through the traditions of men, according to the rudiments of the world, and not after Christ.
[GNV | EN | NT | Colossians | Chapter 2 | Verse 9] For in him dwelleth all the fulnesse of the Godhead bodily.
[GNV | EN | NT | Colossians | Chapter 2 | Verse 10] And yee are complete in him, which is the head of all principalitie and power.
[GNV | EN | NT | Colossians | Chapter 2 | Verse 11] In whome also yee are circumcised with circumcision made without handes, by putting off the sinfull body of the flesh, through the circumcision of Christ,
[GNV | EN | NT | Colossians | Chapter 2 | Verse 12] In that yee are buried with him through baptisme, in whome ye are also raised vp together through the faith of the operation of God, which raised him from the dead.
[GNV | EN | NT | Colossians | Chapter 2 | Verse 13] And you which were dead in sinnes, and in the vncircumcision of your flesh, hath he quickened together with him, forgiuing you all your trespasses,
[GNV | EN | NT | Colossians | Chapter 2 | Verse 14] And putting out the hand writing of ordinances that was against vs, which was contrarie to vs, hee euen tooke it out of the way, and fastened it vpon the crosse,
[GNV | EN | NT | Colossians | Chapter 2 | Verse 15] And hath spoyled the Principalities, and Powers, and hath made a shew of them openly, and hath triumphed ouer them in the same crosse.
[GNV | EN | NT | Colossians | Chapter 2 | Verse 16] Let no man therefore condemne you in meate and drinke, or in respect of an holy day, or of the newe moone, or of the Sabbath dayes,
[GNV | EN | NT | Colossians | Chapter 2 | Verse 17] Which are but a shadowe of thinges to come: but the body is in Christ.
[GNV | EN | NT | Colossians | Chapter 2 | Verse 18] Let no man at his pleasure beare rule ouer you by humblenesse of minde, and worshipping of Angels, aduauncing himselfe in those thinges which hee neuer sawe, rashly puft vp with his fleshly minde,
[GNV | EN | NT | Colossians | Chapter 2 | Verse 19] And holdeth not the head, whereof all the body furnished and knit together by ioyntes and bands, increaseth with the increasing of God.
[GNV | EN | NT | Colossians | Chapter 2 | Verse 20] Wherefore if ye be dead with Christ from the ordinances of the world, why, as though ye liued in ye world, are ye burdened with traditions?
[GNV | EN | NT | Colossians | Chapter 2 | Verse 21] As, Touch not, Taste not, Handle not.
[GNV | EN | NT | Colossians | Chapter 2 | Verse 22] Which al perish with the vsing, and are after the commandements and doctrines of men.
[GNV | EN | NT | Colossians | Chapter 2 | Verse 23] Which thinges haue in deede a shewe of wisdome, in voluntarie religion and humblenesse of minde, and in not sparing the body, which are thinges of no valewe, sith they perteine to the filling of the flesh.
