[GNV | EN | NT | Colossians | Chapter 4 | Verse 1] Ye masters, doe vnto your seruants, that which is iust, and equall, knowing that ye also haue a master in heauen.
[GNV | EN | NT | Colossians | Chapter 4 | Verse 2] Continue in prayer, and watch in the fame with thankesgiuing,
[GNV | EN | NT | Colossians | Chapter 4 | Verse 3] Praying also for vs, that God may open vnto vs the doore of vtterance, to speake ye mysterie of Christ: wherefore I am also in bonds,
[GNV | EN | NT | Colossians | Chapter 4 | Verse 4] That I may vtter it, as it becommeth mee to speake.
[GNV | EN | NT | Colossians | Chapter 4 | Verse 5] Walke wisely towarde them that are without, and redeeme the season.
[GNV | EN | NT | Colossians | Chapter 4 | Verse 6] Let your speach be gracious alwayes, and powdred with salt, that ye may know how to answere euery man.
[GNV | EN | NT | Colossians | Chapter 4 | Verse 7] Tychicus our beloued brother and faithfull minister, and fellow seruant in the Lord, shall declare vnto you my whole state:
[GNV | EN | NT | Colossians | Chapter 4 | Verse 8] Whom I haue sent vnto you for the same purpose that he might know your state, and might comfort your hearts,
[GNV | EN | NT | Colossians | Chapter 4 | Verse 9] With Onesimus a faithfull and a beloued brother, who is one of you. They shall shew you of all things here.
[GNV | EN | NT | Colossians | Chapter 4 | Verse 10] Aristarchus my prison fellow saluteth you, and Marcus, Barnabas cousin (touching whom ye receiued commandements. If he come vnto you, receiue him)
[GNV | EN | NT | Colossians | Chapter 4 | Verse 11] And Iesus which is called Iustus, which are of the circumcision. These onely are my worke fellowes vnto the kingdome of God, which haue bene vnto my consolation.
[GNV | EN | NT | Colossians | Chapter 4 | Verse 12] Epaphras the seruant of Christ, which is one of you, saluteth you, and alwayes striueth for you in prayers, that ye may stand perfect, and full in all the will of God.
[GNV | EN | NT | Colossians | Chapter 4 | Verse 13] For I beare him record, that he hath a great zeale for you, and for them of Laodicea, and them of Hierapolis.
[GNV | EN | NT | Colossians | Chapter 4 | Verse 14] Luke the beloued physician greeteth you, and Demas.
[GNV | EN | NT | Colossians | Chapter 4 | Verse 15] Salute the brethren which are of Laodicea, and Nymphas, and the Church which is in his house.
[GNV | EN | NT | Colossians | Chapter 4 | Verse 16] And when this Epistle is read of you, cause that it be read in the Church of the Laodiceans also, and that ye likewise reade the Epistle written from Laodicea.
[GNV | EN | NT | Colossians | Chapter 4 | Verse 17] And say to Archippus, Take heede to the ministerie, that thou hast receiued in the Lord, that thou fulfill it.
[GNV | EN | NT | Colossians | Chapter 4 | Verse 18] The salutation by the hand of me Paul. Remember my bands. Grace be with you, Amen. ‘Written from Rome to the Colossians, and sent by Tychicus, and Onesimus.’
