[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 1] Ἀγαπητοί, μὴ παντὶ πνεύματι πιστεύετε, ἀλλὰ δοκιμάζετε τὰ πνεύματα, εἰ ἐκ τοῦ Θεοῦ ἐστίν· ὅτι πολλοὶ ψευδοπροφῆται ἐξεληλύθασιν εἰς τὸν κόσμον.
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 2] Ἐν τούτῳ γινώσκετε τὸ πνεῦμα τοῦ Θεοῦ· πᾶν πνεῦμα ὃ ὁμολογεῖ Ἰησοῦν Χριστὸν ἐν σαρκὶ ἐληλυθότα ἐκ τοῦ Θεοῦ ἐστί·
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 3] καὶ πᾶν πνεῦμα ὃ μὴ ὁμολογεῖ τὸν Ἰησοῦν Χριστὸν ἐν σαρκὶ ἐληλυθότα, ἐκ τοῦ Θεοῦ οὐκ ἔστι· καὶ τοῦτό ἐστι τὸ τοῦ ἀντιχρίστου, ὃ ἀκηκόατε ὅτι ἔρχεται, καὶ νῦν ἐν τῷ κόσμῳ ἐστὶν ἤδη.
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 4] Ὑμεῖς ἐκ τοῦ Θεοῦ ἐστέ, τεκνία, καὶ νενικήκατε αὐτούς· ὅτι μείζων ἐστὶν ὁ ἐν ὑμῖν ἢ ὁ ἐν τῷ κόσμῳ.
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 5] Αὐτοὶ ἐκ τοῦ κόσμου εἰσί· διὰ τοῦτο ἐκ τοῦ κόσμου λαλοῦσι, καὶ ὁ κόσμος αὐτῶν ἀκούει.
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 6] Ἡμεῖς ἐκ τοῦ Θεοῦ ἐσμέν· ὁ γινώσκων τὸν Θεόν, ἀκούει ἡμῶν· ὃς οὐκ ἔστιν ἐκ τοῦ Θεοῦ, οὐκ ἀκούει ἡμῶν. Ἐκ τούτου γινώσκομεν τὸ πνεῦμα τῆς ἀληθείας καὶ τὸ πνεῦμα τῆς πλάνης.
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 7] Ἀγαπητοί, ἀγαπῶμεν ἀλλήλους· ὅτι ἡ ἀγάπη ἐκ τοῦ Θεοῦ ἐστί, καὶ πᾶς ὁ ἀγαπῶν ἐκ τοῦ Θεοῦ γεγέννηται, καὶ γινώσκει τὸν Θεόν.
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 8] Ὁ μὴ ἀγαπῶν οὐκ ἔγνω τὸν Θεόν· ὅτι ὁ Θεὸς ἀγάπη ἐστίν.
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 9] Ἐν τούτῳ ἐφανερώθη ἡ ἀγάπη τοῦ Θεοῦ ἐν ἡμῖν, ὅτι τὸν υἱὸν αὐτοῦ τὸν μονογενῆ ἀπέσταλκεν ὁ Θεὸς εἰς τὸν κόσμον, ἵνα ζήσωμεν δι᾿ αὐτοῦ.
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 10] Ἐν τούτῳ ἐστὶν ἡ ἀγάπη, οὐχ ὅτι ἡμεῖς ἠγαπήσαμεν τὸν Θεόν, ἀλλ᾿ ὅτι αὐτὸς ἠγάπησεν ἡμᾶς, καὶ ἀπέστειλε τὸν υἱὸν αὐτοῦ ἱλασμὸν περὶ τῶν ἁμαρτιῶν ἡμῶν.
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 11] Ἀγαπητοί, εἰ οὕτως ὁ Θεὸς ἠγάπησεν ἡμᾶς, καὶ ἡμεῖς ὀφείλομεν ἀλλήλους ἀγαπᾷν.
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 12] Θεὸν οὐδεὶς πώποτε τεθέαται· ἐὰν ἀγαπῶμεν ἀλλήλους, ὁ Θεὸς ἐν ἡμῖν μένει, καὶ ἡ ἀγάπη αὐτοῦ τετελειωμένη ἐστὶν ἐν ἡμῖν.
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 13] Ἐν τούτῳ γινώσκομεν ὅτι ἐν αὐτῷ μένομεν καὶ αὐτὸς ἐν ἡμῖν, ὅτι ἐκ τοῦ πνεύματος αὐτοῦ δέδωκεν ἡμῖν.
[GRCGTR | EL | NT | 1 John | Chapter 4 | Verse 14] Καὶ ἡμεῖς τεθεάμεθα καὶ + 4:14 μαρτυροῦμεν ¦ μαρτοῦμεν ST μαρτυροῦμεν ὅτι ὁ πατὴρ ἀπέσταλκε τὸν υἱὸν σωτῆρα τοῦ κόσμου.
