[ASV | EN | OT | Genesis | Chapter 10 | Verse 1] Now these are the generations of the sons of Noah, namely, of Shem, Ham, and Japheth: and unto them were sons born after the flood.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 2] The sons of Japheth: Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 3] And the sons of Gomer: Ashkenaz, and Riphath, and Togarmah.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 4] And the sons of Javan: Elishah, and Tarshish, Kittim, and Dodanim.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 5] Of these were the isles of the nations divided in their lands, every one after his tongue, after their families, in their nations.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 6] And the sons of Ham: Cush, and Mizraim, and Put, and Canaan.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 7] And the sons of Cush: Seba, and Havilah, and Sabtah, and Raamah, and Sabteca; and the sons of Raamah: Sheba, and Dedan.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 8] And Cush begat Nimrod: he began to be a mighty one in the earth.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 9] He was a mighty hunter before Jehovah: wherefore it is said, Like Nimrod a mighty hunter before Jehovah.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 10] And the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 11] Out of that land he went forth into Assyria, and built Nineveh, and Rehoboth-Ir, and Calah,
[ASV | EN | OT | Genesis | Chapter 10 | Verse 12] and Resen between Nineveh and Calah (the same is the great city).
[ASV | EN | OT | Genesis | Chapter 10 | Verse 13] And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,
[ASV | EN | OT | Genesis | Chapter 10 | Verse 14] and Pathrusim, and Casluhim (whence went forth the Philistines), and Caphtorim.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 15] And Canaan begat Sidon his firstborn, and Heth,
[ASV | EN | OT | Genesis | Chapter 10 | Verse 16] and the Jebusite, and the Amorite, and the Girgashite,
[ASV | EN | OT | Genesis | Chapter 10 | Verse 17] and the Hivite, and the Arkite, and the Sinite,
[ASV | EN | OT | Genesis | Chapter 10 | Verse 18] and the Arvadite, and the Zemarite, and the Hamathite: and afterward were the families of the Canaanite spread abroad.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 19] And the border of the Canaanite was from Sidon, as thou goest toward Gerar, unto Gaza; as thou goest toward Sodom and Gomorrah and Admah and Zeboiim, unto Lasha.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 20] These are the sons of Ham, after their families, after their tongues, in their lands, in their nations.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 21] And unto Shem, the father of all the children of Eber, the elder brother of Japheth, to him also were children born.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 22] The sons of Shem: Elam, and Asshur, and Arpachshad, and Lud, and Aram.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 23] And the sons of Aram: Uz, and Hul, and Gether, and Mash.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 24] And Arpachshad begat Shelah; and Shelah begat Eber.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 25] And unto Eber were born two sons: the name of the one was Peleg; for in his days was the earth divided; and his brother’s name was Joktan.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 26] And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,
[ASV | EN | OT | Genesis | Chapter 10 | Verse 27] and Hadoram, and Uzal, and Diklah,
[ASV | EN | OT | Genesis | Chapter 10 | Verse 28] and Obal, and Abimael, and Sheba,
[ASV | EN | OT | Genesis | Chapter 10 | Verse 29] and Ophir, and Havilah, and Jobab: all these were the sons of Joktan.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 30] And their dwelling was from Mesha, as thou goest toward Sephar, the mountain of the east.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 31] These are the sons of Shem, after their families, after their tongues, in their lands, after their nations.
[ASV | EN | OT | Genesis | Chapter 10 | Verse 32] These are the families of the sons of Noah, after their generations, in their nations: and of these were the nations divided in the earth after the flood.
