[ASV | EN | OT | Genesis | Chapter 1 | Verse 1] In the beginning God created the heavens and the earth.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 2] And the earth was waste and void; and darkness was upon the face of the deep: and the Spirit of God moved upon the face of the waters.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 3] And God said, Let there be light: and there was light.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 4] And God saw the light, that it was good: and God divided the light from the darkness.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 5] And God called the light Day, and the darkness he called Night. And there was evening and there was morning, one day.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 6] And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 7] And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 8] And God called the firmament Heaven. And there was evening and there was morning, a second day.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 9] And God said, Let the waters under the heavens be gathered together unto one place, and let the dry land appear: and it was so.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 10] And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 11] And God said, Let the earth put forth grass, herbs yielding seed, and fruit trees bearing fruit after their kind, wherein is the seed thereof, upon the earth: and it was so.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 12] And the earth brought forth grass, herbs yielding seed after their kind, and trees bearing fruit, wherein is the seed thereof, after their kind: and God saw that it was good.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 13] And there was evening and there was morning, a third day.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 14] And God said, Let there be lights in the firmament of heaven to divide the day from the night; and let them be for signs, and for seasons, and for days and years:
[ASV | EN | OT | Genesis | Chapter 1 | Verse 15] and let them be for lights in the firmament of heaven to give light upon the earth: and it was so.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 16] And God made the two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 17] And God set them in the firmament of heaven to give light upon the earth,
[ASV | EN | OT | Genesis | Chapter 1 | Verse 18] and to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 19] And there was evening and there was morning, a fourth day.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 20] And God said, Let the waters swarm with swarms of living creatures, and let birds fly above the earth in the open firmament of heaven.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 21] And God created the great sea monsters, and every living creature that moveth, wherewith the waters swarmed, after their kind, and every winged bird after its kind: and God saw that it was good.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 22] And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 23] And there was evening and there was morning, a fifth day.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 24] And God said, Let the earth bring forth living creatures after their kind, cattle, and creeping things, and beasts of the earth after their kind: and it was so.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 25] And God made the beasts of the earth after their kind, and the cattle after their kind, and everything that creepeth upon the ground after its kind: and God saw that it was good.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 26] And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the birds of the heavens, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 27] And God created man in his own image, in the image of God created he him; male and female created he them.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 28] And God blessed them: and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it; and have dominion over the fish of the sea, and over the birds of the heavens, and over every living thing that moveth upon the earth.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 29] And God said, Behold, I have given you every herb yielding seed, which is upon the face of all the earth, and every tree, in which is the fruit of a tree yielding seed; to you it shall be for food:
[ASV | EN | OT | Genesis | Chapter 1 | Verse 30] and to every beast of the earth, and to every bird of the heavens, and to everything that creepeth upon the earth, wherein there is life, I have given every green herb for food: and it was so.
[ASV | EN | OT | Genesis | Chapter 1 | Verse 31] And God saw everything that he had made, and, behold, it was very good. And there was evening and there was morning, the sixth day.
