[ASV | EN | OT | Genesis | Chapter 8 | Verse 1] And God remembered Noah, and all the beasts, and all the cattle that were with him in the ark: and God made a wind to pass over the earth, and the waters assuaged;
[ASV | EN | OT | Genesis | Chapter 8 | Verse 2] the fountains also of the deep and the windows of heaven were stopped, and the rain from heaven was restrained;
[ASV | EN | OT | Genesis | Chapter 8 | Verse 3] and the waters returned from off the earth continually: and after the end of a hundred and fifty days the waters decreased.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 4] And the ark rested in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 5] And the waters decreased continually until the tenth month: in the tenth month, on the first day of the month, were the tops of the mountains seen.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 6] And it came to pass at the end of forty days, that Noah opened the window of the ark which he had made:
[ASV | EN | OT | Genesis | Chapter 8 | Verse 7] and he sent forth a raven, and it went forth to and fro, until the waters were dried up from off the earth.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 8] And he sent forth a dove from him, to see if the waters were abated from off the face of the ground;
[ASV | EN | OT | Genesis | Chapter 8 | Verse 9] but the dove found no rest for the sole of her foot, and she returned unto him to the ark; for the waters were on the face of the whole earth: and he put forth his hand, and took her, and brought her in unto him into the ark.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 10] And he stayed yet other seven days; and again he sent forth the dove out of the ark;
[ASV | EN | OT | Genesis | Chapter 8 | Verse 11] and the dove came in to him at eventide; and, lo, in her mouth an olive leaf plucked off: so Noah knew that the waters were abated from off the earth.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 12] And he stayed yet other seven days, and sent forth the dove; and she returned not again unto him anymore.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 13] And it came to pass in the six hundred and first year, in the first month, the first day of the month, the waters were dried up from off the earth: and Noah removed the covering of the ark, and looked, and, behold, the face of the ground was dried.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 14] And in the second month, on the seven and twentieth day of the month, was the earth dry.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 15] And God spake unto Noah, saying,
[ASV | EN | OT | Genesis | Chapter 8 | Verse 16] Go forth from the ark, thou, and thy wife, and thy sons, and thy sons’ wives with thee.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 17] Bring forth with thee every living thing that is with thee of all flesh, both birds, and cattle, and every creeping thing that creepeth upon the earth; that they may breed abundantly in the earth, and be fruitful, and multiply upon the earth.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 18] And Noah went forth, and his sons, and his wife, and his sons’ wives with him:
[ASV | EN | OT | Genesis | Chapter 8 | Verse 19] every beast, every creeping thing, and every bird, whatsoever moveth upon the earth, after their families, went forth out of the ark.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 20] And Noah built an altar unto Jehovah, and took of every clean beast, and of every clean bird, and offered burnt offerings on the altar.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 21] And Jehovah smelled the sweet savor; and Jehovah said in his heart, I will not again curse the ground anymore for man’s sake, for that the imagination of man’s heart is evil from his youth; neither will I again smite anymore everything living, as I have done.
[ASV | EN | OT | Genesis | Chapter 8 | Verse 22] While the earth remaineth, seedtime and harvest, and cold and heat, and summer and winter, and day and night shall not cease.
