[ASV | EN | OT | Genesis | Chapter 4 | Verse 1] And the man knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man with the help of Jehovah.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 2] And again she bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 3] And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto Jehovah.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 4] And Abel, he also brought of the firstlings of his flock and of the fat thereof. And Jehovah had respect unto Abel and to his offering:
[ASV | EN | OT | Genesis | Chapter 4 | Verse 5] but unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 6] And Jehovah said unto Cain, Why art thou wroth? and why is thy countenance fallen?
[ASV | EN | OT | Genesis | Chapter 4 | Verse 7] If thou doest well, shall it not be lifted up? and if thou doest not well, sin coucheth at the door; and unto thee shall be its desire; but do thou rule over it.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 8] And Cain told Abel his brother. And it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 9] And Jehovah said unto Cain, Where is Abel thy brother? And he said, I know not: am I my brother’s keeper?
[ASV | EN | OT | Genesis | Chapter 4 | Verse 10] And he said, What hast thou done? the voice of thy brother’s blood crieth unto me from the ground.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 11] And now cursed art thou from the ground, which hath opened its mouth to receive thy brother’s blood from thy hand;
[ASV | EN | OT | Genesis | Chapter 4 | Verse 12] when thou tillest the ground, it shall not henceforth yield unto thee its strength; a fugitive and a wanderer shalt thou be in the earth.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 13] And Cain said unto Jehovah, My punishment is greater than I can bear.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 14] Behold, thou hast driven me out this day from the face of the ground; and from thy face shall I be hidden; and I shall be a fugitive and a wanderer in the earth; and it will come to pass, that whosoever findeth me will slay me.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 15] And Jehovah said unto him, Therefore whosoever slayeth Cain, vengeance shall be taken on him sevenfold. And Jehovah appointed a sign for Cain, lest any finding him should smite him.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 16] And Cain went out from the presence of Jehovah, and dwelt in the land of Nod, on the east of Eden.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 17] And Cain knew his wife; and she conceived, and bare Enoch: and he built a city, and called the name of the city, after the name of his son, Enoch.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 18] And unto Enoch was born Irad: and Irad begat Mehujael; and Mehujael begat Methushael; and Methushael begat Lamech.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 19] And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 20] And Adah bare Jabal: he was the father of such as dwell in tents and have cattle.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 21] And his brother’s name was Jubal: he was the father of all such as handle the harp and pipe.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 22] And Zillah, she also bare Tubal-cain, the forger of every cutting instrument of brass and iron: and the sister of Tubal-cain was Naamah.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 23] And Lamech said unto his wives: Adah and Zillah, hear my voice; Ye wives of Lamech, hearken unto my speech: For I have slain a man for wounding me, And a young man for bruising me:
[ASV | EN | OT | Genesis | Chapter 4 | Verse 24] If Cain shall be avenged sevenfold, Truly Lamech seventy and sevenfold.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 25] And Adam knew his wife again; and she bare a son, and called his name Seth: For, said she, God hath appointed me another seed instead of Abel; for Cain slew him.
[ASV | EN | OT | Genesis | Chapter 4 | Verse 26] And to Seth, to him also there was born a son; and he called his name Enosh. Then began men to call upon the name of Jehovah.
